year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Less than 35,55.509892,99.099434,162.03719,39.419189,8.064208,16.729122,2.3468404,34.211586,26.514606,8.2804155,14.379382,215.34975,18.220243,45.164761,30.788857,138.41173,165.22202,14.644567,118.3024,104.92432,272.96298,24.401905,75.614967,63.303539,107.65135,75.917076,15.817443,3.9895079,3.7479863,7.2838731,106.59643,44.290123,12.930421,11.701433,8.8541603
1989,35-44,98.887344,295.42026,400.74631,103.15781,16.174339,28.275034,3.825881,179.60214,49.236076,48.277729,23.460405,275.82318,59.169849,40.561188,69.628922,312.92047,229.99614,21.532602,139.54802,105.99996,389.28818,74.7351,146.37303,96.15155,107.06335,85.666557,19.571066,16.742228,4.0487971,13.823068,104.0444,48.279278,16.031488,9.8026743,13.477221
1989,45-54,120.25014,560.901,665.26245,190.10899,34.650478,44.405811,5.5662179,216.03955,103.84626,111.77231,26.907097,327.31323,103.91291,62.828316,139.72665,492.50189,255.87418,26.878925,211.66896,423.59976,670.61627,56.398087,285.33286,82.892387,78.138092,67.715691,20.202745,33.397915,4.2756224,26.160067,72.903275,65.727806,16.631247,12.50335,14.60188
1989,55-64,94.909744,612.91309,691.87665,236.09811,45.525204,95.668076,14.797529,173.57083,140.95622,109.35143,28.511938,235.95851,123.9342,46.240932,158.08943,493.66537,225.92424,22.305775,230.7,426.53763,889.1073,71.730858,320.26877,62.972771,74.099831,99.565918,16.642109,24.499432,3.6316636,22.905499,68.352692,70.936142,16.27104,6.232718,13.442787
1989,65-74,71.143509,581.07086,613.83185,247.99306,46.005711,96.296051,24.618301,228.71452,267.21097,92.517097,18.327633,264.31097,97.908348,105.6811,236.12364,397.3569,185.68675,18.333069,185.15611,300.79535,1284.6389,49.072273,299.07745,34.056622,32.803917,46.3955,10.513759,532.03363,2.5280743,34.225948,31.92766,42.382477,9.9554214,10.696837,6.8134785
1989,75 or older,50.875698,480.34711,503.84186,251.25763,58.002209,94.10836,28.167542,431.33829,229.49709,207.18315,20.949987,281.36273,65.571899,63.320484,222.81734,299.67447,181.60555,11.752221,131.52574,526.98187,1204.8287,49.821312,272.8595,24.629206,39.408871,25.286638,15.838678,121.20902,1.2613186,34.545097,41.885921,11.085473,7.9769144,,18.565626
1992,Less than 35,54.176506,81.15123,139.65269,31.959579,9.3496027,22.646334,3.2338247,32.099796,22.292528,13.611714,13.355083,83.000443,23.911165,10.556713,23.85154,119.40006,162.14746,14.911365,136.10365,102.70489,172.99275,13.41178,52.443729,59.506397,113.59721,83.678711,13.951578,4.2057304,3.4325542,5.5486898,112.11758,46.403984,10.572826,11.893137,6.9141054
1992,35-44,83.374901,238.34103,337.42374,84.055214,16.295616,27.674002,4.8237915,206.81938,40.297485,61.80769,21.855576,106.63729,48.961475,33.725708,55.367409,270.4819,205.38997,18.956495,124.92085,160.94865,361.88562,39.972702,140.97771,101.85938,124.30785,83.234062,15.092873,3.6047974,4.860682,14.557305,121.72013,27.018913,13.439581,14.503895,7.3759685
1992,45-54,101.31073,480.85138,580.87762,179.90205,26.691381,36.48241,6.3612695,231.65215,144.80788,70.469231,21.9175,157.24648,125.19833,56.993347,145.84203,419.28928,227.61734,20.105764,225.47067,379.94107,606.6452,72.409058,250.02957,95.383743,96.925934,111.53825,12.644105,29.523758,5.3345418,16.944059,95.147171,36.621712,12.563486,8.7173338,7.2258749
1992,55-64,88.801414,606.72156,680.6275,255.99326,37.127899,55.903568,9.9277706,361.28912,182.64476,153.31821,42.312878,203.38194,126.93687,103.14915,192.90492,456.02283,214.2059,22.361822,195.43651,292.03738,718.22333,69.567459,291.34427,75.382301,80.319099,101.92941,14.376927,65.929733,3.87728,19.731396,74.584778,41.077522,13.548203,19.151485,7.9166346
1992,65-74,51.825916,515.10498,555.72906,210.11702,36.39212,76.631088,7.9873185,251.37852,235.01999,122.32153,15.514873,209.0166,96.948952,74.568253,200.5867,377.77451,181.93018,15.866413,176.34857,502.85858,888.7146,104.88067,242.8107,44.059093,60.402802,134.04556,12.33868,91.738144,2.6572235,43.411179,55.306396,49.215656,10.828696,12.364398,11.514016
1992,75 or older,41.729069,383.00931,403.04593,196.3317,45.595337,96.168945,17.54867,277.20709,186.61032,93.606079,10.675036,226.0448,99.473282,53.412788,178.92636,232.56715,164.57968,12.31943,199.44986,397.75677,499.40668,43.81802,152.83665,31.77836,61.44109,381.86774,11.19671,21.273756,3.430613,9.1525335,61.440205,62.189571,6.0955725,2.2167566,17.501099
1995,Less than 35,52.134304,72.250999,131.67557,40.011353,6.0279684,18.59433,3.2181318,32.772976,18.461651,24.693277,29.609663,105.96854,31.48023,17.348274,25.830454,102.7735,139.47931,18.546713,103.75349,65.817581,126.90245,32.202232,34.516853,62.377304,110.88376,72.544037,16.386406,11.131077,4.7563915,11.492502,110.38686,14.585732,13.871146,13.488067,6.0532546
1995,35-44,81.487808,240.47992,337.24805,96.537994,13.489457,30.219648,5.8372641,238.56143,74.079956,69.257004,33.100174,142.67625,59.551533,28.475126,76.057625,259.60654,196.62367,23.080091,136.50565,112.21066,380.49319,37.667355,88.578979,96.493454,122.49395,87.855492,14.217604,7.1303916,5.4056835,13.210852,121.35424,28.448584,13.192155,11.454912,6.7214785
1995,45-54,110.54991,501.9873,614.35278,229.7435,29.481043,71.075775,7.1240196,211.37794,131.50145,158.91833,47.819088,274.27438,145.86855,58.025623,188.64378,410.20929,229.43512,28.053272,197.99605,166.58778,684.5332,66.322945,213.13165,111.04843,113.12141,111.79191,19.55423,30.485645,6.1121058,15.197571,111.54321,33.275169,16.007423,16.980986,13.777393
1995,55-64,90.174988,638.8277,727.91882,285.30099,38.548538,70.981567,12.633493,498.36609,286.70233,222.37238,31.400024,223.22432,156.66289,68.895554,288.80713,470.48865,210.70131,24.955191,217.50261,354.98505,1104.9861,114.21757,271.01654,85.64151,93.810638,111.36582,12.765841,22.416168,4.8242593,56.345612,93.170815,36.238937,12.061491,13.380795,5.9462361
1995,65-74,62.636211,584.49188,623.01862,284.12183,41.809555,87.894974,20.374943,434.34964,252.64757,287.07193,33.308052,203.81351,139.9774,98.493065,273.67621,372.24792,179.91455,21.181782,208.15572,302.51208,944.49042,120.04117,254.67526,45.558685,60.956863,95.481712,13.110585,39.482914,3.0739827,42.262703,61.297935,24.748058,9.7423296,9.090168,18.356264
1995,75 or older,44.230808,434.10297,446.78043,237.9846,41.526119,62.088295,23.888178,313.63855,297.56726,271.76944,21.822937,442.56464,99.12809,86.623817,318.06345,239.49966,171.47809,15.142672,177.72765,258.61575,686.59149,152.39218,178.26129,19.267736,40.2295,123.84625,8.6784945,2060.864,1.7963659,9.268054,41.5382,36.752041,13.053646,1.9221008,3.7460463
1998,Less than 35,56.784058,105.50204,172.51439,57.84404,9.8605566,17.603487,2.1679137,56.355015,60.515488,29.487961,39.342842,301.42087,35.531467,24.032732,54.354401,134.72778,160.11557,17.903221,98.598717,127.88376,354.78665,18.545755,52.520107,71.524033,118.22521,87.485184,23.13743,5.3914695,5.1032081,5.9276924,118.56313,16.156322,15.577054,23.605457,13.345438
1998,35-44,94.280388,308.81802,422.03574,155.20206,17.412539,26.084593,4.4268894,209.85902,133.86702,116.77628,59.810059,246.69392,82.195015,20.070862,140.42596,290.21701,212.98103,24.906435,150.49876,132.85481,465.85349,28.909517,141.55476,117.75785,135.66638,107.81915,21.316618,7.1283536,7.3611522,9.5562353,134.63367,26.79685,16.469265,15.357539,18.271214
1998,45-54,109.39431,571.74683,701.5719,264.45255,31.394493,58.406525,7.6976399,332.83429,202.27481,152.08987,53.070881,247.69197,142.1927,64.916985,238.21082,459.0061,248.03387,27.588346,195.1342,274.66907,754.24689,94.840576,255.08333,122.8241,130.92326,114.67361,23.795437,11.056431,6.631916,56.235073,129.96303,27.579943,17.950811,19.710567,23.607069
1998,55-64,112.36735,839.09491,937.99756,425.92352,41.430767,79.808899,12.18695,521.45648,424.35663,276.69907,35.13266,508.76959,225.30769,59.033592,422.77826,547.79834,252.15013,30.881029,241.3553,497.02271,1077.978,109.57738,373.56891,108.08775,113.59926,117.8581,23.555143,16.377563,7.9053693,52.851559,113.7887,38.98246,20.891153,24.200081,19.557163
1998,65-74,73.08992,734.14551,782.91425,395.70447,41.33762,67.554016,9.7184048,284.60687,456.3364,304.17844,46.566418,393.8179,162.58977,74.14257,454.03592,427.47095,218.64194,24.021719,256.3735,310.29898,890.48279,81.050339,321.29431,72.428307,80.215553,135.4697,16.463625,155.38937,6.0852089,93.760368,81.847092,31.260706,13.045868,6.0467763,16.964054
1998,75 or older,45.568069,488.14081,517.66046,254.66277,36.203045,74.434875,25.084314,280.14609,383.30188,178.18056,20.384501,221.12068,146.08736,44.993214,389.23822,304.35092,195.11703,16.889959,272.20746,282.00049,1266.9186,63.706291,226.12131,43.768501,57.242203,76.82914,13.898465,8341.2607,4.0060449,84.292244,60.182514,35.814686,13.636357,20.919388,2.1187091
2001,Less than 35,63.836678,122.91287,202.8214,71.050934,9.4543896,30.294735,1.9374545,468.44098,93.536781,46.951641,66.104767,249.03159,27.248508,21.020811,67.755493,150.84966,184.21519,21.028986,228.21782,91.690636,285.896,25.373142,71.410538,79.907898,131.30411,101.22521,20.105272,6.621871,5.8105826,6.9761715,129.64682,25.914345,15.395143,17.595398,7.3256507
2001,35-44,111.31752,375.5036,497.53064,165.319,22.98567,19.067425,8.5026579,104.07976,119.25072,108.3929,46.965416,317.17456,93.695061,25.764174,149.5864,354.58588,259.41452,26.707884,166.61954,202.3336,627.75714,37.762867,181.68401,123.37495,143.44017,102.98661,24.712936,7.0044904,6.2385182,15.60321,143.34029,27.255472,17.313427,29.828754,18.451187
2001,45-54,140.55162,710.61249,836.19586,357.7894,41.504684,42.609791,12.291385,522.26892,282.61493,214.31488,73.354454,314.90091,183.64064,112.44254,333.59674,505.75507,295.50562,30.773661,245.47189,273.00723,801.97253,134.32133,292.40286,129.85074,146.05185,90.303017,22.487886,23.539398,6.0799575,39.515209,142.38626,51.59375,17.820436,14.457161,23.040398
