year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,All families,81.625908,376.64392,452.72531,150.13751,28.852888,65.785255,8.2252693,217.84836,119.86678,99.075302,22.252836,264.39633,75.674461,55.137386,118.52579,330.59201,211.2932,19.561365,182.17493,298.46872,600.41876,54.754826,220.72641,71.876228,90.342934,77.27092,17.513741,30.405022,3.75542,18.089638,87.674683,58.154636,14.822784,10.941257,11.52339
1992,All families,71.582153,334.4252,407.93588,137.38184,24.708733,59.055012,6.2883506,243.46431,119.40855,90.060814,21.588995,167.092,79.516273,46.226067,113.11697,293.99994,196.3347,17.680361,178.08687,307.7742,490.46899,48.886578,187.05983,77.170395,103.95239,101.99266,13.947151,19.905672,4.1352372,16.3909,101.58862,36.731339,12.11076,12.61858,7.6503739
1995,All families,74.564384,355.76892,432.08145,168.36945,24.384846,60.432087,8.7681255,314.1955,157.04561,157.0191,34.179405,227.05458,95.642113,46.743176,152.22037,289.21646,192.13692,22.244457,181.61583,215.83237,568.8623,68.777954,165.32361,81.417213,107.89594,100.42403,15.762705,18.172287,4.9916005,20.425039,107.39516,29.911884,13.724586,13.343512,8.1780481
1998,All families,83.427361,446.10797,536.91248,228.55801,26.444098,59.166012,7.4056087,303.23105,249.95155,158.85335,45.221294,316.48215,119.97221,40.913372,233.68817,341.89603,218.07155,23.942266,206.6588,278.36493,693.7146,60.444668,219.55292,99.785278,122.15026,111.86322,22.381172,10.630385,6.4805932,31.465727,122.32838,29.454062,16.874294,20.478605,17.492697
2001,All families,99.881882,574.16888,674.85297,297.63876,35.165375,54.098003,11.35886,418.29156,277.55399,190.10132,52.119156,449.02551,151.48085,59.895744,297.43509,413.1951,261.70428,26.490526,269.67328,377.84976,796.09991,81.262657,264.67111,104.79114,132.68582,105.75434,21.532154,25.78591,5.9791179,25.511486,132.35852,37.679256,16.236792,19.965321,15.770839
2004,All families,95.801369,608.90497,731.2511,273.64236,36.85994,74.374901,7.8059845,741.02179,216.72603,248.423,31.266582,280.68137,166.87393,53.840748,261.82382,496.47028,334.68387,27.24876,370.98306,397.24741,888.44006,91.239662,311.40253,140.27112,168.04477,232.58411,25.449127,49.219803,6.9634929,22.69272,165.09198,53.908836,18.294926,22.79537,24.957914
2007,All families,103.87461,687.32257,825.84253,294.58243,32.719757,68.671333,8.1291389,708.60944,272.14178,381.50507,38.53315,305.63022,181.84393,78.557205,278.91916,576.72546,373.49869,27.162996,436.28918,348.16211,1159.599,78.042595,407.76392,155.56958,183.82452,219.49899,26.126017,29.729345,9.0499287,18.94425,184.43225,48.360909,17.99572,26.569977,18.907341
2010,All families,92.294121,583.13397,716.47388,280.70624,38.000118,85.460663,7.2055321,691.75903,239.58344,455.46103,33.379578,285.07629,201.3141,75.83564,247.88028,475.3584,307.59399,26.040276,340.2804,379.79932,920.48486,75.594299,244.31493,153.50439,181.51181,209.88135,27.666468,56.517662,8.3428888,18.731365,178.50078,64.168655,16.580469,30.475618,17.305536
2013,All families,95.123856,580.29712,694.6543,294.21347,39.694683,70.759254,7.0191951,631.95166,312.36172,498.5932,38.720062,405.23859,220.89095,63.140244,291.82254,441.92419,288.34845,24.813213,346.56018,295.45746,1034.3296,77.464569,245.91029,134.27104,172.01109,170.41037,27.76156,38.538616,6.2916651,15.966143,171.64896,52.61837,15.996787,31.968054,17.323637
2016,All families,108.78044,733.34229,840.04938,361.04724,42.575222,80.442215,10.118498,814.09686,347.82187,817.95007,39.772556,500.32901,243.26607,64.701904,364.6658,528.10529,320.3186,26.915541,384.74557,504.7142,1257.9456,78.887894,333.99655,131.73087,167.57404,169.4478,33.228333,59.014362,6.0731978,27.658064,169.5457,52.997684,18.287518,36.472847,21.020178
2019,All families,106.25113,746.82104,858.15186,362.92383,41.60133,101.95412,8.4683447,652.7757,343.71414,850.43756,40.950886,511.36426,255.12523,72.235054,371.39069,543.47144,344.16101,26.532118,403.70279,375.05014,1241.0082,77.679665,354.49194,140.41608,180.50659,202.25897,33.702915,40.069084,6.2714453,24.331295,184.29771,49.928848,17.552786,40.549839,20.521053
