year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,All families,51.897697,93.600136,162.09969,23.071857,4.1768017,23.867437,1.1933719,55.690689,15.911626,25.856392,5.9668593,55.690689,21.878485,5.9668593,17.900579,133.25986,139.22673,13.922672,99.437714,39.779064,99.447662,15.911626,61.657547,29.834297,63.646503,51.712784,9.944766,3.9779065,1.7900579,3.9779065,61.657547,37.790112,11.933719,5.9668593,2.6055286
1992,All families,47.636154,88.84903,150.16737,20.791031,4.1117258,19.664776,1.0726241,53.631207,14.301655,28.60331,5.5418911,35.754139,25.027897,4.6480379,19.664776,123.70931,143.01656,12.156406,89.385345,53.631207,71.508278,12.513948,48.268085,30.85582,77.765251,44.692673,8.2770824,3.5754137,1.7877069,4.4692674,73.295982,21.452482,9.4748459,5.8994327,1.9664775
1995,All families,51.285931,96.486443,169.93634,26.041325,3.505563,16.693157,1.6693157,48.744019,15.023841,33.386314,8.3465786,50.079472,28.378366,5.007947,24.205078,138.72014,148.56909,16.526226,83.465782,53.418102,50.079472,16.693157,43.402206,36.224152,85.135101,50.079472,10.09936,5.8426046,2.5039735,3.3386314,85.135101,20.031788,11.351347,6.5103312,2.4038146
1998,All families,52.60511,112.76942,193.92566,35.513718,4.7498422,23.59193,1.5727954,70.775787,28.310316,39.319885,11.481406,50.329453,37.747089,4.7183862,39.319885,153.81938,157.27954,17.300749,102.2317,62.911812,78.639771,15.727953,48.756657,50.958569,97.513313,64.484612,13.761959,3.9319882,2.6737521,4.7183862,97.513313,20.446339,13.211481,11.009567,2.6737521
2001,All families,57.928619,125.27271,214.03522,40.871773,5.6902752,21.663483,1.4442322,64.990448,28.884645,50.54813,14.442323,101.09626,42.460426,6.4990449,50.54813,164.35362,177.64056,19.511578,115.53858,71.489494,101.09626,17.330788,57.769291,55.891788,101.09626,57.769291,14.009052,5.6325059,2.7440412,4.3326969,103.98472,21.663483,13.286937,11.553858,2.8884645
2004,All families,58.477001,126.21409,234.80431,31.600971,5.1515956,20.335245,1.3556831,88.1194,20.335245,55.583004,8.1340981,61.005737,47.720043,5.4227324,44.568081,200.23439,216.90929,18.979563,135.5683,81.340981,101.67623,20.335245,73.47802,74.969269,128.78989,117.94443,15.915719,4.067049,2.9147186,5.4227324,128.78989,29.825027,14.912514,12.472284,3.3892076
2007,All families,58.393211,149.36369,273.69354,35.551029,4.9623308,24.688213,1.2344108,98.752853,20.984982,69.126999,9.8752861,86.408752,55.548481,7.4064641,41.969963,218.98447,246.88214,19.133366,185.16161,89.494774,113.56579,17.28175,92.704247,83.075844,132.08194,123.44107,16.047338,4.6907606,3.703232,6.1720533,134.55077,29.625856,14.2451,14.812928,3.5797911
2010,All families,53.895905,90.725151,219.62555,25.332346,4.1238704,23.564974,1.1782486,161.42007,23.564974,94.259895,8.6012154,82.477409,51.842941,5.8912435,34.169212,181.68594,200.30228,17.673731,141.38985,76.586166,91.903397,17.673731,43.596378,83.184357,128.42911,114.29012,14.963758,7.0694919,3.0634465,5.3021193,128.42911,30.634466,11.782487,15.317233,4.0060453
2013,All families,51.264214,89.391052,195.18877,23.336117,4.5024977,17.570723,1.0981702,104.13948,29.650595,87.853615,8.7853613,109.81702,64.792046,4.9417658,39.314491,162.52919,186.68893,17.570723,135.07494,65.890213,74.126488,15.374383,36.239616,66.329483,126.28957,98.83532,16.362736,4.8319488,2.5257914,4.3926806,127.38774,27.454254,13.178042,18.668894,3.6239617
2016,All families,56.019081,103.47496,201.54698,24.993952,4.7860761,21.271448,1.0635724,106.35725,26.589312,121.24726,9.0403652,116.99297,63.814346,5.8496485,42.542896,169.32072,196.76089,18.08073,159.53586,69.13221,84.022224,15.953587,45.733616,63.814346,118.05654,106.35725,18.08073,3.1907172,2.4462166,5.317862,121.24726,32.970745,13.826442,20.207876,3.6161463
2019,All families,59.050838,121.76,227.5,26,5.3000002,25,.80000001,121,25,110,9,110,65,4.5,40,194.28,225,17,160,70,89,15,54.299999,65,135,112,18,2,2.7,5,140,24,13,22,3.8
