year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,No high school diploma,38.849442,165.49512,203.64589,54.260006,13.389972,66.625671,4.6044912,85.321678,73.97123,60.382832,11.206612,175.35246,56.174534,14.229207,53.390259,168.60623,124.61907,12.818462,111.92387,220.69269,365.25455,16.230145,135.87935,30.708591,49.611954,46.398529,10.860811,7.8570323,2.8139367,8.6121836,49.868435,38.391575,12.791607,5.8549404,4.8778806
1989,High school diploma,59.58115,223.95139,278.42719,80.037781,19.218729,75.292976,12.147531,108.05783,49.526608,61.584656,14.707434,67.428055,43.604027,23.806665,49.718887,217.85359,162.8876,19.907804,129.52812,145.15746,393.66656,24.085804,133.54562,51.109184,66.494019,51.429108,15.854276,6.2403026,3.22686,12.304152,63.208015,53.357796,15.998566,7.2042499,6.9667473
1989,Some college,81.495636,367.59332,440.54916,128.35074,25.095625,64.061508,4.1446633,341.17548,97.343704,36.989681,19.236845,173.21477,52.816334,86.784615,71.280029,334.83688,226.44849,19.943043,216.08269,294.67188,540.35974,49.260212,219.73305,72.161415,88.532471,83.666695,16.986336,21.479044,3.8361974,9.3010798,83.943672,70.734863,14.480768,9.1518688,10.82504
1989,College degree,156.88939,816.20837,923.07764,329.77798,54.592575,57.614986,8.5343285,227.06642,169.68529,146.45575,38.931389,424.71393,116.98168,80.455902,201.187,616.91083,332.29318,24.231667,241.41631,433.54321,893.91742,92.926964,388.1499,125.0069,130.65994,93.390388,25.391302,66.372574,4.8486028,29.983925,128.62187,56.966869,14.842966,14.917933,27.884516
1992,No high school diploma,31.160423,125.28877,159.22791,48.380833,12.969475,68.461212,2.7472956,177.84836,59.866711,108.17229,12.99423,47.204197,27.635107,32.578926,40.8283,130.57938,105.28376,11.676492,103.51549,196.06114,418.81766,19.296574,97.064056,28.554033,56.13652,45.635601,8.4436874,14.43854,2.5585542,8.1925726,55.614544,36.729397,8.5515461,4.6469812,5.3437681
1992,High school diploma,53.778767,199.78325,247.93976,75.09523,16.192057,52.564442,4.3654523,116.97784,66.895187,66.195198,16.731712,107.50808,49.861969,26.254974,56.732903,186.6613,148.98857,15.125131,127.02727,189.57126,291.90045,22.707441,111.27872,50.272724,75.609444,72.919357,10.482538,6.9446745,3.5086539,8.4625702,73.555359,34.320427,10.186126,7.1484299,6.2548118
1992,Some college,67.850533,301.24136,365.51288,101.54464,20.447721,49.672112,7.687798,155.94794,81.553444,61.029995,18.96909,113.6787,49.156731,39.386757,70.208611,283.63754,192.67377,17.892952,157.01007,328.2702,474.08908,32.715061,170.60651,75.011826,99.980095,99.018509,12.339679,9.3467836,3.8700738,27.536026,98.798241,35.716648,13.101105,7.8165355,5.6757665
1992,College degree,123.90022,662.67743,772.12415,276.19003,42.069439,66.479805,7.2864404,311.88779,164.79941,111.60471,30.512272,242.82948,123.31831,78.205185,176.94238,511.6868,297.9722,23.317869,227.81335,416.58984,609.93939,73.172104,317.48907,127.79538,139.1554,116.786,21.670155,32.161648,5.7026615,20.150852,135.66017,38.027317,14.971106,18.674746,13.007885
1995,No high school diploma,34.93882,140.00232,177.10995,52.070759,9.8960552,59.256809,11.010583,338.16473,79.834724,68.719315,27.371265,74.221756,35.954483,19.354872,40.218143,147.74425,115.21008,15.230801,115.22884,138.99257,366.98666,20.304714,102.94757,34.837273,53.985115,35.656834,10.697446,6.9510984,3.9757097,9.0208359,54.05328,30.357182,12.076364,6.5370669,4.8365536
1995,High school diploma,58.452469,222.47728,279.34299,91.426811,15.444696,45.582191,6.9439001,260.88229,99.200203,89.317329,26.9737,111.52751,61.418037,35.892727,75.439743,204.32184,151.29659,21.93924,131.36034,135.52826,399.09573,32.336372,107.99055,61.747303,80.334465,98.702927,14.16258,17.592243,3.9344742,13.697697,80.040154,32.88768,13.822993,7.2322388,6.7307611
1995,Some college,69.483841,304.8504,373.87775,134.55885,18.434986,56.43737,7.5316863,203.96724,108.53568,184.22023,28.371977,209.2498,74.967896,35.435112,117.67454,258.30017,185.24045,21.59794,147.4398,216.76111,506.49344,77.198601,157.58154,74.425072,107.0396,83.588821,15.130149,12.445218,5.5807185,12.767849,105.99918,28.270151,13.209444,12.826135,7.3834667
1995,College degree,129.59215,736.57153,846.0351,355.74466,47.381187,74.979195,10.91474,360.26804,213.07866,179.6644,48.745468,344.34256,149.28313,77.937614,243.07396,507.716,293.02209,27.435532,259.4855,307.53812,756.53131,86.672997,267.12213,134.82672,152.25456,126.88287,21.14797,23.860592,6.2555428,41.206367,151.79243,28.863926,15.036306,18.086403,14.133036
1998,No high school diploma,34.120682,124.07601,162.21138,46.434132,12.552445,47.756348,5.7172236,243.30939,62.502502,96.371536,11.154016,99.344231,36.216564,18.511395,50.49947,139.93175,123.32545,15.454678,144.45218,161.93999,225.96024,31.311447,92.602463,36.579308,58.810417,31.972015,14.555467,13.242725,4.2708483,4.6092772,60.115448,30.874956,15.183024,9.2495556,8.9797363
1998,High school diploma,58.19363,248.08421,301.94473,106.93025,13.868366,52.287556,5.9266615,246.3797,173.535,113.93555,31.093052,88.713242,63.846706,14.324672,113.00179,215.5891,160.5972,20.544262,134.17509,144.27383,484.91302,25.870647,134.68901,66.312515,84.563431,60.999386,15.331041,6.6220903,5.3398809,15.484453,85.276131,23.872168,15.457533,8.7734938,7.3817964
1998,Some college,78.853607,354.08633,441.98978,165.82997,20.693794,46.231647,4.6270795,439.7785,155.66235,104.3887,34.527966,285.74921,79.972511,46.978844,138.66763,297.54871,211.08488,24.836876,176.52281,274.22141,453.33371,44.508972,174.25026,96.991722,118.84924,101.0142,24.500196,6.9302673,6.8707013,17.106142,118.60091,23.096134,17.612024,17.221247,22.975964
1998,College degree,148.11676,966.12531,1102.0145,507.95093,51.295082,81.630234,11.401721,281.03098,354.95792,206.44833,78.812454,448.84937,205.68024,64.191536,413.24133,625.64917,328.5513,31.292225,286.52625,423.42685,1042.9003,92.014153,392.14526,160.44756,172.38472,154.66472,31.07926,16.609783,8.1844063,72.175949,171.00806,36.198177,18.608292,27.546419,30.302429
2001,No high school diploma,36.262428,152.17726,199.28986,62.299591,12.57075,50.952415,3.6329389,103.30289,75.134758,149.94055,21.816383,332.10208,52.644531,15.199152,95.089394,163.64316,130.42712,17.988596,120.01424,199.13087,353.72247,11.951238,112.4537,41.582893,63.793343,69.270599,13.22708,.92346036,2.8558624,12.204465,66.226776,15.52813,13.667732,6.3352284,8.6581459
2001,High school diploma,64.701187,261.71371,321.38876,112.54346,16.964935,56.560268,4.9359903,168.40741,80.779434,106.12246,36.720856,296.76981,71.69252,32.006577,104.92223,226.54828,176.0486,23.108162,213.37428,196.41853,431.57022,26.656763,138.59357,68.052536,91.805847,77.715431,15.559115,22.202074,5.2722516,9.2148399,93.218857,22.318739,14.358297,12.21489,7.2650962
2001,Some college,82.122749,395.22766,475.6908,194.28378,27.931404,51.846252,12.415,242.0231,179.4436,133.8972,47.626907,211.62955,97.134628,45.569424,169.20877,304.41696,226.69891,25.266819,217.45844,360.17532,489.65607,36.082161,173.98198,91.907646,121.84246,84.990692,20.611765,13.058612,5.8621035,22.286303,121.05053,30.998152,17.780704,12.327682,13.953255
2001,College degree,190.00374,1311.792,1462.1853,680.06573,69.101532,54.551643,15.67492,519.77966,409.38297,246.41792,77.069664,616.53754,250.21393,108.25559,519.8288,813.27307,421.2807,34.688248,344.35123,551.63452,1156.5,137.34169,495.11438,176.10828,187.88397,130.62019,32.092907,47.611355,8.2255993,52.395744,184.5076,54.974415,17.863241,30.86948,34.183262
2004,No high school diploma,35.12534,184.61674,235.62024,58.882885,22.883863,115.88635,3.0931468,421.26849,97.387642,88.986107,10.20315,173.41209,42.159161,14.671386,64.490875,206.46375,192.90154,16.82242,306.83368,294.61407,366.14932,79.52916,166.21091,56.319046,91.009148,296.63373,15.725718,108.03176,4.925622,7.9603348,89.443619,80.282486,14.786385,10.539292,11.3682
2004,High school diploma,60.737411,267.56424,338.07785,106.80128,18.820885,77.107132,5.0829015,320.3699,84.242035,88.01326,19.635887,170.78728,80.884384,29.369627,90.868446,251.50572,214.10231,24.188425,180.498,277.68677,318.57785,35.772305,157.05327,87.352097,114.35237,125.70937,19.8269,22.565136,6.0454268,14.337402,114.43852,31.096598,17.091282,16.840624,14.137111
2004,Some college,77.958145,409.87616,514.72937,166.07434,24.474434,59.413979,9.5977983,565.68146,104.86338,159.01904,24.803816,347.99997,103.95201,28.057377,136.92154,374.56287,289.50928,25.732536,275.74799,328.05472,603.67566,46.098583,219.19275,119.11932,149.13416,188.65434,20.824532,25.707243,6.6201706,13.518126,146.57765,41.409664,18.103504,15.255477,11.750252
2004,College degree,173.84419,1310.2797,1503.6378,591.2309,67.358803,73.638802,8.5234585,826.61432,313.49182,338.01285,48.845901,316.49814,269.4064,105.38094,443.96106,939.91785,510.55643,35.124676,504.93695,509.93652,1392.4604,142.02818,539.76416,229.38904,231.49159,287.53506,37.334003,87.476166,8.948823,42.023739,225.14755,67.75087,20.563381,31.188051,70.734215
2007,No high school diploma,38.694561,176.38922,235.00197,56.556328,11.204212,42.951427,2.7865856,888.64801,168.2718,287.80609,12.335559,63.129581,65.005684,13.67797,81.574631,210.76501,208.91833,17.917723,304.0632,466.46985,268.45105,73.307373,153.6937,70.489182,102.65997,258.47717,15.830377,20.565142,5.3227992,10.621965,106.07169,24.198408,15.945451,11.675382,7.7746758
2007,High school diploma,63.09058,310.80203,399.82385,106.796,14.578732,50.072533,9.1333094,255.95621,171.13686,158.85226,24.203394,165.5275,82.655243,41.522537,103.79459,315.75934,246.73598,22.860472,249.55557,207.78275,629.83118,26.510311,207.69356,106.45444,135.98761,154.16447,19.732075,26.510469,7.3407803,13.139108,138.22806,35.586563,17.641544,15.445867,12.403427
2007,Some college,83.891541,445.66248,561.82373,162.32254,20.813023,65.181755,5.0798359,446.72012,85.970444,161.55035,24.548994,221.73787,115.79077,53.612972,122.52447,431.78989,322.45645,27.17065,319.56772,250.44829,755.59454,47.184223,309.41586,130.33791,159.77359,157.80727,25.238352,17.546452,7.1629987,12.001727,162.41055,36.41975,18.334366,19.278812,25.136459
2007,College degree,196.7663,1550.6912,1766.2374,687.49347,68.391495,88.508347,10.100481,866.34662,383.48746,519.71442,68.83062,447.03198,300.42883,144.98372,500.88983,1115.1239,584.43085,35.237122,605.10138,479.84711,1740.9453,123.88599,734.13708,252.13402,255.15317,271.51645,37.381332,51.670967,13.654991,37.038979,250.72781,68.524086,18.714485,38.706993,29.261784
2010,No high school diploma,39.702179,130.29091,176.80621,32.824284,6.9548764,87.509804,1.9852414,6.7933588,41.146843,320.97089,11.893022,94.532188,41.527515,14.17464,46.573856,166.7141,148.15071,16.448458,218.83401,492.32928,318.12927,22.28451,81.750931,59.047302,92.029045,173.51424,13.582546,3.5901146,4.24403,5.7435184,93.418167,27.000038,12.634403,10.82419,8.7546463
2010,High school diploma,56.638916,254.95006,334.23688,89.472763,15.555634,60.209087,4.5185804,529.92493,93.535912,187.68747,19.958923,99.297379,89.14698,39.844727,76.77034,264.67401,198.72748,21.990963,154.5782,240.18649,541.01019,28.040714,144.36905,95.584541,121.80566,116.26799,19.487537,79.720444,6.9353127,8.3666296,120.88324,46.669102,15.405823,15.108221,14.853449
2010,Some college,71.231735,321.83508,433.06253,143.74232,22.553986,101.04027,4.852437,369.57324,82.700912,246.98477,23.338049,208.5361,106.7245,54.961357,95.020271,316.83362,251.58011,24.97554,211.53459,202.59068,544.36505,58.072491,150.89842,126.28709,165.09845,139.89229,24.029755,13.356895,7.1645293,10.141686,163.38326,48.011654,14.341758,24.981085,13.54151
2010,College degree,167.19333,1315.3043,1525.3075,652.5675,80.832634,93.416855,9.9876194,779.89258,345.18866,550.61835,55.16349,440.12686,336.29474,129.34473,442.09235,907.97101,483.47058,33.970566,493.40518,539.07428,1351.183,111.55088,431.59247,254.47887,252.02705,272.79642,43.817371,82.594864,11.955561,43.355927,245.27354,86.625839,21.287451,45.21796,34.305099
