year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,No high school diploma,26.986803,48.092888,87.533829,7.9558129,1.9889532,39.779064,1.3922672,55.690689,13.922672,23.867437,1.9889532,49.723831,19.889532,3.9779065,15.513835,81.547081,89.502892,7.9558129,67.624405,19.889532,49.723831,5.9668593,50.718307,10.083993,29.834297,21.878485,5.9668593,3.9779065,1.1933719,1.3922672,29.834297,9.944766,9.944766,3.9779065,1.7900579
1989,High school diploma,45.669975,72.994583,136.83998,15.911626,3.9779065,29.834297,1.0939243,49.723831,11.933719,19.889532,3.9779065,19.889532,15.911626,3.9779065,14.917149,111.38138,119.33719,13.922672,64.640976,27.845345,79.558128,7.9558129,55.690689,21.878485,49.723831,27.845345,7.9558129,3.9779065,1.7900579,1.9889532,47.734875,35.801159,9.944766,5.3303947,1.6508311
1989,Some college,60.201332,92.804558,164.44666,21.580143,3.9779065,15.911626,1.1933719,59.668594,9.944766,11.933719,5.9668593,27.845345,15.911626,5.9668593,13.922672,143.20464,149.17149,13.922672,103.42557,59.668594,89.502892,19.889532,61.657547,35.801159,61.657547,47.734875,11.933719,3.9779065,1.9889532,5.9668593,59.668594,49.723831,11.933719,5.9668593,3.9779065
1989,College degree,93.415855,253.05452,362.74527,67.624405,10.740347,19.889532,.99447662,49.723831,19.889532,37.790112,9.944766,119.33719,33.812202,7.9558129,29.834297,245.83461,238.67438,17.900579,133.25986,73.59127,184.97264,25.856392,95.469749,82.641006,97.45871,69.613365,13.922672,3.9779065,2.1878486,3.9779065,93.480797,31.823252,11.933719,7.9558129,5.8674121
1992,No high school diploma,21.985918,33.430119,65.787613,4.4692674,1.7519528,35.754139,.53631204,53.631207,8.5809927,23.240189,3.0391016,32.178722,12.513948,2.1452482,8.9385347,64.893761,80.446808,7.4904919,71.508278,14.301655,107.26241,8.0446806,39.329552,9.2066898,39.329552,26.815603,3.5754137,2.8603311,1.287149,3.5754137,39.329552,33.966431,5.3631206,4.4692674,1.7877069
1992,High school diploma,42.139675,68.647942,119.24004,14.122884,3.2178724,21.452482,.89385343,23.240189,8.5809927,22.346336,4.4692674,30.391016,17.877069,3.5754137,10.726241,97.787567,116.20094,10.726241,71.508278,53.631207,58.994328,8.9385347,35.754139,19.843546,53.631207,39.329552,7.1508274,2.5027895,1.7877069,3.5754137,51.843498,21.452482,8.2234516,4.6480379,1.7877069
1992,Some college,53.132633,102.79314,174.44443,21.09494,4.1117258,14.301655,1.1620095,44.692673,10.726241,26.815603,5.3631206,35.754139,21.452482,3.5754137,16.804445,141.05006,160.89362,13.05026,89.385345,53.631207,53.631207,8.9385347,46.480377,34.145203,82.234512,64.357445,8.4022226,3.932955,1.7877069,5.3631206,78.659103,17.877069,12.156406,4.8268085,1.8234609
1992,College degree,84.27935,196.46898,300.33475,57.474777,8.9385347,17.877069,1.6983215,62.56974,23.240189,35.754139,8.9385347,44.692673,41.117256,12.513948,32.886654,215.59744,214.52483,16.089361,89.385345,71.508278,89.385345,17.877069,75.083687,76.871391,107.26241,46.301609,13.246908,4.4692674,2.5027895,5.3631206,107.26241,25.027897,11.441324,7.4904919,2.6815603
1995,No high school diploma,23.933434,38.39426,83.465782,6.7273421,2.0031788,16.693157,1.6693157,41.732891,8.0127153,26.709051,6.3433995,23.370419,15.858499,5.007947,8.3465786,81.011887,95.150993,10.850552,60.095364,13.354526,133.54526,13.354526,35.05563,13.905399,38.39426,13.354526,6.3433995,6.3433995,1.6693157,2.5039735,38.39426,28.378366,8.6804419,7.6788521,1.3521457
1995,High school diploma,42.738274,86.353699,150.2384,17.527815,2.6709051,16.693157,1.1685209,33.386314,10.850552,19.530993,8.3465786,43.402206,25.039736,3.3386314,16.693157,126.70106,125.19868,16.693157,70.945915,25.039736,66.772629,8.3465786,43.402206,30.481705,66.772629,58.426048,10.015894,8.3465786,2.0031788,3.3386314,66.772629,20.031788,11.685209,4.1732893,2.3370419
1995,Some college,54.70499,83.88311,157.08261,23.370419,3.0047681,16.693157,1.6693157,40.063576,11.685209,26.709051,8.3465786,35.05563,26.709051,5.007947,18.362473,133.54526,158.58499,16.359293,75.119202,58.426048,41.732891,16.693157,41.732891,36.224152,93.481674,46.740837,9.6820307,2.5039735,2.5039735,2.3370419,91.812363,33.386314,10.349757,6.5103312,2.3370419
1995,College degree,80.347954,201.88704,311.41083,68.44194,7.6788521,20.031788,1.8362472,81.796471,20.031788,48.410156,12.519868,83.465782,42.734482,10.015894,44.236866,237.54362,225.35762,20.365652,133.54526,83.465782,33.386314,20.031788,51.748787,89.64225,126.86799,55.087418,14.189183,6.3433995,3.4721766,5.007947,126.86799,18.362473,12.519868,8.3465786,4.8410153
1998,No high school diploma,23.911415,33.028702,73.921379,7.706697,1.8873544,31.455906,1.7300749,13.211481,8.8076544,28.310316,5.5047836,47.183861,18.873545,2.8310316,16.514351,78.639771,102.2317,10.537728,73.606819,70.775787,47.183861,7.8639765,45.611065,15.256115,40.892677,23.59193,8.9649334,1.7300749,1.8087146,2.0446339,44.038269,23.59193,12.739642,5.9766221,1.2582363
