year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Single with child(ren),38.993088,126.31561,193.10721,49.016056,23.607126,31.489021,2.7713203,20.5734,27.586111,50.691181,7.3624158,226.9877,30.543623,21.955919,48.707573,168.32912,158.32159,11.303446,130.97141,359.24454,308.11505,22.356802,150.90308,40.741333,61.889137,64.897324,11.025913,8.0516357,2.7242346,14.37337,61.015568,31.927176,12.054219,6.7008376,4.711308
1989,"Single, no child, age<55",61.652012,149.13535,204.25389,63.483768,9.1939344,19.06703,4.873529,128.70068,59.891529,103.07867,11.569708,106.54696,47.540874,45.327339,61.967743,165.38406,203.51991,11.746396,132.45003,94.131325,436.45071,26.604889,139.47847,46.996628,104.56266,104.19711,14.07467,15.546315,4.6133957,11.164654,104.07256,34.993477,11.282404,12.465659,9.5144672
1989,"Single, no child, age>=55",35.059738,243.95392,272.55774,116.57004,26.257975,84.511124,15.353372,150.68353,116.79701,58.893459,9.5110626,137.65086,65.566132,28.856867,108.77106,190.17509,157.41476,11.185359,156.85797,250.41318,254.49147,33.283848,142.94901,22.526508,36.085171,43.30341,8.4567451,38.997131,2.1089456,7.1474714,34.008282,42.771297,8.6215773,5.3178005,7.1092019
1989,Couple with child(ren),103.46543,404.60013,492.8501,128.96246,20.909313,41.974262,3.6483746,246.43591,86.793503,55.633564,24.603456,225.43581,71.984131,71.709587,94.576485,377.82886,230.32825,22.966221,190.31731,271.47717,539.02411,89.593781,206.48218,92.044647,96.961815,76.543694,20.342415,19.44595,4.0162053,19.160702,92.727257,65.520439,16.122189,13.247454,13.464794
1989,"Couple, no child",113.38356,708.64868,765.19781,295.04306,55.829044,89.901001,20.827908,263.17636,187.28682,160.49704,29.112583,480.11807,107.51456,74.11071,192.49402,484.16611,224.53235,24.506683,200.31511,384.47479,902.06866,48.058445,330.64337,80.725342,93.613785,80.648705,19.60059,67.620674,3.6637256,21.886953,92.709358,49.483517,16.090919,9.4378347,14.150497
1992,Single with child(ren),37.654175,94.850815,147.32706,49.106758,12.58918,49.212769,5.9265938,72.702538,32.381287,55.136726,15.706747,201.27211,38.715954,16.298571,33.240074,119.23505,152.17581,11.227693,146.44235,140.12254,131.21722,25.968264,72.795631,42.352352,77.893257,135.07159,9.552475,2.141257,3.654067,3.0874321,77.588776,48.196709,9.0678186,7.0317841,5.8701005
1992,"Single, no child, age<55",47.625957,126.45348,170.72765,61.357559,14.155711,29.038012,4.571362,105.83589,83.121185,41.428776,19.438549,130.34024,45.020638,16.963757,72.517639,126.08272,157.24251,11.290443,96.287331,132.01563,186.35902,26.573048,86.56601,45.794193,86.001549,59.93441,11.730107,18.411503,3.629369,10.22398,85.77076,68.696976,11.628169,11.192858,5.3243856
1992,"Single, no child, age>=55",33.811001,279.51776,308.23157,127.99444,27.757732,62.836201,7.6981673,241.29568,156.05284,109.20713,7.2345009,148.33145,49.940823,51.385582,133.93396,210.4158,146.26135,10.717845,171.17509,347.56506,607.38409,27.95627,158.80453,32.634251,59.52496,132.88429,9.8078766,9.8083448,2.4469764,12.640653,57.571079,30.963308,9.9865055,3.5575366,8.5427017
1992,Couple with child(ren),100.06162,369.53329,476.76617,129.55171,20.511967,31.152924,4.3284726,216.08286,87.512253,71.082603,27.909109,133.35132,77.732124,70.906601,92.084618,357.84402,227.94348,21.222874,176.56592,281.43057,495.23224,55.836716,199.01859,109.23458,121.45018,100.75253,16.014502,15.82298,4.7618513,18.09717,118.67963,34.276737,12.431883,15.904221,8.8337812
1992,"Couple, no child",87.862869,564.45886,624.04205,230.41725,38.503696,86.312599,10.711855,304.58624,170.6212,112.9598,21.559534,205.483,111.30976,56.628822,164.14604,409.06726,204.98418,21.60931,205.21083,380.55399,638.23779,66.589211,253.56277,75.718864,90.843193,109.35112,15.05428,31.720409,4.2013159,23.390156,86.871796,37.529408,13.296794,11.969271,8.711832
