year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Single with child(ren),26.986803,13.922672,56.287376,6.1657548,1.9889532,19.889532,1.5911626,3.9779065,3.9779065,19.889532,1.9889532,9.944766,9.944766,3.9779065,7.9558129,59.171356,109.39243,7.9558129,99.447662,31.823252,53.701736,7.9558129,57.679642,12.769079,49.723831,53.701736,4.972383,3.9779065,1.5911626,1.3922672,49.723831,49.723831,7.9558129,3.9779065,.99447662
1989,"Single, no child, age<55",35.290436,16.408863,32.817726,8.5524988,2.3867438,9.944766,1.1933719,59.668594,9.944766,5.9668593,3.9779065,79.558128,9.944766,1.9889532,9.944766,19.889532,151.16045,7.9558129,62.652027,27.845345,33.812202,9.944766,29.197832,13.922672,81.547081,77.569176,8.3138247,3.9779065,1.7900579,1.5911626,81.547081,31.823252,9.944766,5.9668593,1.9889532
1989,"Single, no child, age>=55",20.759079,80.910614,109.39243,25.458601,5.9668593,43.756969,5.9668593,59.668594,41.768017,33.812202,1.9889532,89.502892,25.856392,11.933719,29.834297,91.491844,99.447662,7.9558129,59.668594,35.801159,101.43661,19.889532,57.679642,5.8674121,17.900579,15.911626,3.9779065,3.9779065,.99447662,.87513942,13.922672,35.801159,5.9668593,5.9668593,1.7900579
1989,Couple with child(ren),74.732689,124.51046,210.11301,26.174623,3.9779065,19.889532,.99447662,35.801159,9.944766,17.900579,7.9558129,27.845345,19.889532,5.9668593,13.922672,169.06102,155.13835,17.900579,103.42557,47.734875,99.447662,19.889532,57.679642,57.600082,71.602318,59.668594,13.425434,3.9779065,2.1480694,3.9779065,69.613365,39.779064,12.411068,7.9558129,3.9779065
1989,"Couple, no child",64.353149,222.72298,265.12747,51.712784,9.944766,31.823252,1.9889532,69.613365,29.834297,39.779064,9.944766,113.37033,37.790112,9.944766,35.403366,175.42567,143.20464,17.900579,119.33719,53.701736,124.58803,17.900579,85.524986,28.740374,65.635452,49.723831,13.922672,4.972383,1.5911626,7.9558129,63.646503,37.790112,11.933719,7.9558129,3.9779065
1992,Single with child(ren),25.650238,15.159754,48.98317,4.9340711,1.0726241,17.877069,.89385343,8.9385347,5.3631206,32.178722,3.5754137,107.26241,8.2234516,3.5754137,7.8659101,52.73735,116.20094,7.1508274,80.446808,38.614468,35.754139,10.726241,26.815603,13.05026,55.418911,107.26241,4.7016692,1.7877069,1.7877069,1.6983215,53.631207,16.089361,6.4893761,4.8268085,1.6089362
1992,"Single, no child, age<55",36.643196,26.815603,46.033451,8.9921656,2.5027895,11.620094,1.4301655,44.066975,7.1508274,17.877069,5.3631206,53.631207,12.513948,3.0391016,10.726241,28.60331,116.20094,7.508369,44.692673,28.60331,32.178722,8.9385347,19.666563,15.660312,71.508278,26.815603,6.8111629,3.5754137,1.6625674,5.3631206,71.508278,32.178722,10.189929,5.8994327,1.6089362
1992,"Single, no child, age>=55",21.985918,104.68811,121.74284,20.022316,4.8804398,26.815603,1.7877069,53.631207,21.452482,44.692673,2.324019,71.508278,23.240189,8.0446806,27.709455,98.323875,112.62553,6.4357448,89.385345,67.932861,89.385345,8.9385347,57.206619,7.3295979,46.480377,50.055794,6.2569742,2.1452482,1.0726241,2.324019,44.692673,14.301655,9.4748459,3.5575366,4.6480379
1992,Couple with child(ren),73.286392,107.80051,214.0779,25.206667,4.2904963,10.189929,.89385343,53.631207,12.513948,17.877069,8.0446806,16.089361,26.815603,5.3631206,16.089361,174.30142,169.83215,15.73182,91.17305,60.782032,89.385345,17.877069,48.268085,66.323921,93.675842,44.692673,9.4748459,3.2178724,2.324019,4.8268085,89.385345,21.452482,9.4748459,6.4357448,1.9664775
1992,"Couple, no child",60.461273,184.81314,236.87115,48.268085,7.508369,39.329552,1.4301655,57.206619,23.240189,35.754139,7.1508274,44.692673,41.117256,8.9385347,30.391016,158.21205,143.01656,15.910591,89.385345,45.407753,87.597633,17.877069,63.463593,30.712803,60.782032,44.692673,10.726241,7.1508274,1.6983215,5.3631206,57.206619,25.027897,10.54747,6.6145153,2.6636832
