year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Owner,102.89898,542.19891,618.37659,193.32539,34.749298,72.233917,9.7028151,234.88727,127.09608,108.00408,22.746792,241.71455,85.792145,67.56768,125.86462,432.70837,211.2932,22.803114,190.18613,332.62909,663.79559,51.113503,227.7935,97.338913,90.342934,80.754921,20.617294,46.524422,4.001596,20.169416,87.674683,58.154636,16.218384,10.310104,15.850294
1989,Renter or other,44.016163,83.950867,109.16238,53.966328,14.684602,37.655369,2.9982278,110.12111,74.904678,30.373941,20.015491,392.86475,23.83131,34.129379,78.801254,73.821556,,11.687247,139.32213,113.32433,342.89963,65.103699,147.26056,14.757668,,59.256542,11.569863,9.9578466,3.1616154,14.151808,,,11.358192,11.528345,3.7626486
1992,Owner,87.631233,484.06958,566.45062,181.77791,31.077826,61.701336,6.8591766,248.98405,131.66212,97.584877,23.753111,168.13022,92.564819,69.340889,130.71519,392.44553,196.3347,20.522856,179.20325,346.90787,550.52618,53.922482,195.05058,104.98718,103.95239,103.21669,15.708024,32.685215,4.353858,20.931978,101.58862,36.731339,13.049933,16.11224,9.5963678
1992,Renter or other,43.138302,69.209892,90.336983,43.926495,10.417317,46.470413,4.1814275,198.92773,53.206326,48.648823,13.391082,161.24956,31.414263,14.338504,45.499077,59.753796,,11.233696,172.35429,134.61354,232.72469,36.576077,115.39012,16.718941,,97.546219,11.119673,3.5187337,3.6672957,6.0820098,,,10.101887,9.9001932,5.0346675
1995,Owner,92.380356,509.86438,596.70428,215.93703,28.506283,67.647598,9.3145742,328.54355,176.50583,162.04056,37.369827,251.16414,109.1771,62.922638,176.26366,387.86591,192.13692,25.760565,188.17523,238.07271,681.81702,83.2491,177.16692,109.13789,107.89594,97.779343,17.035347,25.794546,5.1716428,25.803423,107.39516,29.911884,14.310559,13.199803,10.774595
1995,Renter or other,41.899529,73.241188,95.754898,64.537033,14.500994,33.824203,6.5351019,182.74707,70.575371,130.19374,22.441576,108.88225,48.524166,24.558628,66.712234,45.205399,,14.059999,150.5455,95.776123,122.39655,28.581757,55.212021,19.448469,,110.38198,13.504954,9.9352341,4.5728264,12.048597,,,12.381588,13.491524,4.104898
1998,Owner,104.53254,638.66479,743.33844,303.25351,33.122074,65.316406,7.7025409,323.40503,279.84686,176.9194,48.904022,337.2811,139.14772,53.661251,271.45923,447.38419,218.07155,27.932045,214.28976,295.94604,808.19763,73.080879,235.46964,131.84254,122.15026,119.91397,23.562624,13.953994,6.9371538,42.390732,122.32838,29.454062,18.038263,18.355541,21.59223
1998,Renter or other,41.987152,68.02108,89.82795,58.505745,10.53081,31.771423,6.2247095,190.17316,67.914993,59.974709,27.582085,181.78166,47.273674,20.025108,72.463455,45.989544,,13.451543,156.99074,162.83435,129.85896,24.031296,65.530876,21.118151,,75.270714,19.970362,7.1710944,5.4445333,6.0774531,,,13.741485,22.95159,10.773177
2001,Owner,125.34828,810.25336,920.2652,392.655,44.893169,56.016064,11.468581,443.75589,302.51242,207.92863,55.219364,477.1214,176.2438,75.531273,348.5936,536.0343,261.70428,30.752136,277.80194,407.74799,871.1441,90.79306,280.54379,137.59254,132.68582,105.91936,23.630936,44.031822,6.4913793,32.0998,132.35852,37.679256,17.443863,21.275467,21.392694
2001,Renter or other,46.533649,79.607765,103.19614,66.144096,10.609283,42.046215,10.68574,120.32887,125.04637,70.642296,36.501881,186.99911,44.66362,31.463882,81.940903,52.131531,,14.622717,203.16298,110.42775,269.22101,47.772251,93.291405,20.298002,,104.73479,17.027899,12.375861,4.9028196,13.227399,,,13.069967,18.328417,6.0353441
2004,Owner,118.26213,848.86987,997.57617,362.03845,46.385746,80.67308,7.9499826,740.49518,244.3008,271.83661,34.307552,289.3746,189.47723,72.457787,300.84601,644.42084,334.68387,31.896765,394.31326,400.86685,969.34216,106.04821,327.75308,180.74498,168.04477,245.28737,27.693554,66.344574,7.5139103,28.291096,165.09198,53.908836,19.992031,23.746262,34.414543
2004,Renter or other,45.684525,73.469597,94.407669,48.565868,11.637444,34.658516,7.0900087,758.94843,42.118538,73.710724,12.704005,186.47531,50.519859,16.462513,61.248371,61.38826,,14.139206,217.76669,360.4624,288.40787,26.21899,106.73691,23.068352,,139.47824,20.218786,24.992716,5.479125,9.5243311,,,12.900826,21.570328,11.933752
2007,Owner,130.16367,961.20703,1127.1348,385.32053,40.624813,72.954216,8.5578461,742.51862,299.29648,405.84619,42.254303,325.55606,207.95119,105.55128,317.30551,748.13416,373.49869,31.292501,454.80209,359.74716,1259.4926,88.606239,428.58435,201.44119,183.82452,220.60303,28.699465,46.877438,10.331729,21.480412,184.43225,48.360909,19.352627,29.688177,25.619242
2007,Renter or other,46.344139,87.958908,115.25152,62.075371,11.885,44.357216,5.8404832,299.38358,107.76284,150.35138,15.262178,151.59491,58.804882,15.731548,85.689034,73.50811,,15.441343,304.15887,229.94637,393.6929,44.649475,131.92262,29.043577,,213.19196,20.782743,12.804066,5.2797856,13.528964,,,14.179845,22.324999,9.9294262
2010,Owner,115.48133,834.14349,996.01978,377.7912,48.884106,94.499931,7.7262869,699.5437,264.83145,489.04697,36.135262,298.28775,232.95061,102.48022,286.28806,625.65143,307.59399,30.450525,349.14563,404.2316,1022.4991,89.160919,254.17426,198.77206,181.51181,210.11398,28.828846,79.404755,9.7554998,23.079597,178.50078,64.168655,17.940788,32.184746,18.741732
2010,Renter or other,44.600765,66.836967,92.789764,52.678047,11.557238,29.498356,4.432323,565.84521,70.424774,200.71185,20.955473,167.96008,53.23687,24.457916,63.941406,54.846714,,14.201666,262.1622,125.89861,271.0159,22.263384,109.72916,30.378525,,208.3732,25.31838,11.98806,4.4008679,9.6202888,,,12.409719,28.043144,15.364334
2013,Owner,122.4727,849.33282,991.94281,407.5249,53.996613,73.190674,7.4017835,664.6344,332.16669,538.74957,44.091373,433.87082,260.67545,80.1063,342.99295,592.25677,288.34845,29.199909,357.62878,304.06906,1139.454,90.591843,254.87292,177.46138,172.01109,169.39961,27.717873,55.975269,7.1006598,20.89517,171.64896,52.61837,17.273848,33.915913,14.630563
2013,Renter or other,43.991615,77.299599,104.02843,57.638756,9.1183872,58.32135,4.9725776,200.03377,187.31973,178.38681,16.079935,161.65221,61.332779,39.469902,86.442383,63.629665,,14.237486,267.34238,212.69878,393.01791,37.840084,126.47143,32.351875,,174.82054,27.839741,14.888969,4.2391305,7.2671232,,,12.371161,29.805727,21.145266
2016,Owner,141.7993,1096.2858,1242.5819,522.67572,60.222912,89.074165,11.369703,836.09576,380.68649,912.04749,45.277466,501.27631,289.3313,90.054825,432.31149,723.60327,320.3186,31.848764,398.04126,542.12775,1457.069,96.94532,353.38501,177.38293,167.57404,179.26567,35.055916,108.55626,7.1567435,30.396214,169.5457,52.997684,19.886702,37.548046,28.135777
2016,Renter or other,50.791706,95.929947,121.02575,70.409401,10.69311,24.94817,3.3485026,670.66217,155.68811,266.427,19.3629,491.40091,75.163544,25.050764,105.35489,67.96344,,15.701372,307.85999,260.7717,260.58591,18.920935,122.80466,34.063046,,129.64291,30.211895,25.606113,3.8410349,21.834078,,,14.322152,35.317989,11.278153
