year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Owner,66.429054,200.0688,258.04678,40.176853,6.2652025,29.834297,1.2928196,55.690689,15.911626,29.834297,5.9668593,51.712784,27.845345,9.944766,19.889532,193.74393,139.22673,16.508312,99.447662,43.756969,109.39243,15.911626,67.624405,62.294014,63.646503,53.701736,13.922672,5.9668593,1.9889532,5.9668593,61.657547,37.790112,11.933719,5.9668593,3.9779065
1989,Renter or other,26.986803,3.9779065,14.02212,4.5745921,1.9889532,11.933719,.99447662,39.779064,9.944766,3.9779065,3.9779065,89.502892,7.9558129,1.9889532,6.1657548,9.944766,,7.9558129,67.624405,37.292873,21.878485,11.933719,8.8389082,5.9668593,,34.806683,6.4442081,1.9889532,1.5911626,1.5911626,,,7.9558129,5.9668593,1.3524882
1992,Owner,62.293434,177.16174,250.45773,38.972008,6.0782032,21.452482,1.2513947,53.631207,17.877069,32.178722,6.2569742,35.754139,32.178722,8.9385347,23.240189,185.38521,143.01656,14.837967,88.491486,57.206619,89.385345,14.301655,53.631207,64.714989,77.765251,48.268085,10.011158,5.005579,1.9664775,5.3631206,73.295982,21.452482,10.54747,6.6145153,3.0212245
1992,Renter or other,31.146717,5.8100471,16.268133,5.18435,1.7877069,13.407802,.89385343,44.692673,5.7206621,17.877069,3.5754137,35.754139,8.2234516,2.6815603,8.4916077,9.1173048,,7.6513853,89.385345,44.692673,26.815603,8.9385347,8.2234516,6.2569742,,32.178722,6.4357448,2.1452482,1.6089362,2.6815603,,,8.2234516,5.7206621,1.1977636
1995,Owner,63.252647,173.35843,264.65332,40.831463,5.007947,18.362473,1.6693157,65.10331,16.693157,36.724945,10.015894,58.426048,33.419701,8.3465786,30.047682,192.97289,148.56909,20.031788,91.720551,58.426048,58.659752,16.693157,49.244812,75.686775,85.135101,50.079472,11.351347,8.0127153,2.5039735,5.007947,85.135101,20.031788,11.685209,5.8426046,3.2718587
1995,Renter or other,30.771559,8.0461016,20.582663,7.5453067,1.9530994,13.354526,1.6693157,11.685209,6.1764679,16.693157,5.8426046,23.370419,11.685209,2.5039735,10.600155,12.519868,,10.68362,62.599339,20.031788,25.039736,8.3465786,6.3433995,8.0127153,,71.780571,8.246419,2.3370419,2.0031788,2.5039735,,,10.349757,6.6772628,1.5023841
1998,Owner,68.546059,207.92354,304.0528,64.877808,7.706697,28.310316,1.5727954,65.271004,31.455906,46.397461,12.582363,50.329453,47.183861,9.1222134,53.47504,204.93523,157.27954,20.603619,102.2317,73.921379,90.43573,18.873545,55.047836,94.82383,97.513313,66.057404,15.051651,3.4601498,3.1455908,6.2911816,97.513313,20.446339,13.997878,9.7513313,3.9319882
1998,Renter or other,31.881886,6.6057405,18.370249,5.5047836,1.7300749,15.727953,.94367719,78.639771,12.582363,18.873545,7.8639765,36.174294,12.267803,1.5727954,11.795965,11.324126,,9.7513313,101.60258,23.59193,31.455906,7.8639765,6.2911816,9.4367723,,43.251873,12.110524,4.4038272,1.9974501,2.0446339,,,11.166847,12.582363,1.4784276
2001,Owner,75.752808,249.41891,349.21536,74.233536,8.3765469,21.663483,1.7330787,72.211609,33.217342,57.769291,14.442323,101.09626,57.769291,8.6653938,72.211609,226.74446,177.64056,23.396563,115.53858,72.211609,135.03572,21.663483,64.990448,100.11418,101.09626,57.769291,15.106669,21.663483,3.0328877,5.7769289,103.98472,21.663483,14.442323,11.553858,4.3326969
2001,Renter or other,35.64838,6.9626436,19.352713,5.6325059,1.7330787,14.442323,.54880828,43.326965,9.0986633,14.442323,10.831741,57.769291,10.109626,2.8884645,10.124068,12.709244,,10.976165,86.653931,46.93755,21.663483,8.6653938,1.9554905,8.6653938,,54.880825,10.109626,1.4442322,1.7330787,2.8884645,,,9.9652023,11.553858,1.7619634
