year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Less than 20,11.89347,49.122231,68.53373,23.924065,6.9168434,42.042053,7.1749048,89.077095,85.529724,33.823879,10.520682,28.290565,30.995417,26.507673,59.857849,60.79781,76.299026,7.7537289,51.567917,72.818939,173.05287,15.797502,55.769207,10.478241,25.620268,19.195639,6.5270691,2.5136931,1.0567396,7.9832211,25.912825,.019889532,5.7390308,10.3641,2.9014115
1989,20-39.9,29.283026,135.37183,158.15013,47.021236,15.828562,45.536934,7.3202686,69.232132,21.683495,41.247643,8.71208,62.759457,45.445591,11.809818,26.959505,124.06381,124.78503,10.622575,75.053406,57.538586,219.18001,29.646578,91.763817,25.021595,39.527138,65.659348,10.066374,3.6615813,2.3426676,6.3679342,39.312828,43.5331,8.7190676,6.7630763,6.8154626
1989,40-59.9,51.65799,204.13921,238.5834,63.552803,15.658995,55.221272,8.3647375,77.198341,47.41246,34.185978,10.666245,130.1953,29.414455,15.189878,35.205826,182.29495,156.27226,14.985545,142.46324,70.680611,350.52069,15.880805,124.92695,44.012318,56.447742,46.649414,17.584223,3.2910917,3.2520444,7.5069046,55.838268,22.659452,13.334599,14.5858,11.977091
1989,60-79.9,81.497063,271.66647,340.51431,104.99836,20.815754,58.387558,6.9828973,101.22376,59.454102,63.791676,17.176043,232.11021,37.170891,68.043335,51.160557,241.39337,188.85818,21.459499,107.09908,126.53408,229.73251,27.521442,124.62466,77.946693,85.255272,40.887146,20.899361,6.1458926,3.8348103,15.298,83.075279,49.004715,16.774977,12.586088,12.383678
1989,80-89.9,121.97055,444.82318,540.97546,146.36409,28.119415,44.934002,4.2396145,130.49742,64.918617,37.132118,22.290447,120.74065,71.249878,30.642323,65.401352,398.64996,252.73236,28.483768,209.64363,207.26167,303.77393,33.810436,175.44339,102.81475,99.0896,72.155884,19.336206,21.749861,4.4149265,25.924425,96.758469,52.791092,18.386684,7.2310343,7.8510785
1989,90-100,345.52646,2000.613,2181.3928,748.61542,116.20606,139.59462,16.703955,358.63736,258.58963,213.03889,61.498734,540.77911,192.01465,181.84868,339.37564,1441.0631,483.07068,43.883789,318.70383,849.19678,1452.3442,174.73772,838.43542,206.50856,169.51509,118.3183,33.572445,119.11583,7.7876253,39.233337,162.09163,84.569473,20.438807,12.507677,55.278797
1992,Less than 20,11.722241,59.574596,82.736664,19.106157,5.7895632,30.918911,7.2405505,26.192352,25.83882,42.68026,5.9582152,30.451937,27.785679,6.1838398,24.142578,81.841141,94.967308,7.3875999,84.176964,125.70998,167.96933,9.1773338,66.518608,17.922131,48.880829,40.414951,7.3578391,1.5833385,2.27549,14.431212,48.876682,71.508278,6.3040566,7.8384948,4.8823719
1992,20-39.9,28.39378,115.88698,138.51967,39.734406,9.4216614,46.848415,3.8587694,31.025007,34.671761,41.694839,13.908215,64.895538,21.467104,26.498913,28.588707,108.55165,121.20731,10.276557,70.242043,88.128189,118.00883,24.456278,74.880997,28.109211,53.952808,18.046749,10.759368,28.370222,2.8944218,3.8672686,54.981071,23.465706,9.0399828,11.755833,6.9278092
1992,40-59.9,48.578499,181.31364,220.00101,62.734318,16.560028,66.768127,4.2872872,55.201118,43.74704,55.51902,15.625101,62.166656,29.178503,18.702597,36.641804,164.409,143.57124,13.899179,119.01365,200.26303,235.58153,25.879753,107.20846,48.281437,68.485207,77.558784,13.36031,6.4137363,3.3994861,16.93001,66.054054,32.991146,9.2543755,17.612457,6.6352878
1992,60-79.9,77.330582,249.78622,316.13318,91.547432,16.54888,53.890015,4.1655941,136.80367,43.915054,55.897663,16.520258,73.644615,49.976479,18.149166,50.029079,228.11545,181.33527,19.752674,121.00323,143.98828,211.9872,37.41605,109.52666,78.040848,89.910255,68.348152,14.701247,6.183084,4.8467069,9.2779512,89.011833,19.692837,12.688414,9.8327799,7.3205252
1992,80-89.9,114.84682,407.50311,504.98288,159.89488,29.319363,55.879078,7.4912014,69.704155,74.222595,78.359901,23.44339,120.16821,73.552635,31.906027,79.030708,346.57431,230.82195,24.857313,152.35149,240.76532,260.9184,50.656948,165.19566,111.74762,112.51945,80.83284,15.865461,6.5030255,5.0805507,10.962648,110.66527,31.925905,14.767914,11.969131,4.7337432
