year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Less than 20,12.455448,3.8187902,15.513835,1.9889532,.99447662,25.856392,.39779064,25.856392,59.668594,27.845345,1.7900579,23.867437,9.944766,1.5911626,29.834297,17.900579,59.668594,3.9779065,26.95867,19.889532,19.889532,1.9889532,29.834297,3.3812203,13.922672,7.9558129,2.6850867,1.9889532,.59668595,.99447662,13.922672,.019889532,3.9779065,5.3303947,.99447662
1989,20-39.9,29.062712,49.326038,82.422218,8.7513943,1.9889532,19.889532,1.3922672,49.723831,9.944766,19.889532,3.9779065,39.779064,5.9668593,1.9889532,11.933719,74.744858,99.447662,7.9558129,49.723831,23.867437,33.812202,9.944766,45.745922,9.944766,23.867437,47.734875,5.9668593,1.7900579,1.1933719,1.9889532,23.867437,49.723831,5.9668593,5.9668593,1.9889532
1989,40-59.9,51.897697,83.774712,134.21455,16.707207,3.9779065,21.878485,1.1933719,31.823252,7.9558129,11.933719,3.9779065,13.922672,14.320463,3.9779065,9.944766,103.42557,119.33719,11.933719,89.502892,29.834297,69.613365,11.933719,51.712784,23.867437,41.768017,27.845345,11.933719,.99447662,1.5911626,1.7900579,41.768017,15.911626,11.933719,7.9558129,2.9834297
1989,60-79.9,80.960411,134.25433,214.80695,30.112751,5.5690689,19.889532,.99447662,39.779064,9.944766,19.889532,5.9668593,63.646503,17.900579,5.9668593,11.933719,169.06102,149.17149,17.900579,79.558128,19.889532,59.668594,13.922672,57.082958,56.088478,71.602318,27.845345,13.922672,3.9779065,1.9889532,1.9889532,71.602318,29.834297,12.411068,5.9668593,3.9779065
1989,80-89.9,118.32675,266.77829,384.66354,58.873013,9.5469751,17.900579,.99447662,53.701736,9.944766,15.911626,9.944766,63.646503,29.834297,5.9668593,19.09395,272.48657,198.89532,23.867437,119.33719,49.723831,119.33719,19.889532,79.558128,79.558128,83.536034,53.701736,15.911626,3.9779065,2.5657496,7.9558129,81.547081,49.723831,15.911626,3.9779065,3.9779065
1989,90-100,207.59079,785.63654,940.77484,294.36905,29.834297,39.779064,1.9889532,69.613365,29.834297,49.723831,19.889532,119.33719,89.502892,31.823252,79.558128,594.10034,397.79065,29.834297,188.95055,188.95055,298.34299,49.723831,222.66331,147.18254,139.22673,79.558128,15.911626,9.944766,4.3756971,9.944766,119.33719,47.734875,13.922672,5.7480745,15.911626
1992,Less than 20,12.092255,7.0435648,26.904987,2.2525105,1.03687,11.620094,.53631204,17.877069,8.9385347,30.391016,1.7877069,21.452482,14.301655,1.7877069,13.407802,38.614468,71.508278,4.2904963,42.904964,35.754139,51.843498,3.3966429,36.647991,3.8614469,26.815603,46.480377,3.3966429,1.4301655,.89385343,1.7877069,26.815603,71.508278,3.7541845,5.3631206,1.7877069
1992,20-39.9,27.482397,49.608864,75.316093,6.9720569,1.9664775,28.60331,.71508276,23.240189,7.1508274,10.726241,3.2178724,28.60331,7.508369,3.932955,6.6145153,65.966385,96.536171,7.508369,37.541843,16.089361,21.452482,8.9385347,35.754139,9.8323879,37.541843,7.1508274,5.18435,8.8491488,1.5016738,1.4301655,37.541843,21.452482,6.4357448,4.8268085,1.7877069
1992,40-59.9,47.636154,70.703804,110.53391,13.944114,3.2536266,26.815603,.89385343,32.178722,8.5809927,26.815603,4.1117258,28.60331,12.513948,5.3631206,8.9385347,88.670258,116.20094,10.726241,74.480339,33.966431,53.631207,8.9385347,35.754139,20.201088,57.206619,28.60331,7.3832293,2.8603311,1.6089362,3.5754137,53.631207,17.877069,7.3832293,6.0782032,1.7877069
1992,60-79.9,75.118553,134.81097,220.06671,31.1061,4.8268085,11.620094,.98323876,71.508278,8.9385347,22.346336,6.2569742,35.754139,21.452482,3.5754137,14.569811,165.61316,151.95508,16.446903,71.508278,53.631207,62.390968,8.9385347,46.480377,54.882599,78.659103,32.178722,11.798865,2.6815603,2.5027895,5.18435,78.659103,16.089361,11.620094,6.9720569,2.324019
