year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Less than 25,29.737101,-1.0786507,15.260444,3.0482309,1.5484747,4.4987736,1.2919964,11.933719,1.8117186,2.8682456,2.2875421,.39779064,4.6185889,2.0517087,2.5171654,16.322056,56.454971,7.7836208,60.448288,-47.494152,7.8098207,4.6495996,-6.8041673,21.528585,89.682693,59.708618,12.680264,4.1807508,3.7587683,7.3080463,84.502205,1284.6462,11.380592,13.199493,5.1957698
1989,25-49.9,49.870754,46.041481,81.677032,17.606552,5.7483616,14.597792,2.199475,12.61007,10.180039,8.0562201,8.8180161,12.395958,11.437148,8.3629293,9.437151,67.785851,77.987434,13.958381,33.697929,22.557117,14.172916,10.872234,17.156097,45.60659,62.519257,35.227478,13.865838,4.6374469,3.0783856,9.4124346,61.930069,29.801281,14.057932,6.8945684,6.0369248
1989,50-74.9,71.782463,178.44215,239.16992,53.77507,12.70538,34.052555,4.5800571,19.084871,16.534313,18.972712,15.39372,36.701565,34.903564,18.439724,20.350571,187.06389,158.80716,19.642908,65.53891,12.828506,73.319473,21.367466,70.075928,78.649109,81.852272,43.429859,17.323032,11.989208,3.5130467,8.9039946,80.032944,43.152836,15.187343,8.8325548,10.541471
1989,75-89.9,101.72752,452.90482,530.28485,160.3127,32.352737,68.814964,9.9142027,51.746643,54.459305,43.558624,21.7948,90.280785,77.713608,32.849201,72.228203,372.15305,272.82089,23.167503,129.17644,101.51704,171.93845,38.055553,164.66281,101.67389,97.955582,55.613205,24.11849,7.376749,4.7524424,9.77248,94.52095,53.556866,15.227365,17.210571,26.074137
1989,90-100,284.83267,2524.6375,2654.2783,915.31439,152.93526,153.39757,27.882854,377.35892,304.22684,205.04768,62.341362,611.84332,225.86046,215.08768,387.14468,1741.245,505.10117,45.150993,359.72562,810.45227,1456.4242,161.27592,1084.496,190.00108,160.85493,120.5231,40.915348,175.19571,6.1764817,57.043415,156.75386,97.141708,24.38378,7.0669298,73.625137
1992,Less than 25,31.144175,-.99894369,17.677948,3.0848229,1.4897505,4.1541905,.88876593,12.964303,2.0240295,4.1747804,2.8017373,2.4698663,3.8460512,2.2790368,2.8896117,18.671999,59.672039,7.7375889,43.764782,8.5083218,12.475689,3.6507568,-7.8463326,24.25692,64.502754,96.658386,14.364033,3.3399858,3.8402815,8.484087,64.450195,2.8603311,9.2564993,15.676774,7.4209623
1992,25-49.9,49.433647,45.52882,88.227272,15.982539,5.3042221,15.113266,2.4977295,15.298988,7.365087,10.573831,6.6047635,19.34902,11.838191,7.9154549,9.5072107,75.792709,87.417816,12.961416,47.408981,21.755356,21.865433,12.818891,17.016956,53.864597,76.616699,50.959801,10.862751,3.103425,3.7567396,5.022234,76.320183,22.318941,10.281154,8.6478691,5.0677285
1992,50-74.9,65.012001,162.23645,224.07365,53.409138,13.242812,28.384052,3.1271834,30.398598,14.827601,22.256134,16.905212,34.27034,34.558399,18.761686,25.726473,173.03079,152.42818,18.046921,72.460251,45.251476,49.220333,20.848427,58.565163,80.042496,95.380913,50.529263,13.892431,4.0602512,4.2867913,9.9790411,93.846252,26.210905,14.151845,9.7737846,6.1251516
1992,75-89.9,91.141754,391.61819,463.82718,148.31729,28.974617,65.675461,8.6519279,41.60759,36.693584,49.285587,25.09691,54.152779,76.108551,33.620964,67.124901,317.07358,236.53505,20.985207,113.67827,82.530106,143.04662,47.801411,138.82454,101.2379,112.32705,66.365768,13.927413,22.283728,4.1965051,11.14839,109.64557,31.425058,12.668756,8.8743773,9.2212791
1992,90-100,215.09744,2239.4934,2395.7241,846.54425,126.23859,134.25,20.468983,406.82843,332.17923,206.74789,54.481384,399.14337,261.4711,204.15904,425.15475,1551.6158,464.00995,39.653,341.58508,734.3775,1325.5116,122.40285,931.61151,216.93858,179.38535,175.21298,29.215008,99.107559,6.2990761,56.338898,173.01909,60.715816,22.066244,20.354765,40.335983
1995,Less than 25,30.986128,-.24814734,24.003925,4.5299664,1.8657671,4.3363237,1.029197,14.824861,4.5621686,3.7860801,3.6121542,8.3134956,6.1152086,2.9921567,5.1479969,25.246328,71.876724,10.578,43.446564,-29.818647,8.3139458,7.7832208,1.1704016,31.225901,91.760941,68.833519,16.735968,5.9412007,5.3179655,11.440623,90.4627,32.411564,12.770247,16.906912,7.2718792
1995,25-49.9,52.312977,51.125088,104.00218,19.942337,5.0624347,13.321735,2.5777078,8.7540007,7.1708302,9.7392397,11.168435,21.752611,17.593,6.4800191,12.929878,88.363091,99.72216,17.294449,50.500717,16.471498,20.284311,10.825385,16.44483,64.888901,86.554398,48.226677,13.429296,8.029109,3.9659405,6.3132935,86.407005,16.145229,12.606796,9.5678186,5.5531068
