year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Employee,81.791847,227.905,300.29803,92.775391,14.7437,34.705799,4.0637455,148.12053,60.529861,57.412746,21.246645,226.54765,56.641552,25.372477,73.081055,223.07974,212.15048,18.71464,161.74722,138.86746,272.44016,35.024647,116.93651,73.595078,92.192345,74.16758,16.194063,9.6341295,3.8956475,11.778465,89.815292,49.907406,14.291664,10.5856,8.0503025
1989,Self-employed,189.11998,1321.708,1423.8783,353.55896,67.915779,107.70164,15.329903,339.26804,210.3121,227.50737,39.601082,601.42096,160.09106,112.89442,281.25363,1091.4141,321.50244,33.332737,285.87817,626.74725,793.37152,144.71352,740.54901,127.57817,126.50311,117.60709,32.693356,108.99605,4.969943,46.58614,118.59404,108.00266,21.492931,14.24247,36.977161
1989,Retired,47.969543,370.5307,408.23737,201.97049,46.026939,85.251762,21.614428,230.64459,196.69778,91.050629,15.378923,211.70363,97.525612,88.421173,172.28206,240.45367,169.91252,16.082911,155.01335,267.66089,431.12827,39.757801,173.98657,31.02795,39.941898,43.796841,13.468501,254.78673,1.949289,16.497311,38.327969,60.870323,12.619293,12.637134,8.6116314
1989,Other not working,27.893253,92.644272,161.65446,54.450756,6.1480241,54.778831,2.0343285,84.1026,115.0145,15.982031,5.6426377,194.71942,27.244591,98.698227,80.088875,143.48291,127.87406,8.7142315,127.55041,32.29842,1904.349,14.035274,142.20148,30.066473,59.331886,55.510437,9.373105,,3.841011,2.1477668,62.114101,3.9779065,7.1705971,9.488451,7.5497265
1992,Employee,78.36235,219.62122,292.27469,99.943138,16.279812,31.951372,4.6267467,176.1481,65.273575,62.913906,22.002867,107.77122,67.571236,26.931688,75.818245,206.02101,189.09409,17.341501,152.54466,189.66547,290.46198,31.959129,107.58196,77.672234,103.01208,78.807617,13.750181,7.8482604,4.1826129,11.568739,101.22245,32.118137,11.959372,13.093467,6.0631304
1992,Self-employed,136.09851,1075.1462,1215.6793,294.52423,52.238537,66.947662,7.2809668,362.70914,226.50169,159.5213,34.008678,648.38928,141.41319,88.319809,243.09505,930.39508,317.1326,28.652439,291.06177,555.60651,596.58655,118.59691,586.00604,150.44525,145.2412,169.04242,19.767761,68.625221,6.0441084,44.009224,140.64407,51.138721,15.991142,13.176279,14.979244
1992,Retired,40.992943,339.12152,370.12311,166.96777,32.668365,80.404808,11.058124,263.72412,183.11201,101.41974,12.748845,167.51476,86.328781,82.502098,157.19838,232.30843,161.98669,14.208349,153.03268,287.25983,603.71149,40.284138,150.85306,32.924343,52.302864,96.005554,10.777897,32.686024,2.8323495,7.6610222,49.137794,32.941628,9.4328537,8.595273,9.3128672
1992,Other not working,37.328804,94.968758,155.6017,52.931488,13.878805,33.930138,12.073825,149.06465,120.50999,137.37512,32.925701,53.242897,46.885864,10.127777,58.744381,129.25677,155.17609,12.550323,102.46674,502.17337,138.52415,68.17189,95.425766,41.91592,95.312958,40.393139,11.942342,3.7244952,2.9910684,14.59133,91.405838,63.594143,10.993667,11.075514,6.7392044
1995,Employee,80.873642,229.89568,309.02646,127.28309,14.903699,44.943851,6.2076569,169.58598,101.62713,104.46539,34.499352,157.68692,83.774521,32.302219,107.39427,196.71545,184.1888,22.673668,149.50562,112.59679,211.00133,52.960777,82.953499,85.811523,109.53867,92.447929,16.361355,13.641252,4.9814372,10.824347,108.36317,29.258965,14.086718,13.463205,7.5301242
1995,Self-employed,133.87462,1178.5684,1315.7205,346.84308,65.937492,89.288399,8.3874388,505.11584,262.91458,223.80383,54.095718,446.97021,153.89439,82.119781,286.8822,998.16296,298.20273,30.130606,314.6048,430.2106,799.32239,124.41482,595.76233,133.2272,142.96236,149.76239,17.889275,35.293598,8.3111658,99.222656,141.90973,32.324188,15.461593,14.029352,13.845842
