year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Managerial or professional,93.415855,222.32518,323.30435,49.723831,9.3480797,19.889532,.99447662,39.779064,19.889532,23.867437,9.944766,149.17149,35.801159,5.9668593,26.850868,232.70752,228.72961,17.900579,133.25986,59.668594,129.28195,19.889532,93.480797,79.558128,95.469749,69.613365,15.334829,5.9668593,2.6850867,5.9668593,87.513939,37.790112,13.922672,5.9668593,5.9668593
1989,"Technical, sales, or services",49.821793,55.551464,125.34383,11.535929,3.0828774,11.933719,.99447662,13.922672,7.9558129,5.9668593,5.9668593,17.900579,12.928196,1.9889532,8.9502897,126.97477,163.09416,13.783445,85.524986,33.155849,51.712784,11.933719,61.657547,24.62324,65.635452,69.613365,7.9558129,3.9779065,1.6906102,3.9779065,63.646503,37.790112,7.9558129,5.9668593,1.9889532
1989,Other occupation,60.201332,73.511711,125.44328,14.02212,2.4663019,17.900579,.99447662,19.889532,7.9558129,13.922672,5.9668593,9.944766,15.911626,3.9779065,11.933719,111.38138,109.39243,15.911626,79.558128,39.779064,83.536034,9.944766,39.779064,31.166897,55.690689,26.516724,11.933719,2.7845345,1.6906102,3.9779065,53.701736,33.812202,11.933719,7.9558129,1.9889532
1989,Retired or other not working,24.910896,87.51593,132.6234,29.038717,5.2508364,39.779064,3.9779065,59.668594,41.768017,41.768017,3.9779065,79.558128,29.834297,11.933719,35.801159,107.40347,109.39243,9.2486324,69.613365,29.834297,151.16045,13.922672,67.624405,7.9558129,23.867437,27.845345,5.9668593,.79558128,1.0143661,1.6707207,23.867437,7.9558129,7.9558129,3.9779065,1.611052
1992,Managerial or professional,87.943672,181.9528,299.26212,50.198807,7.3295979,14.301655,1.7877069,58.994328,16.089361,28.60331,8.0446806,44.692673,44.692673,8.9385347,28.960852,218.81532,223.46336,16.983215,128.71489,71.508278,116.20094,17.877069,75.083687,83.718315,116.20094,64.357445,10.726241,6.2569742,2.6815603,5.3631206,112.62553,19.664776,10.189929,5.8994327,2.6815603
1992,"Technical, sales, or services",53.132633,65.430069,125.49702,14.480426,3.1821182,16.089361,.89385343,44.692673,10.726241,25.027897,5.3631206,44.692673,15.803329,3.5754137,12.513948,111.7138,134.07802,12.335177,89.385345,35.754139,35.754139,12.513948,35.754139,31.46364,80.446808,27.430574,8.4022226,2.6815603,1.7877069,5.3631206,78.659103,25.027897,10.905012,5.18435,2.1452482
1992,Other occupation,53.132633,58.583153,113.16184,11.262553,2.8603311,10.726241,.71508276,35.754139,6.7932858,15.73182,5.7206621,19.664776,10.726241,3.5754137,9.6536169,96.714943,116.20094,12.87149,62.56974,35.754139,59.88818,5.3631206,26.815603,31.999952,60.782032,60.782032,8.5809927,1.7877069,1.7877069,4.4692674,57.206619,21.452482,9.2960758,6.4357448,1.4301655
1992,Retired or other not working,25.650238,89.387131,121.74284,20.201088,4.6480379,35.754139,1.6983215,57.206619,28.60331,44.692673,4.2904963,32.178722,30.391016,5.3631206,27.709455,103.687,116.20094,8.0446806,71.508278,53.631207,71.508278,13.407802,58.815556,9.1173048,39.329552,33.072578,5.3631206,7.1508274,1.3407801,3.5754137,37.541843,21.452482,6.7932858,5.7206621,1.7877069
1995,Managerial or professional,88.895615,184.94348,307.98874,58.426048,6.6772628,18.362473,1.6693157,68.44194,16.693157,38.39426,12.519868,65.10331,45.071522,6.6772628,41.732891,238.71214,225.35762,20.866446,125.19868,78.45784,50.079472,20.031788,58.426048,101.82825,125.19868,59.427639,12.853731,6.6772628,3.6724944,5.8426046,125.19868,28.378366,12.352936,7.5119205,3.1716998
1995,"Technical, sales, or services",51.285931,61.681213,149.2869,19.530993,3.2551656,15.023841,1.4689978,48.410156,8.6804419,23.370419,8.3465786,18.362473,23.069942,3.3386314,18.362473,128.20345,148.56909,16.192362,83.465782,35.556423,58.426048,15.023841,25.039736,37.058807,90.977707,41.732891,12.102539,6.5103312,2.6709051,2.5039735,90.977707,12.686799,12.519868,5.8426046,2.5039735
1995,Other occupation,58.124054,76.287727,145.38071,15.691567,2.5039735,13.354526,1.0015894,14.85691,7.5119205,14.523046,9.1812363,33.386314,18.362473,2.6709051,10.850552,121.69312,125.19868,18.696335,66.772629,23.370419,50.079472,10.015894,33.386314,36.641479,66.772629,41.732891,9.0143042,3.6724944,2.253576,3.0047681,66.772629,20.031788,11.184415,5.8426046,2.0031788
