year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,"White, non-Hispanic",93.673073,460.0809,525.81482,177.22998,32.807724,67.030113,8.6967134,224.68695,126.27708,100.43954,23.770136,282.75275,79.738647,62.309933,127.32275,370.62552,221.28989,20.751596,188.30489,315.89301,636.9903,55.815739,241.82649,78.426689,91.853676,77.087631,19.010122,40.428852,3.6248541,19.002861,88.845711,59.05962,15.0321,12.489799,13.655397
1989,"Black, non-Hispanic",39.401123,82.534134,136.44153,35.066059,9.7251701,39.821201,5.1536908,32.176453,6.5403056,61.000477,10.26942,31.034687,37.02916,46.717529,30.769344,123.73756,122.82626,14.115232,106.89139,144.92804,77.493256,59.443027,77.24955,34.080376,54.174221,30.804926,12.751454,5.553339,4.2235055,8.6293564,52.790371,33.902008,14.49492,6.2321091,5.8502126
1989,Hispanic,44.446732,89.965576,151.33611,33.526035,12.531651,74.423981,3.5078559,141.74631,12.336024,58.457043,13.41457,101.26888,49.041649,12.816006,15.938546,133.80054,164.75807,12.267488,172.43149,215.18953,124.06792,23.767979,101.85714,56.499508,93.009911,86.053276,12.043347,3.7781343,3.6429224,23.437706,92.140678,279.04749,12.889616,7.4370894,5.7536402
1989,Other,66.339157,326.29391,401.13782,62.890884,15.613732,44.572147,5.9501381,101.18054,78.935677,57.111465,25.172531,57.97205,62.471451,10.9728,79.515182,378.32513,254.17474,20.772436,195.33563,244.97583,789.8587,53.544754,242.67717,84.111801,125.94666,132.65086,15.866194,4.5487471,5.1675825,6.7521143,126.44072,47.71883,14.79372,12.296619,8.7445879
1992,"White, non-Hispanic",79.095718,398.68335,466.94669,159.49197,28.348316,62.313374,6.4168849,242.42519,125.20716,92.676483,21.380308,172.90907,85.395187,48.679028,121.0564,325.31497,205.70035,18.845577,176.39616,308.46991,510.67679,49.027603,200.81653,84.673035,105.54137,103.33244,14.99233,22.074501,4.3737936,19.38098,102.59995,37.290268,12.198996,13.993273,8.913312
1992,"Black, non-Hispanic",42.854469,86.108604,131.13168,30.512794,6.7448049,20.182083,5.6149826,72.588051,29.725092,29.260365,16.4447,9.1613779,35.078678,10.353531,37.122471,119.4067,117.608,12.807558,129.25034,138.5808,237.23483,51.686905,84.508766,37.366161,65.303085,58.307835,11.071958,5.9229851,3.0449176,4.1153159,64.819969,28.887053,11.976695,8.0464497,4.2799873
1992,Hispanic,41.187122,96.7388,159.89294,32.655468,5.9733825,57.288548,1.3128802,17258.031,14.255743,64.349083,31.031641,46.901798,27.863203,46.568443,21.235075,146.76544,151.21825,11.781908,174.73926,251.53343,387.43723,29.676231,125.03952,54.491356,110.49567,124.28466,9.0888472,17.501854,4.1193967,13.704338,110.46581,4.620213,11.597748,8.1900167,3.3189709
1992,Other,77.282883,353.85431,446.44083,119.62532,19.361382,32.904976,6.1915197,297.16833,100.10921,83.641418,33.022026,276.8783,86.897575,125.55559,103.18328,359.06973,225.33797,15.913952,296.30475,554.13702,458.97107,50.124538,193.78101,91.149666,150.79903,111.84338,12.550868,4.6065316,3.1522171,12.006342,153.33658,38.295696,11.546304,9.3433456,8.8144302
1995,"White, non-Hispanic",82.011017,421.35315,494.45923,192.06688,27.056473,61.477951,9.2488394,313.27026,162.48044,163.76268,32.828621,221.32448,103.0587,52.116714,166.10922,320.80176,198.541,23.522886,190.20042,229.80287,603.91083,68.105919,181.24818,87.873619,109.56882,107.82565,15.993133,20.896898,5.3591714,24.386816,109.2295,30.492249,13.805337,13.033075,8.39849
1995,"Black, non-Hispanic",38.212456,73.454628,120.12506,38.239746,7.5079999,21.395563,3.272469,13.675163,14.599317,29.12079,25.87587,705.44611,37.258564,16.847387,26.980709,108.3598,117.36755,14.861478,85.637161,86.337776,137.95663,60.48621,54.267956,43.090317,77.315224,62.584282,13.240379,3.9105682,3.3986902,5.0628233,76.607697,32.096115,12.760487,11.855294,7.414969
1995,Hispanic,52.383736,102.79156,166.59488,57.275127,8.1008034,25.057283,2.9578352,197.46913,28.012028,12.69886,57.977314,257.5527,64.32859,19.538374,43.944801,124.11731,162.243,16.136482,84.789688,58.905876,150.66185,16.622675,58.677406,57.234146,99.525864,27.379341,14.139232,3.6199381,3.244487,7.0894127,99.332611,8.3983469,14.551761,10.190701,4.6094208
1995,Other,77.92054,345.44827,433.54187,161.2507,26.190434,76.715271,10.794536,546.64838,182.73944,102.995,71.542549,242.85091,87.264267,39.995007,138.47606,304.97794,255.97774,21.659374,247.35951,223.44383,577.98193,130.31122,162.847,109.29816,148.6994,85.533096,22.402554,3.1704905,5.7709756,12.365251,145.31197,26.318666,13.3866,30.494537,12.982675
1998,"White, non-Hispanic",92.820961,532.88751,621.22473,265.75772,29.48328,60.653667,7.8108101,310.22073,271.82965,172.21855,45.014648,315.50708,127.27004,49.027405,257.25574,381.29709,227.14726,25.402182,219.01425,283.51837,751.48212,63.213886,244.90239,108.99172,124.12405,118.90796,23.993393,11.750822,7.0793953,36.003204,124.26337,29.674669,17.509979,22.605095,19.522699
1998,"Black, non-Hispanic",44.953621,100.78555,154.78291,64.542847,9.1157618,9.4433861,3.9199588,57.356838,53.69611,47.239723,40.882977,425.23807,50.577042,2.9389961,49.815182,118.7634,129.30365,15.172306,102.4872,52.679146,89.997215,27.361145,51.434788,55.653091,92.80439,61.860031,13.886584,3.1636889,3.6843283,11.702888,94.552444,21.322306,12.774095,12.692054,5.8412962
1998,Hispanic,49.656116,136.99748,203.38072,66.68409,17.464212,116.82684,.98339522,108.46234,60.538242,110.79655,66.70768,13.274227,71.733414,15.369571,79.294037,163.62273,168.99394,16.977736,187.30479,230.21063,417.4223,16.958481,101.50676,59.195774,105.07102,71.06646,18.421957,8.0785542,4.5658259,8.2075205,105.14526,28.804731,14.412901,15.790213,14.764763
1998,Other,75.774445,343.93692,458.64502,148.64687,19.34054,74.988014,6.3793225,88.065163,96.784081,38.023792,48.995483,251.0533,143.66304,17.457108,174.1877,351.80621,271.15103,23.782932,181.55217,479.55609,365.92365,64.968857,184.07315,108.56104,158.72581,122.37153,20.615145,5.4727674,6.2619038,41.984612,155.25366,42.517132,18.736593,12.791748,13.306692
2001,"White, non-Hispanic",113.32485,706.18518,801.65057,358.66394,41.445457,56.301517,11.91728,430.43524,307.99472,203.10355,55.063824,463.36014,169.2851,72.584137,338.936,471.57895,276.90167,28.207405,284.25644,390.7597,832.69781,86.347656,295.31812,115.34671,139.09344,105.31275,22.330093,29.513823,6.3475766,30.909626,138.75142,39.091145,16.444633,21.021645,17.994827
2001,"Black, non-Hispanic",53.891556,103.48798,164.92514,60.637489,8.0681267,21.019024,4.2617593,11.516769,51.483326,43.556412,35.50692,217.71703,46.570229,24.242529,60.240749,126.27119,137.40254,19.278866,143.66075,83.317894,135.13187,60.024517,54.563004,61.257118,88.867096,81.812958,17.952641,28.732655,4.4642038,7.7127132,90.239975,19.288645,15.636452,16.192291,5.3775053
2001,Hispanic,55.743599,127.76427,198.77765,65.13752,8.4669647,45.278252,4.9737668,127.15224,85.71199,96.955673,51.604691,343.74054,58.617466,15.148653,68.667542,156.80022,174.27574,18.414604,106.30603,164.94478,463.97177,6.6406336,103.7642,65.90229,113.18596,78.987091,14.185639,4.6973047,5.3174648,3.5805385,112.7984,15.850238,13.501402,12.731269,3.9447951
2001,Other,78.636375,446.62976,570.90393,162.99513,29.18063,53.56142,16.400032,248.36403,78.135689,121.66431,45.803608,126.38329,142.74573,24.282904,170.43402,470.38937,348.45868,24.551479,348.78235,1060.9312,736.97455,20.245262,293.42719,110.42184,144.08044,196.83855,32.531387,2.0612357,6.0886025,9.4474764,140.71329,37.687908,19.290369,30.128658,27.915886
2004,"White, non-Hispanic",109.21516,763.20087,887.7478,340.07266,44.971256,77.840057,7.8148465,750.26471,236.38905,258.1705,32.863998,290.96445,185.38597,58.904121,293.93283,575.10046,354.39014,29.49151,384.82425,449.05597,961.36597,97.812653,346.13345,151.83923,172.20013,220.17894,26.58436,55.632187,7.5795527,27.463142,168.23544,55.987896,18.879208,23.699873,26.485497
2004,"Black, non-Hispanic",52.866936,152.27948,227.97401,59.77256,9.7042551,38.915882,6.7187505,8736.917,22.212442,136.66989,19.490786,52.519833,80.965706,16.455582,61.835239,200.86755,190.35297,17.72319,252.87286,108.27389,406.68716,10.819487,139.90678,82.830406,115.26765,156.61058,23.072578,2.4513004,4.67134,9.221261,118.99528,30.569719,14.879511,22.483932,22.269924
2004,Hispanic,53.545918,168.58598,255.47549,56.696495,8.2074146,44.25259,3.28655,677.84149,110.77087,63.06953,42.943157,398.85413,53.607426,128.68378,71.117722,225.68227,254.39645,20.326883,269.80011,183.05608,604.50043,145.76682,165.44469,103.02689,159.5932,228.27451,20.766531,44.802982,5.0825586,6.6951852,158.33621,34.803406,18.511347,18.816994,7.5241809
2004,Other,90.671806,394.69019,534.14471,136.06126,20.673216,73.111221,11.995523,109.20191,59.749889,231.57401,29.768288,229.0822,117.61153,14.615627,144.71008,446.31595,401.02713,25.340694,422.61029,334.40244,472.76477,43.157009,257.41068,165.52159,214.78307,478.15079,22.202454,35.410328,7.5360451,13.80689,210.35909,48.564754,16.840466,14.346332,44.055325
2007,"White, non-Hispanic",119.50376,854.95923,991.90363,370.91266,39.64933,69.243408,8.771677,757.18829,309.44754,426.58072,42.427029,329.14758,207.42757,94.402794,327.64255,657.50104,386.56094,29.654783,457.16519,349.74948,1237.8668,81.842102,449.74463,164.29317,181.5396,213.1147,27.361956,38.249027,9.9483786,21.038435,182.6622,48.016224,18.29089,29.062267,22.22806
2007,"Black, non-Hispanic",55.969894,165.96516,270.05627,67.840149,9.4927921,62.053368,4.6124973,54.448135,37.593723,72.51722,24.370846,90.836876,84.336708,10.317421,60.07653,239.7298,257.51004,17.264805,257.46429,176.89404,334.79675,78.337112,153.44061,108.42129,161.58765,220.62279,19.53566,3.6783412,6.3541899,8.3498478,162.5666,44.007359,13.687667,21.185562,6.5990849
2007,Hispanic,59.217339,229.75302,353.70901,57.724281,8.8935118,79.56649,5.9659014,857.21765,89.974754,99.797356,14.10962,31.470343,80.219551,12.287548,78.037369,329.85449,332.70358,21.486059,423.51395,359.04437,717.08429,19.397469,245.07599,143.41922,198.10855,246.68048,22.988567,26.95735,7.2657485,22.808764,191.10782,52.151356,20.584023,21.981035,5.0383587
2007,Other,86.228416,487.36511,628.69751,139.72368,22.273149,61.893368,4.32623,76.414795,75.896637,173.92929,32.911488,154.60503,101.9473,57.42207,113.54712,530.48529,402.35431,23.07543,386.75406,471.57303,1114.5571,55.164783,386.91565,159.33778,218.0132,241.99141,28.657013,9.1170416,7.7396479,14.373982,219.71129,51.028061,18.068291,23.653292,30.750969
2010,"White, non-Hispanic",105.93716,764.86005,903.17047,360.37433,47.614929,91.38961,7.1450639,714.61243,267.12225,462.57315,36.416283,293.3342,228.08389,93.244072,282.8356,573.19116,329.50928,28.032652,372.57712,415.36136,1045.0869,83.352776,286.19748,171.00955,186.60568,224.89012,27.67271,68.503578,9.2548256,23.616877,184.1075,62.431232,16.246788,29.459454,19.105745
2010,"Black, non-Hispanic",49.97509,116.97303,194.37616,51.340294,7.958004,54.143524,11.623719,1424.917,75.285568,85.2743,17.271877,35.863544,62.241085,28.214523,53.006187,167.5645,179.34416,18.430866,204.91779,103.60514,105.2766,20.4739,81.88604,86.93512,122.8176,126.01498,27.949677,19.318134,6.0245228,7.3404374,122.87948,33.600788,14.539166,32.934357,12.819149
2010,Hispanic,59.618771,136.47108,223.34364,45.994488,8.4190779,23.821289,2.8226357,76.066124,73.087303,327.92255,27.136087,103.14469,77.029251,16.823851,61.409382,198.9382,219.61612,21.957418,134.69691,437.17148,465.77496,52.400864,96.518768,103.07092,148.38954,101.21367,24.26836,4.5418,4.8984346,11.660578,146.87683,63.87011,23.366863,21.641922,8.5306559
2010,Other,86.854286,393.66125,536.78699,199.1039,30.104229,74.135269,3.5114262,247.19824,127.60501,496.77448,30.105753,464.59933,173.26711,50.977623,210.94919,390.11807,328.55728,23.820852,313.15918,287.40414,596.56793,35.343185,175.48117,163.38979,228.72813,253.4214,30.415794,11.927208,8.7776995,12.944847,217.95723,92.652206,14.953194,40.15036,21.578007
2013,"White, non-Hispanic",113.89371,764.88641,884.89935,389.13956,50.156609,79.886475,7.1075468,654.84833,343.70828,526.57928,44.003811,428.74951,259.83719,79.983589,340.62341,527.32544,304.07117,27.327444,375.53003,320.51968,1128.517,88.211555,281.0343,151.13071,172.6656,183.00993,30.16312,49.67017,7.0744143,20.527821,172.35019,51.891064,16.581987,34.865936,22.694826
2013,"Black, non-Hispanic",47.168545,108.74717,177.50555,46.23185,8.4418888,28.357656,7.7688432,49.687111,71.95446,101.26678,13.612544,41.219181,61.832066,33.688755,39.678577,157.13373,162.68837,16.535734,153.12193,83.222977,384.6907,22.497826,65.208572,74.216118,122.64226,79.062294,22.566105,3.6102006,3.9127414,3.8531015,122.45696,17.672094,13.82388,25.497925,5.509716
2013,Hispanic,48.391453,118.39026,185.03322,31.536821,6.3917832,5.9455199,20.134623,,141.90164,240.47601,9.9500637,239.52663,43.509933,10.045336,55.185497,178.09956,203.37497,18.821943,171.47662,66.556526,604.87323,19.295767,94.376015,84.033302,159.47276,103.02632,18.724133,2.4531088,4.4552541,10.318195,158.63101,59.79451,14.533292,21.141485,8.641346
2013,Other,77.530251,409.44299,528.86853,170.18254,33.136448,32.607002,4.3928914,506.9361,152.86731,378.20193,41.199909,280.88129,144.95505,36.363281,208.86806,407.68631,356.15787,21.742731,316.88879,304.50922,912.31024,52.047626,244.81935,147.43727,238.71941,183.99673,27.905081,23.133068,5.9554615,9.6550722,240.091,88.920372,15.916406,34.72427,10.113743
2016,"White, non-Hispanic",130.52176,988.9494,1106.9694,487.76669,54.640942,90.03775,10.784775,803.19489,385.49481,897.30725,47.724049,503.37326,277.50723,86.767654,431.67908,654.59271,339.32346,29.349977,421.98703,571.13043,1475.4008,84.640182,398.28186,148.22893,171.38159,189.93912,33.889278,77.522202,6.9598165,35.93713,174.28763,51.139996,18.630318,36.077541,27.666342
2016,"Black, non-Hispanic",57.486103,146.83263,207.8631,63.661301,9.1123877,25.023706,9.4396439,226.13979,80.448868,140.48703,14.53383,676.36383,79.483475,17.335951,63.04229,177.85925,183.61813,19.36503,206.77838,175.09982,337.51343,84.700653,108.27481,76.694717,116.81586,52.324867,33.319519,5.7860107,4.0840554,5.8839397,117.0963,34.513462,17.621288,37.536606,6.249218
2016,Hispanic,60.942562,203.59598,276.85666,84.359161,17.729534,34.060989,3.3746862,2176.1091,402.34717,308.17212,42.467457,235.34795,102.34936,46.531528,126.59993,226.95575,243.19244,21.152863,254.31061,514.79767,610.03223,35.564217,133.6843,91.779724,151.09962,118.42101,27.462761,136.07497,4.0327883,5.751914,154.28517,47.635612,16.806955,33.663532,7.5427055
2016,Other,92.469833,486.78894,603.7691,237.08134,36.084339,69.917938,4.5070634,1437.1124,166.58961,401.96094,24.555443,410.74173,221.81914,20.40731,247.24634,418.52942,384.02469,25.311068,316.05603,279.10098,605.61157,31.29147,240.98508,143.15625,211.60611,132.43431,34.144073,7.9109201,6.0847697,30.59359,208.79576,96.76812,18.390705,38.639923,15.765062
2019,"White, non-Hispanic",122.49966,980.54926,1101.4119,481.43109,51.51442,105.51032,8.3032093,673.58075,389.01999,879.96887,45.183723,526.40503,294.19296,99.796631,433.87457,653.12366,354.87854,29.133781,435.13031,429.17361,1373.3888,89.502457,410.31219,152.25385,178.61571,201.24809,33.633698,56.961254,6.9355531,32.308666,183.66588,50.957127,18.363234,40.171219,20.818556
2019,"Black, non-Hispanic",59.598972,142.32974,206.96565,68.804108,13.268765,39.633217,2.1632693,,56.028809,268.28314,23.96332,43.130478,109.13763,6.7601557,76.286964,173.51546,199.25044,18.392454,173.55057,139.97739,345.64078,22.253031,94.080307,84.337105,134.03635,144.99156,34.939545,7.7009358,3.9387107,7.1274748,135.28424,19.347206,13.58746,44.881744,6.0321293
