year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,"White, non-Hispanic",60.201332,143.56264,197.76161,32.221043,5.7679644,23.867437,1.1933719,55.690689,17.900579,25.856392,5.9668593,63.646503,23.867437,5.9668593,19.889532,149.17149,149.17149,15.275161,99.447662,43.756969,109.39243,15.911626,69.613365,37.451988,67.624405,53.701736,11.933719,5.9668593,1.8895055,3.9779065,65.635452,35.801159,11.933719,5.9668593,3.9779065
1989,"Black, non-Hispanic",22.834988,8.5524988,53.363613,3.9779065,1.9889532,19.889532,.89502895,11.933719,3.9779065,89.502892,3.9779065,15.911626,11.933719,.39779064,7.9558129,62.758038,89.502892,9.944766,62.652027,24.861916,3.9779065,9.944766,33.812202,9.944766,29.834297,13.922672,5.9668593,3.9779065,1.1933719,.55690688,27.845345,35.801159,9.944766,3.9779065,1.3922672
1989,Hispanic,29.062712,9.944766,32.221043,3.5801158,1.9889532,29.834297,1.1933719,69.613365,1.9889532,1.5911626,3.9779065,51.712784,8.5524988,1.9889532,1.9889532,35.801159,109.39243,7.9558129,119.33719,47.734875,3.9779065,15.911626,33.812202,17.542566,83.536034,67.624405,5.9668593,1.7900579,2.1878486,5.9668593,81.547081,318.23251,9.944766,7.9558129,1.3723778
1989,Other,45.669975,72.000107,96.066437,7.9558129,3.3812203,29.834297,.99447662,49.723831,13.922672,49.723831,3.9779065,31.823252,12.391178,1.9889532,9.944766,94.475273,149.17149,13.922672,49.723831,37.292873,39.779064,7.9558129,47.734875,21.878485,53.701736,107.40347,7.9558129,1.9889532,1.1933719,.99447662,53.701736,69.613365,13.922672,7.9558129,1.5911626
1992,"White, non-Hispanic",54.964794,124.60316,187.7986,28.066998,5.18435,19.664776,1.0726241,53.631207,14.301655,28.60331,5.5418911,39.329552,26.815603,5.3631206,20.558628,143.01656,151.95508,13.193276,89.385345,57.206619,78.301559,12.513948,53.631207,39.329552,80.446808,44.692673,9.1173048,3.5754137,1.8770922,5.3631206,76.871391,21.452482,9.4748459,6.2569742,2.324019
1992,"Black, non-Hispanic",31.146717,17.698298,54.346287,4.6122837,1.1620095,9.4748459,.89385343,53.631207,7.1508274,17.877069,5.3631206,3.932955,9.8323879,1.2513947,10.3687,61.139576,82.234512,8.2234516,71.508278,53.631207,20.558628,8.9385347,35.825645,10.011158,39.329552,19.664776,5.8815556,3.932955,1.2513947,2.5027895,41.117256,21.452482,12.335177,5.18435,1.1620095
1992,Hispanic,31.146717,12.13853,43.620049,3.5754137,1.7877069,23.240189,.62569737,20871.479,2.324019,44.692673,7.8659101,14.301655,11.620094,1.3765342,7.7586479,39.687092,112.62553,7.1508274,125.13948,58.100471,53.631207,26.815603,39.329552,15.999976,92.960754,105.4747,4.6122837,5.3631206,3.0391016,8.9385347,92.960754,3.5754137,7.8659101,6.2569742,1.7877069
1992,Other,49.468315,66.413307,107.26241,16.983215,4.6837921,14.301655,3.5754137,23.240189,21.452482,35.754139,8.5809927,57.206619,35.754139,8.9385347,24.134043,94.265785,143.01656,11.763111,53.631207,71.561905,80.446808,16.089361,39.329552,25.349684,71.508278,31.28487,6.5251298,1.7877069,1.4301655,3.5754137,80.446808,14.301655,8.7597637,3.0391016,1.7519528
1995,"White, non-Hispanic",54.70499,128.20345,198.81549,31.550066,4.0898232,18.362473,1.6693157,48.744019,15.357704,35.389492,8.3465786,50.079472,30.214613,6.6772628,26.709051,156.41487,151.90773,18.195541,91.812363,56.756733,58.426048,16.693157,47.074703,44.220173,90.143044,55.087418,10.850552,6.3433995,2.5039735,4.1732893,90.143044,20.031788,11.351347,6.5103312,2.8044503
1995,"Black, non-Hispanic",29.062027,18.228928,50.129551,7.3950686,1.7527815,15.023841,.9181236,15.190773,1.6693157,7.3449888,8.3465786,.083465785,13.354526,2.8378367,7.3449888,53.751965,96.820313,11.685209,41.732891,16.693157,12.519868,5.8426046,26.041325,10.349757,41.732891,31.716997,6.6772628,1.3354526,1.6693157,2.1701105,41.732891,16.693157,11.351347,5.8426046,1.1518278
