date,All sectors; U.S. wealth,Households and nonprofit organizations; nonfinancial assets,Households and nonprofit organizations; real estate at market value,Nonprofit organizations; equipment, current cost basis,Nonprofit organizations; nonresidential intellectual property products, current cost basis,Households and nonprofit organizations; consumer durable goods, current cost basis,Nonfinancial noncorporate business; nonfinancial assets,Nonfinancial noncorporate business; real estate at market value,Nonfinancial noncorporate business; equipment, current cost basis,Nonfinancial noncorporate business; nonresidential intellectual property products, current cost basis,Nonfinancial noncorporate business; inventories,Security brokers and dealers; proprietors' equity in noncorporate business,All domestic sectors; market value estimate of nonfinancial assets,Nonfinancial corporate business; market value estimate of nonfinancial assets,Domestic financial sectors; market value estimate of nonfinancial assets,Federal government; nonfinancial assets (does not include land),Federal government; total residential and nonresidential structures,Federal government; nonresidential equipment, current cost basis,Federal government; nonresidential intellectual property products, current cost basis,State and local governments; nonfinancial assets (does not include land),State and local governments; total residential and nonresidential structures,State and local governments; nonresidential equipment, current cost basis,State and local governments; nonresidential intellectual property products, current cost basis,All domestic sectors; U.S. financial claims on the rest of the world; asset,Rest of the world; total liabilities and equity,Rest of the world; foreign corporate equities including foreign investment fund shares; liability,Rest of the world; total financial liabilities and foreign direct investment: equity,Rest of the world; total financial assets,Rest of the world; U.S. corporate equities; asset,Rest of the world; total financial assets excluding U.S. corporate equities and mutual fund shares,All sectors; U.S. wealth,All sectors; U.S. wealth,All sectors; U.S. wealth,Households and nonprofit organizations; net worth,Households and nonprofit organizations; net worth,Households and nonprofit organizations; net worth
1945:Q4,716494,189324,134635,436,257,53996,188688,151676,10964,1942,24107,0,135449,106297,29152,135721,54203,77510,4008,66207,64931,993,283,1105,14523,942,13581,13418,2700,10718,716494,ND,ND,806613,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,798540,220712,158074,590,292,61756,227819,179671,13074,2162,32912,0,139388,111474,27914,132686,58350,69624,4712,73034,71615,1099,320,4901,16756,1001,15755,11855,2690,9165,798540,82045,11.45093380623129,885213,78599,9.744344437182281
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,913634,280809,206381,768,310,73350,262959,206256,17091,2507,37106,0,140578,113469,27109,124219,60427,58568,5224,93348,91580,1452,316,11721,23622,972,22650,11901,2480,9421,913634,115095,14.41312982863567,984192,98979,11.18140389517455
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
