date,Households and nonprofit organizations; total assets,Households and nonprofit organizations; nonfinancial assets,Households and nonprofit organizations; total financial assets,Households and nonprofit organizations; total currency and deposits including money market fund shares; asset,Households and nonprofit organizations; directly and indirectly held debt securities; asset,Households and nonprofit organizations; debt securities; asset,Households and nonprofit organizations; indirectly held debt securities; asset,Life insurance companies; debt securities held indirectly through mutual funds; asset,Private defined contribution pension funds; debt held directly and indirectly through mutual funds; asset,Federal government defined contribution retirement funds; debt securities; asset,State and local government employee retirement funds; debt securities held indirectly through mutual funds; asset,Mutual funds; debt securities indirectly held by households; asset,Households and nonprofit organizations; loans; asset,Households and nonprofit organizations; directly and indirectly held corporate equities; asset,Households and nonprofit organizations; corporate equities; asset,Households and nonprofit organizations; indirectly held corporate equities; asset,Life insurance companies; corporate equities held directly and indirectly through mutual funds; asset,Private defined contribution pension funds; corporate equities held directly and indirectly through mutual funds; asset,Federal government retirement funds; corporate equities held by Thrift Savings Plan; asset,State and local government employee retirement funds; corporate equities held indirectly through mutual funds; asset,Mutual funds; corporate equities indirectly held by households; asset,Households and nonprofit organizations; other financial assets (B.101.e),Households and nonprofit organizations; total liabilities,Households and nonprofit organizations; net worth,Households and nonprofit organizations; directly and indirectly held debt securities as a percentage of total assets,Households and nonprofit organizations; directly and indirectly held debt securities as a percentage of disposable personal income; assets,Households and nonprofit organizations; directly and indirectly held corporate equities as a percentage of total assets,Households and nonprofit organizations; directly and indirectly held corporate equities as a percentage of financial assets; assets
1945:Q4,837197,189324,647873,105679,79903,78843,1060,0,873,0,0,187,12883,145888,144855,1033,0,0,0,0,1033,303520,30584,806613,9.544105078769675,12.33311931742661,17.42575875413377,22.51797943732692
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,922654,220712,701942,117219,77633,76489,1144,0,925,0,0,219,14444,139559,138515,1044,0,0,0,0,1044,353087,37441,885213,8.414100437977943,11.05975209146225,15.12582848819141,19.8818536206559
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1030660,280809,749851,120566,77517,76315,1202,0,978,0,0,224,15730,137558,136405,1153,0,0,0,0,1153,398480,46468,984192,7.52110452794022,10.33765666677322,13.34659618734472,18.34471633019841
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1092118,313676,778442,120393,78514,77229,1285,0,1030,0,0,255,16922,136712,135486,1226,0,0,0,0,1226,425901,55109,1037009,7.189150310371388,10.08604448819792,12.51806196641992,17.56226041305391
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
