date,FL192000005.A,LM192010005.A,LM155035015.A,LM155111005.A,FL194090005.A,FL193020005.A,FL193030205.A,FL193034005.A,LM194022005.A,LM193061005.A,LM193063005.A,FL194023005.A,FL153067005.A,FL193065005.A,LM193064005.A,FL153040005.A,FL153050005.A,LM152090205.A,FL193090005.A,FL194190005.A,FL194123005.A,FL153165105.A,FL153166000.A,FL193168005.A,FL193169005.A,FL543077073.A,FL192090005.A,FL152090005.A,FL152000005.A,FL192000005.A,FL162000005.A,FL163093005.A,FL153069803.A,FL154190005.A,FL194190005.A,FL164190005.A,FL163193005.A
1945,ND,170045,116049,53996,ND,ND,ND,0,ND,ND,ND,12883,694,12189,ND,39560,61172,197385,6251,ND,ND,18706,6800,ND,3330,638,ND,806613,837197,ND,ND,ND,0,30584,ND,ND,ND
1946,ND,195178,133422,61756,ND,ND,ND,0,ND,ND,ND,14444,733,13711,ND,43360,69381,234182,7054,ND,ND,23100,9777,ND,2602,703,ND,885213,922654,ND,ND,ND,0,37441,ND,ND,ND
1947,ND,250823,177473,73350,ND,ND,ND,0,ND,ND,ND,15730,660,15070,ND,46510,77939,267381,7592,ND,ND,28267,13298,ND,2686,784,ND,984192,1030660,ND,ND,ND,0,46468,ND,ND,ND
1948,ND,282389,199326,83063,ND,ND,ND,0,ND,ND,ND,16922,654,16268,ND,49353,86476,283080,7987,ND,ND,33422,16332,ND,2787,835,ND,1037009,1092118,ND,ND,ND,0,55109,ND,ND,ND
1949,ND,308301,216535,91766,ND,ND,ND,0,ND,ND,ND,17695,702,16993,ND,52104,95413,284819,8357,ND,ND,37406,19374,ND,3350,904,ND,1079406,1142467,ND,ND,ND,0,63061,ND,ND,ND
1950,ND,350843,243315,107528,ND,ND,ND,0,ND,ND,ND,18660,971,17689,ND,55049,104563,301720,8692,ND,ND,45250,23947,ND,4063,1007,ND,1171496,1248299,ND,ND,ND,0,76803,ND,ND,ND
1951,ND,390934,270874,120060,ND,ND,ND,0,ND,ND,ND,19516,893,18623,ND,57777,118836,328513,9276,ND,ND,51792,25350,ND,4186,1086,ND,1280578,1366145,ND,ND,ND,0,85567,ND,ND,ND
1952,ND,421726,294752,126974,ND,ND,ND,0,ND,ND,ND,20003,714,19289,ND,60665,135627,330657,10648,ND,ND,58416,30522,ND,4404,1162,ND,1338212,1436102,ND,ND,ND,0,97890,ND,ND,ND
1953,ND,450182,315055,135127,ND,ND,ND,0,ND,ND,ND,20993,708,20285,ND,63647,152853,330217,11293,ND,ND,65938,34614,ND,4996,1254,ND,1386237,1496861,ND,ND,ND,0,110624,ND,ND,ND
1954,ND,476259,337554,138705,ND,ND,ND,0,ND,ND,ND,22443,1020,21423,ND,66349,169935,333828,11668,ND,ND,75356,35963,ND,6047,1341,ND,1484111,1607203,ND,ND,ND,0,123092,ND,ND,ND
1955,ND,515488,367383,148105,ND,ND,ND,0,ND,ND,ND,23624,899,22725,ND,69254,188255,343802,12173,ND,ND,87936,42949,ND,6713,1482,ND,1600547,1744973,ND,ND,ND,0,144426,ND,ND,ND
1956,ND,553353,394263,159090,ND,ND,ND,0,ND,ND,ND,25209,882,24327,ND,72724,207775,360825,12548,ND,ND,98745,46580,ND,7034,1669,ND,1710505,1870105,ND,ND,ND,0,159600,ND,ND,ND
1957,ND,585643,417162,168481,ND,ND,ND,0,ND,ND,ND,27177,894,26283,ND,75462,238362,373178,12911,ND,ND,107374,49217,ND,7160,1843,ND,1775857,1947933,ND,ND,ND,0,172076,ND,ND,ND
1958,ND,611048,438440,172608,ND,ND,ND,0,ND,ND,ND,30043,1156,28887,ND,78535,261909,387265,13242,ND,ND,117177,49490,ND,8591,1969,ND,1920781,2104930,ND,ND,ND,0,184149,ND,ND,ND
1959,ND,643868,463647,180221,ND,ND,ND,0,ND,ND,ND,30443,-358,30801,ND,81956,282854,388616,13801,ND,ND,130099,57213,ND,9206,2187,ND,2015757,2222459,ND,ND,ND,0,206702,ND,ND,ND
1960,ND,672318,486897,185421,ND,ND,ND,0,ND,ND,ND,33623,48,33575,ND,85184,307674,398552,14332,ND,ND,141378,61248,ND,9901,2379,ND,2090794,2315344,ND,ND,ND,0,224550,ND,ND,ND
1961,ND,699442,511054,188388,ND,ND,ND,0,ND,ND,ND,36094,-740,36834,ND,88631,332393,415779,14966,ND,ND,154027,63435,ND,11700,2512,ND,2256322,2499235,ND,ND,ND,0,242913,ND,ND,ND
1962,ND,727881,533162,194719,ND,ND,ND,0,ND,ND,ND,38142,-864,39006,ND,92398,347129,432848,15545,ND,ND,168307,69344,ND,12308,2667,ND,2318958,2584007,ND,ND,ND,0,265049,ND,ND,ND
1963,ND,758089,553248,204841,ND,ND,ND,0,ND,ND,ND,39382,-1146,40528,ND,96635,372399,438463,16178,ND,ND,185106,77870,ND,14502,2853,ND,2422304,2716308,ND,ND,ND,0,294004,ND,ND,ND
1964,ND,795230,579830,215400,ND,ND,ND,0,ND,ND,ND,41275,-823,42098,ND,101051,401876,458148,17163,ND,ND,202335,87352,ND,14765,3039,ND,2603766,2927135,ND,ND,ND,0,323369,ND,ND,ND
1965,ND,833470,605593,227877,ND,ND,ND,0,ND,ND,ND,42301,-310,42611,ND,105876,435926,485038,18540,ND,ND,219449,97489,ND,15956,3303,ND,2802655,3155441,ND,ND,ND,0,352786,ND,ND,ND
1966,ND,898505,648979,249526,ND,ND,ND,0,ND,ND,ND,44552,-65,44617,ND,110568,475695,518534,19863,ND,ND,232742,103422,ND,17891,3659,ND,2902140,3278162,ND,ND,ND,0,376022,ND,ND,ND
1967,ND,957614,685689,271925,ND,ND,ND,0,ND,ND,ND,48766,2159,46607,ND,115533,520252,543197,21624,ND,ND,245974,108567,ND,22426,3947,ND,3203591,3614460,ND,ND,ND,0,410869,ND,ND,ND
1968,ND,1070194,768164,302030,ND,ND,ND,0,ND,ND,ND,53960,4878,49082,ND,120321,576542,588293,23517,ND,ND,262934,119324,ND,27320,4302,ND,3595390,4031534,ND,ND,ND,0,436144,ND,ND,ND
1969,ND,1162277,832441,329836,ND,ND,ND,0,ND,ND,ND,51888,2651,49237,ND,125359,638886,623263,25752,ND,ND,278689,129231,ND,26775,4688,ND,3660242,4124022,ND,ND,ND,0,463780,ND,ND,ND
1970,ND,1228921,874469,354452,ND,ND,ND,0,ND,ND,ND,53672,3564,50108,ND,130699,716279,654582,28452,ND,ND,286015,133660,ND,28088,5118,ND,3875615,4354356,ND,ND,ND,0,478741,ND,ND,ND
1971,ND,1335185,957235,377950,ND,ND,ND,0,ND,ND,ND,50938,3597,47341,ND,137050,805219,720885,30995,ND,ND,309454,149243,ND,32037,5436,ND,4294158,4818244,ND,ND,ND,0,524086,ND,ND,ND
1972,ND,1508124,1098624,409500,ND,ND,ND,0,ND,ND,ND,50969,2709,48260,ND,143924,911037,802061,33898,ND,ND,343552,168757,ND,37093,5976,ND,4889284,5474707,ND,ND,ND,0,585423,ND,ND,ND
1973,ND,1705647,1251410,454237,ND,ND,ND,0,ND,ND,ND,50804,3573,47231,ND,151271,969401,938100,36934,ND,ND,382218,192980,ND,35323,6376,ND,5098548,5750511,ND,ND,ND,0,651963,ND,ND,ND
1974,ND,1786898,1261141,525757,ND,ND,ND,2379,ND,ND,ND,54027,3433,50594,ND,158390,1060356,1051035,39837,ND,ND,419339,201926,ND,36967,7086,ND,5209755,5918373,ND,ND,ND,0,708618,ND,ND,ND
1975,ND,1991475,1413658,577817,ND,ND,ND,3645,ND,ND,ND,55203,4722,50481,ND,168615,1182138,1149585,43806,ND,ND,459087,206996,ND,40149,7744,ND,5858630,6624406,ND,ND,ND,0,765776,ND,ND,ND
1976,ND,2225542,1589977,635565,ND,ND,ND,3099,ND,ND,ND,60263,7424,52839,ND,177810,1268980,1279516,49675,ND,ND,517073,228961,ND,45896,8375,ND,6519976,7375329,ND,ND,ND,0,855353,ND,ND,ND
1977,ND,2591886,1886806,705080,ND,ND,ND,3197,ND,ND,ND,60722,5344,55378,ND,187791,1382302,1443281,57037,ND,ND,602997,264892,ND,49728,9284,ND,7106422,8093307,ND,ND,ND,0,986885,ND,ND,ND
1978,ND,3006024,2210877,795147,ND,ND,ND,8928,ND,ND,ND,73592,11147,62445,ND,199349,1521778,1675021,64095,ND,ND,708641,311305,ND,55754,10349,ND,7957259,9107511,ND,ND,ND,0,1150252,ND,ND,ND
1979,ND,3499049,2603271,895778,ND,ND,ND,39459,ND,ND,ND,86010,14399,71611,ND,210280,1684319,1944230,71830,ND,ND,826724,354616,ND,61871,11692,ND,9104386,10425614,ND,ND,ND,0,1321228,ND,ND,ND
1980,ND,3934357,2943161,991196,ND,ND,ND,64366,ND,ND,ND,109476,22221,87255,ND,220528,1884123,2187657,78906,ND,ND,926526,358044,ND,76832,12939,ND,10362045,11808992,ND,ND,ND,0,1446947,ND,ND,ND
1981,ND,4353957,3292960,1060997,ND,ND,ND,154610,ND,ND,ND,119766,18359,101407,ND,230103,2084376,2345345,86791,ND,ND,998261,377882,ND,83987,14722,ND,11255734,12811799,ND,ND,ND,0,1556065,ND,ND,ND
1982,ND,4549623,3447373,1102250,ND,ND,ND,186712,ND,ND,ND,134201,23313,110888,ND,237912,2331384,2388477,95310,ND,ND,1031175,396718,ND,92616,15515,ND,12078016,13707046,ND,ND,ND,0,1629030,ND,ND,ND
1983,ND,4814763,3639799,1174964,ND,ND,ND,149944,ND,ND,ND,133886,22573,111313,ND,246680,2614619,2446913,111538,ND,ND,1116384,444878,ND,102820,16099,ND,12975073,14768828,ND,ND,ND,0,1793755,ND,ND,ND
