date,Nonfinancial corporate business; total assets,Nonfinancial corporate business; nonfinancial assets,Nonfinancial corporate business; real estate at market value,Nonfinancial corporate business; equipment, current cost basis,Nonfinancial corporate business; nonresidential intellectual property products, current cost basis,Nonfinancial corporate business; inventories excluding IVA, current cost basis,Nonfinancial corporate business; total financial assets,Nonfinancial corporate business; private foreign deposits; asset,Nonfinancial corporate business; checkable deposits and currency; asset,Nonfinancial corporate business; total time and savings deposits; asset,Nonfinancial corporate business; money market fund shares; asset,Nonfinancial corporate business; security repurchase agreements; asset,Nonfinancial corporate business; debt securities; asset,Nonfinancial corporate business; commercial paper; asset,Nonfinancial corporate business; Treasury securities; asset,Nonfinancial corporate business; agency- and GSE-backed securities; asset,Nonfinancial corporate business; municipal securities; asset,Nonfinancial corporate business; loans; asset,Nonfinancial corporate business; total mortgages; asset,Nonfinancial corporate business; consumer credit; asset,Nonfinancial corporate business; corporate equities; asset,Nonfinancial corporate business; mutual fund shares; asset,Nonfinancial corporate business; trade receivables; asset,Nonfinancial corporate business; U.S. direct investment abroad (market value); asset,Nonfinancial corporate business; total miscellaneous assets,Nonfinancial corporate business; total liabilities,Nonfinancial corporate business; debt securities; liability,Nonfinancial corporate business; commercial paper; liability,Nonfinancial corporate business; municipal securities; liability,Nonfinancial corporate business; corporate bonds; liability,Nonfinancial corporate business; loans; liability,Nonfinancial corporate business; depository institution loans n.e.c.; liability,Nonfinancial corporate business; other loans and advances; liability,Nonfinancial corporate business; total mortgages; liability,Nonfinancial corporate business; trade payables; liability,Nonfinancial corporate business; total taxes payable; liability,Nonfinancial corporate business; foreign direct investment in U.S.: intercompany debt; liability (market value),Nonfinancial corporate business; total miscellaneous liabilities,Nonfinancial corporate business; net worth,Nonfinancial corporate business; corporate equities; liability,Nonfinancial corporate business; public corporate equities; liability (equal to total before 1996q4),Nonfinancial corporate business; closely held corporate equities; liability,Nonfinancial corporate business; foreign direct investment in U.S.; liability (market value),Nonfinancial corporate business; corporate equities as a percentage of net worth,Nonfinancial corporate business; debt as a percentage of the market value of corporate equities,Nonfinancial corporate business; debt as a percentage of net worth (market value),Nonfinancial corporate business; total assets at historical cost,Nonfinancial corporate business; nonfinancial assets at historical cost,Nonfinancial corporate business; real estate, historical cost basis,Nonfinancial corporate business; nonresidential equipment, historical cost basis,Nonfinancial corporate business; nonresidential intellectual property products, historical cost basis,Nonfinancial corporate business; inventories, historical cost basis (SOI),Nonfinancial corporate business; net worth at historical cost,Nonfinancial corporate business; residential structures, historical cost basis,Nonfinancial corporate business; nonresidential structures, historical cost basis
1945:Q4,286155,217386,142811,32441,5846,36287,68769,33,18959,900,0,0,18760,0,18508,0,252,2799,5,2794,0,0,19821,6990,507,70188,24000,95,0,23905,20653,8912,3199,8541,13697,10105,309,1424,215967,103694,103694,0,1184,48.56214319591503,42.5758233095208,20.67573228240926,193195,124426,66535,26895,4744,26252,123007,1111,57924
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,312172,245008,159407,39251,6662,39688,67164,68,19502,900,0,0,13124,32,12779,0,313,3331,10,3321,0,0,22579,6971,689,80160,24995,137,0,24858,24894,12505,3054,9335,20041,8147,305,1778,232012,97302,97302,0,1176,42.44516737908533,50.6605269726973,21.50294546868803,210834,143670,70215,30534,5393,37528,130674,1129,60810
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,362724,286835,187736,47231,7773,44094,75889,51,21434,900,0,0,12770,129,12291,0,350,4135,16,4119,0,0,27554,8088,957,92995,27843,172,0,27671,28937,15574,2869,10495,23392,10333,324,2166,269729,95116,95116,0,1247,35.7258963428084,58.92290321956326,21.05073532639449,237210,161321,74185,36452,6083,44601,144215,1168,64315
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
