date,Nonfinancial noncorporate business; total assets,Nonfinancial noncorporate business; nonfinancial assets,Nonfinancial noncorporate business; real estate at market value,Nonfinancial noncorporate business; residential real estate at market value,Nonfinancial noncorporate business; nonresidential real estate at market value,Nonfinancial noncorporate business; equipment, current cost basis,Nonfinancial noncorporate business; residential equipment, current cost basis,Nonfinancial noncorporate business; nonresidential equipment, current cost basis,Nonfinancial noncorporate business; nonresidential intellectual property products, current cost basis,Nonfinancial noncorporate business; inventories,Nonfinancial noncorporate business; total financial assets,Nonfinancial noncorporate business; checkable deposits and currency; asset,Nonfinancial noncorporate business; total time and savings deposits; asset,Nonfinancial noncorporate business; money market fund shares; asset,Nonfinancial noncorporate business; debt securities; asset,Nonfinancial noncorporate business; total U.S. government securities; asset,Nonfinancial noncorporate business; municipal securities; asset,Nonfinancial noncorporate business; loans; asset,Nonfinancial noncorporate business; total mortgages; asset,Nonfinancial noncorporate business; consumer credit; asset,Nonfinancial noncorporate business; trade receivables; asset,Nonfinancial noncorporate business; total miscellaneous assets,Nonfinancial noncorporate business; insurance receivables due from property-casualty insurance companies; asset,Nonfinancial noncorporate business; equity in Farm Credit System; asset,Nonfinancial noncorporate business; Paycheck Protection Program receivables due from federal government; asset,Nonfinancial noncorporate business; unidentified miscellaneous assets,Nonfinancial noncorporate business; total liabilities,Nonfinancial noncorporate business; loans; liability,Nonfinancial noncorporate business; depository institution loans n.e.c.; liability,Nonfinancial noncorporate business; other loans and advances; liability,Nonfinancial noncorporate business; total mortgages; liability,Nonfinancial noncorporate business; trade payables; liability,Nonfinancial noncorporate business; taxes payable; liability,Nonfinancial noncorporate business; foreign direct investment in U.S. real estate business: interncompany debt; liability (market value),Nonfinancial noncorporate business; unidentified miscellaneous liabilities,Nonfinancial noncorporate business; net worth,Nonfinancial noncorporate business; proprietors' equity in noncorporate business,Nonfinancial noncorporate business; foreign direct investment in U.S. real estate business: equity; liability (market value),Nonfinancial noncorporate business; residential structures, current cost basis,Nonfinancial noncorporate business; nonresidential structures, current cost basis,Nonfinancial noncorporate business; debt as a percentage of net worth
1945:Q4,212285,188688,151676,75172,76504,10964,433,10531,1942,24107,23597,16989,0,0,0,0,0,579,0,579,4548,1481,1300,181,0,0,14856,11287,1341,1657,8290,3558,0,11,0,197429,197385,44,62248,20325,5.717160117430187
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,253311,227819,179671,88685,90986,13074,572,12502,2162,32912,25492,17593,0,0,0,0,0,669,0,669,5553,1677,1534,143,0,0,19085,14019,2231,2605,9183,5056,0,11,0,234226,234182,44,74761,26498,5.985048191338264
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,289295,262959,206256,100916,105340,17091,778,16313,2507,37106,26336,17770,0,0,0,0,0,781,0,781,5864,1921,1798,124,0,0,21871,15781,2882,2968,9930,6078,0,12,0,267425,267381,44,85254,32064,5.901145606159224
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
