date,Private defined benefit pension funds; total financial assets,Private defined benefit pension funds; checkable deposits and currency; asset,Private defined benefit pension funds; total time and savings deposits; asset,Private defined benefit pension funds; money market fund shares; asset,Private defined benefit pension funds; security repurchase agreements; asset,Private defined benefit pension funds; debt securities; asset,Private defined benefit pension funds; commercial paper; asset,Private defined benefit pension funds; Treasury securities; asset,Private defined benefit pension funds; agency- and GSE-backed securities; asset,Private defined benefit pension funds; corporate and foreign bonds; asset,Private defined benefit pension funds; total mortgages; asset,Private defined benefit pension funds; corporate equities; asset,Private defined benefit pension funds; mutual fund shares; asset,Private defined benefit pension funds; total miscellaneous assets,Private defined benefit pension funds; unallocated insurance contracts; asset,Private defined benefit pension funds; pension fund contributions receivable; asset,Private defined benefit pension funds; claims of pension fund on sponsor; asset,Private defined benefit pension funds; unidentified miscellaneous assets,Private defined benefit pension funds; pension entitlements (total liabilities)
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1382,20,0,0,0,197,0,37,0,160,22,0,0,1143,0,0,1179,-36,1383
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1345,30,0,0,0,198,0,38,0,160,20,0,0,1097,0,0,1017,80,1344
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1192,30,0,0,0,197,0,37,0,160,20,0,0,945,0,0,865,80,1192
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1123,43,0,0,0,235,0,75,0,160,20,0,0,825,0,0,771,54,1123
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,885,60,0,0,0,216,0,34,0,182,20,0,0,589,0,0,844,-255,886
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,4389,65,0,0,0,599,0,75,0,524,18,0,0,3707,0,0,3695,12,4390
1952:Q1,2887,4,780,0,332,768,0,124,0,644,24,360,0,619,0,556,-197,260,2888
1952:Q2,4027,-36,28,0,12,780,0,-12,0,792,28,376,0,2839,0,24,2771,44,4028
1952:Q3,4804,-36,32,0,16,888,0,-44,0,932,32,392,0,3480,0,24,3416,40,4804
1952:Q4,5180,-8,32,0,12,1072,0,32,0,1040,32,404,0,3636,0,36,3576,24,5180
1953:Q1,5158,36,32,0,4,1112,0,104,0,1008,40,408,0,3526,0,28,3482,16,5160
1953:Q2,5098,72,36,0,8,1080,0,160,0,920,44,416,0,3442,0,32,3410,0,5100
1953:Q3,4895,76,36,0,0,988,0,160,0,828,44,440,0,3311,0,28,3283,0,4896
1953:Q4,4559,40,36,0,4,868,0,48,56,764,44,480,0,3087,0,36,3051,0,4560
1954:Q1,4131,8,40,0,8,884,0,48,-4,840,44,524,0,2623,0,32,2583,8,4132
1954:Q2,3915,-20,40,0,8,936,0,-24,0,960,40,568,0,2343,0,24,2311,8,3916
1954:Q3,3815,-20,44,0,8,1064,0,8,-24,1080,44,588,0,2087,0,32,2039,16,3816
1954:Q4,3811,-4,44,0,12,1232,0,84,-4,1152,56,584,0,1887,0,44,1815,28,3812
1955:Q1,3767,40,44,0,20,1184,0,180,4,1000,68,572,0,1839,0,52,1735,52,3772
1955:Q2,3835,72,48,0,28,1140,0,312,8,820,76,564,0,1907,0,88,1763,56,3840
