date,Federal government retirement funds; total financial assets,Federal government retirement funds; checkable deposits and currency held by National Railroad Retirement Investment Trust; asset,Federal government retirement funds; debt securities; asset,Federal government retirement funds; Treasury securities; asset,Federal government retirement funds; agency- and GSE-backed securities; asset,Federal government retirement funds; municipal securities held by National Railroad Retirement Investment Trust; asset,Federal government retirement funds; corporate and foreign bonds; asset,Federal government retirement funds; corporate equities; asset,Federal government; other loans and advances due to federal government defined contribution retirement funds; liability,Federal government defined benefit retirement funds; claims of pension funds on sponsor; asset,Federal government retirement funds; total financial assets,Federal government defined benefit retirement funds; total financial assets,Federal government defined contribution retirement funds; total financial assets
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,4047,0,370,370,0,0,0,0,0,3677,4047,4047,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3946,0,823,823,0,0,0,0,0,3123,3946,3946,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,4061,0,823,823,0,0,0,0,0,3238,4061,4061,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,4470,0,1040,1040,0,0,0,0,0,3430,4470,4470,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4967,0,784,784,0,0,0,0,0,4183,4967,4967,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,6409,0,710,710,0,0,0,0,0,5699,6409,6409,0
1952:Q1,7336,0,716,716,0,0,0,0,0,6620,7336,7336,0
1952:Q2,7540,0,748,748,0,0,0,0,0,6792,7540,7540,0
1952:Q3,7544,0,1928,1928,0,0,0,0,0,5616,7544,7544,0
1952:Q4,7656,0,440,440,0,0,0,0,0,7216,7656,7656,0
1953:Q1,7548,0,564,564,0,0,0,0,0,6984,7548,7548,0
1953:Q2,7596,0,476,476,0,0,0,0,0,7120,7596,7596,0
1953:Q3,7656,0,708,708,0,0,0,0,0,6948,7656,7656,0
1953:Q4,7756,0,372,372,0,0,0,0,0,7384,7756,7756,0
1954:Q1,7544,0,396,396,0,0,0,0,0,7148,7544,7544,0
1954:Q2,7644,0,356,356,0,0,0,0,0,7288,7644,7644,0
1954:Q3,7500,0,420,420,0,0,0,0,0,7080,7500,7500,0
1954:Q4,8004,0,500,500,0,0,0,0,0,7504,8004,8004,0
1955:Q1,7692,0,252,252,0,0,0,0,0,7440,7692,7692,0
1955:Q2,7920,0,480,480,0,0,0,0,0,7440,7920,7920,0
1955:Q3,7960,0,1556,1556,0,0,0,0,0,6404,7960,7960,0
1955:Q4,8192,0,468,468,0,0,0,0,0,7724,8192,8192,0
1956:Q1,8184,0,344,344,0,0,0,0,0,7840,8184,8184,0
1956:Q2,8228,0,260,260,0,0,0,0,0,7968,8228,8228,0
1956:Q3,8536,0,2668,2668,0,0,0,0,0,5868,8536,8536,0
1956:Q4,8896,0,180,180,0,0,0,0,0,8716,8896,8896,0
1957:Q1,9072,0,364,364,0,0,0,0,0,8708,9072,9072,0
1957:Q2,9108,0,48,48,0,0,0,0,0,9060,9108,9108,0
1957:Q3,9716,0,772,772,0,0,0,0,0,8944,9716,9716,0
1957:Q4,9884,0,556,556,0,0,0,0,0,9328,9884,9884,0
1958:Q1,9792,0,1036,1036,0,0,0,0,0,8756,9792,9792,0
1958:Q2,9276,0,68,68,0,0,0,0,0,9208,9276,9276,0
1958:Q3,10544,0,1860,1860,0,0,0,0,0,8684,10544,10544,0
1958:Q4,10124,0,772,772,0,0,0,0,0,9352,10124,10124,0
1959:Q1,10092,0,988,988,0,0,0,0,0,9104,10092,10092,0
1959:Q2,9460,0,20,20,0,0,0,0,0,9440,9460,9460,0
1959:Q3,11440,0,1908,1908,0,0,0,0,0,9532,11440,11440,0
1959:Q4,10400,0,620,620,0,0,0,0,0,9780,10400,10400,0
1960:Q1,10592,0,924,924,0,0,0,0,0,9668,10592,10592,0
1960:Q2,10864,0,972,972,0,0,0,0,0,9892,10864,10864,0
1960:Q3,10988,0,1056,1056,0,0,0,0,0,9932,10988,10988,0
1960:Q4,10892,0,752,752,0,0,0,0,0,10140,10892,10892,0
1961:Q1,10928,0,900,900,0,0,0,0,0,10028,10928,10928,0
1961:Q2,11320,0,1128,1128,0,0,0,0,0,10192,11320,11320,0
1961:Q3,11696,0,992,992,0,0,0,0,0,10704,11696,11696,0
1961:Q4,11552,0,644,644,0,0,0,0,0,10908,11552,11552,0
1962:Q1,11748,0,1004,1004,0,0,0,0,0,10744,11748,11748,0
1962:Q2,12104,0,1180,1180,0,0,0,0,0,10924,12104,12104,0
