date,Federal government defined benefit retirement funds; total financial assets,Federal government retirement funds; checkable deposits and currency held by National Railroad Retirement Investment Trust; asset,Federal government defined benefit retirement funds; debt securities; asset,Federal government defined benefit retirement funds; Treasury securities; asset,Federal government retirement funds; agency- and GSE-backed securities held by National Railroad Retirement Investment Trust; asset,Federal government retirement funds; municipal securities held by National Railroad Retirement Investment Trust; asset,Federal government retirement funds; corporate and foreign bonds held by National Railroad Retirement Investment Trust; asset,Federal government retirement funds; corporate equities held by National Railroad Retirement Investment Trust; asset,Federal government defined benefit retirement funds; claims of pension funds on sponsor; asset,Federal government defined benefit retirement funds; pension entitlements (total liabilities)
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,4047,0,370,370,0,0,0,0,3677,4047
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3946,0,823,823,0,0,0,0,3123,3946
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,4061,0,823,823,0,0,0,0,3238,4061
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,4470,0,1040,1040,0,0,0,0,3430,4470
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4967,0,784,784,0,0,0,0,4183,4967
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,6409,0,710,710,0,0,0,0,5699,6409
1952:Q1,7336,0,716,716,0,0,0,0,6620,7336
1952:Q2,7540,0,748,748,0,0,0,0,6792,7540
1952:Q3,7544,0,1928,1928,0,0,0,0,5616,7544
1952:Q4,7656,0,440,440,0,0,0,0,7216,7656
1953:Q1,7548,0,564,564,0,0,0,0,6984,7548
1953:Q2,7596,0,476,476,0,0,0,0,7120,7596
1953:Q3,7656,0,708,708,0,0,0,0,6948,7656
1953:Q4,7756,0,372,372,0,0,0,0,7384,7756
1954:Q1,7544,0,396,396,0,0,0,0,7148,7544
1954:Q2,7644,0,356,356,0,0,0,0,7288,7644
1954:Q3,7500,0,420,420,0,0,0,0,7080,7500
1954:Q4,8004,0,500,500,0,0,0,0,7504,8004
1955:Q1,7692,0,252,252,0,0,0,0,7440,7692
1955:Q2,7920,0,480,480,0,0,0,0,7440,7920
1955:Q3,7960,0,1556,1556,0,0,0,0,6404,7960
1955:Q4,8192,0,468,468,0,0,0,0,7724,8192
1956:Q1,8184,0,344,344,0,0,0,0,7840,8184
1956:Q2,8228,0,260,260,0,0,0,0,7968,8228
1956:Q3,8536,0,2668,2668,0,0,0,0,5868,8536
