date,State and local government employee defined benefit retirement funds; total financial assets,State and local government employee defined benefit retirement funds; checkable deposits and currency; asset,State and local government employee defined benefit retirement funds; total time and savings deposits; asset,State and local government employee defined benefit retirement funds; money market fund shares; asset,State and local government employee defined benefit retirement funds; security repurchase agreements; asset,State and local government employee defined benefit retirement funds retirement funds; debt securities; asset,State and local government employee defined benefit retirement funds; commercial paper; asset,State and local government employee defined benefit retirement funds; Treasury securities; asset,State and local government employee defined benefit retirement funds; agency- and GSE-backed securities; asset,State and local government employee defined benefit retirement funds; municipal securities; asset,State and local government employee defined benefit retirement funds; corporate and foreign bonds; asset,State and local government employee defined benefit retirement funds; total mortgages; asset,State and local government employee defined benefit retirement funds; corporate equities; asset,State and local government employee defined benefit retirement funds; mutual fund shares; asset,State and local government employee defined benefit retirement funds; miscellaneous assets,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,State and local government employee defined benefit retirement funds; unidentified miscellaneous assets,State and local government employee defined benefit retirement funds; pension entitlements (total liabilities)
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,878,8,0,0,0,258,0,152,0,86,20,3,1,0,608,608,0,878
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1094,8,0,0,0,321,0,189,0,102,30,4,2,0,759,759,0,1094
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1332,6,0,0,0,419,0,213,0,129,77,10,3,0,894,894,0,1332
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1539,10,0,0,0,502,0,184,0,183,135,17,7,0,1003,1003,0,1539
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1685,18,0,0,0,624,0,241,0,200,183,23,9,0,1011,1011,0,1686
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1854,19,0,0,0,699,0,420,0,163,116,30,12,0,1094,1094,0,1855
1952:Q1,1992,20,0,0,0,964,0,608,20,156,180,32,12,0,964,964,0,1992
1952:Q2,2028,20,0,0,0,708,0,312,20,172,204,36,16,0,1248,1248,0,2028
1952:Q3,2097,20,0,0,0,1360,0,660,20,176,504,36,16,0,665,665,0,2096
1952:Q4,2145,20,0,0,0,792,0,244,20,180,348,40,16,0,1277,1277,0,2144
1953:Q1,2143,24,0,0,0,1096,0,364,8,200,524,44,16,0,963,963,0,2144
1953:Q2,2223,36,0,0,0,1484,0,760,4,212,508,44,20,0,639,639,0,2224
1953:Q3,2300,36,0,0,0,1436,0,700,4,224,508,48,20,0,760,760,0,2300
1953:Q4,2352,28,0,0,0,892,0,120,4,244,524,52,20,0,1360,1360,0,2352
1954:Q1,2356,16,0,0,0,1536,0,732,12,252,540,56,24,0,724,724,0,2356
1954:Q2,2436,8,0,0,0,1628,0,764,12,264,588,60,24,0,716,716,0,2436
1954:Q3,2520,0,0,0,0,1204,0,304,12,280,608,64,24,0,1228,1228,0,2520
1954:Q4,2568,-4,0,0,0,1224,0,292,16,296,620,64,24,0,1260,1260,0,2568
1955:Q1,2567,-12,0,0,0,1104,0,220,20,320,544,68,28,0,1379,1379,0,2568
1955:Q2,2651,-24,0,0,0,1084,0,160,20,344,560,68,28,0,1495,1495,0,2652
1955:Q3,2740,-24,0,0,0,1316,0,352,20,360,584,72,28,0,1348,1348,0,2740
1955:Q4,2800,-20,0,0,0,1404,0,400,20,364,620,68,28,0,1320,1320,0,2800
1956:Q1,2832,4,0,0,0,1820,0,852,8,372,588,72,32,0,904,904,0,2832
1956:Q2,2904,12,0,0,0,984,0,96,8,380,500,64,32,0,1812,1812,0,2904
1956:Q3,3000,20,0,0,0,932,0,104,8,392,428,76,36,0,1936,1936,0,3000
1956:Q4,3072,28,0,0,0,852,0,60,12,404,376,96,36,0,2060,2060,0,3072
1957:Q1,3080,40,0,0,0,1380,0,468,28,416,468,120,44,0,1496,1496,0,3080
1957:Q2,3188,56,0,0,0,1372,0,212,32,432,696,140,52,0,1568,1568,0,3188
1957:Q3,3316,56,0,0,0,1624,0,132,28,436,1028,156,52,0,1428,1428,0,3316
1957:Q4,3404,36,0,0,0,1352,0,-356,32,432,1244,164,56,0,1796,1796,0,3404
1958:Q1,3425,20,0,0,0,1916,0,184,20,436,1276,176,56,0,1257,1257,0,3424
1958:Q2,3553,12,0,0,0,968,0,-616,20,448,1116,188,56,0,2329,2329,0,3552
1958:Q3,3673,0,0,0,0,1516,0,40,20,432,1024,200,60,0,1897,1897,0,3672
1958:Q4,3749,-4,0,0,0,1636,0,244,20,380,992,220,60,0,1837,1837,0,3748
1959:Q1,3732,-12,0,0,0,1628,0,324,28,340,936,224,68,0,1824,1824,0,3732
1959:Q2,3840,-28,0,0,0,1276,0,96,32,304,844,220,76,0,2296,2296,0,3840
1959:Q3,3952,-28,0,0,0,2024,0,896,28,272,828,256,76,0,1624,1624,0,3952
1959:Q4,4020,-24,0,0,0,1544,0,448,28,236,832,324,80,0,2096,2096,0,4020
1960:Q1,4057,8,0,0,0,1972,0,804,52,216,900,396,80,0,1601,1601,0,4056
1960:Q2,4145,24,0,0,0,1516,0,244,48,204,1020,472,76,0,2057,2057,0,4144
1960:Q3,4301,28,0,0,0,1124,0,-284,52,148,1208,496,84,0,2569,2569,0,4300
1960:Q4,4421,28,0,0,0,1756,0,232,48,52,1424,468,104,0,2065,2065,0,4420
1961:Q1,4453,32,0,0,0,2220,0,576,72,-28,1600,456,128,0,1617,1617,0,4452
1961:Q2,4633,36,0,0,0,1772,0,68,76,-100,1728,464,148,0,2213,2213,0,4632
1961:Q3,4805,36,0,0,0,1672,0,-28,76,-176,1800,452,160,0,2485,2485,0,4804
1961:Q4,4929,32,0,0,0,1332,0,-260,76,-268,1784,412,172,0,2981,2981,0,4928
1962:Q1,4937,32,0,0,0,2576,0,900,216,-352,1812,376,184,0,1769,1769,0,4936
1962:Q2,5105,36,0,0,0,1672,0,200,72,-468,1868,336,196,0,2865,2865,0,5104
1962:Q3,5285,32,0,0,0,1692,0,200,148,-512,1856,324,204,0,3033,3033,0,5284
1962:Q4,5417,20,0,0,0,1192,0,-100,60,-504,1736,348,204,0,3653,3653,0,5416
1963:Q1,5419,16,0,0,0,1668,0,400,-32,-488,1788,356,200,0,3179,3179,0,5420
1963:Q2,5599,8,0,0,0,2524,0,1100,-24,-516,1964,356,196,0,2515,2515,0,5600
1963:Q3,5768,4,0,0,0,1900,0,300,-120,-508,2228,368,208,0,3288,3288,0,5768
1963:Q4,5868,-4,0,0,0,1808,0,-160,-16,-488,2472,400,232,0,3432,3432,0,5868
1964:Q1,5900,0,0,0,0,2864,0,860,-24,-440,2468,416,248,0,2372,2372,0,5900
1964:Q2,6016,0,0,0,0,2908,0,1000,136,-420,2192,424,264,0,2420,2420,0,6016
1964:Q3,6233,0,0,0,0,1976,0,364,-24,-392,2028,460,280,0,3517,3517,0,6232
1964:Q4,6409,-8,0,0,0,1496,0,-144,48,-364,1956,532,300,0,4089,4089,0,6408
1965:Q1,6455,0,0,0,0,3196,0,1548,-20,-320,1988,604,320,0,2335,2335,0,6456
1965:Q2,6715,0,0,0,0,2540,0,692,20,-288,2116,672,332,0,3171,3171,0,6716
1965:Q3,6972,4,0,0,0,1628,0,-956,416,-256,2424,712,360,0,4268,4268,0,6972
1965:Q4,7128,20,0,0,0,1676,0,-792,28,-236,2676,716,396,0,4320,4320,0,7128
1966:Q1,7119,32,0,0,0,3368,0,636,40,-184,2876,760,440,0,2519,2519,0,7120
1966:Q2,7335,40,0,0,0,2336,0,-1064,480,-144,3064,828,476,0,3655,3655,0,7336
1966:Q3,7559,56,0,0,0,3584,0,480,196,-120,3028,804,508,0,2607,2607,0,7560
1966:Q4,7719,76,0,0,0,2380,0,-204,-76,-128,2788,688,528,0,4047,4047,0,7720
