date,Closed-end funds; total financial assets,Closed-end funds; debt securities; asset,Closed-end funds; Treasury securities; asset,Closed-end funds; municipal securities; asset,Closed-end funds; corporate and foreign bonds; asset,Closed-end funds; corporate equities; asset,Closed-end funds; total financial assets,Closed-end funds; total financial assets in domestic equity funds,Closed-end funds; total financial assets in world equity funds,Closed-end funds; total financial assets in domestic taxable bond funds,Closed-end funds; total financial assets in municipal bond funds,Closed-end funds; total financial assets in world bond funds
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,29,6,1,0,5,23,29,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,300,60,15,0,45,240,300,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,100,20,5,0,15,80,100,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,300,60,15,0,45,240,300,ND,ND,ND,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,300,60,15,0,45,240,300,ND,ND,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,200,40,10,0,30,160,200,ND,ND,ND,ND,ND
1952:Q1,192,52,12,0,40,140,192,ND,ND,ND,ND,ND
1952:Q2,36,64,16,0,48,-28,36,ND,ND,ND,ND,ND
1952:Q3,472,64,16,0,48,408,472,ND,ND,ND,ND,ND
1952:Q4,-320,60,16,0,44,-380,-320,ND,ND,ND,ND,ND
1953:Q1,656,60,16,0,44,596,656,ND,ND,ND,ND,ND
1953:Q2,660,60,12,0,48,600,660,ND,ND,ND,ND,ND
1953:Q3,572,60,16,0,44,512,572,ND,ND,ND,ND,ND
1953:Q4,-156,60,16,0,44,-216,-156,ND,ND,ND,ND,ND
1954:Q1,-512,60,16,0,44,-572,-512,ND,ND,ND,ND,ND
1954:Q2,-540,56,12,0,44,-596,-540,ND,ND,ND,ND,ND
1954:Q3,-708,56,16,0,40,-764,-708,ND,ND,ND,ND,ND
1954:Q4,-588,68,16,0,52,-656,-588,ND,ND,ND,ND,ND
1955:Q1,48,72,20,0,52,-24,48,ND,ND,ND,ND,ND
1955:Q2,-744,84,20,0,64,-828,-744,ND,ND,ND,ND,ND
1955:Q3,-288,84,20,0,64,-372,-288,ND,ND,ND,ND,ND
1955:Q4,12,80,20,0,60,-68,12,ND,ND,ND,ND,ND
1956:Q1,-408,80,20,0,60,-488,-408,ND,ND,ND,ND,ND
1956:Q2,764,76,20,0,56,688,764,ND,ND,ND,ND,ND
1956:Q3,668,76,20,0,56,592,668,ND,ND,ND,ND,ND
1956:Q4,240,88,20,0,68,152,240,ND,ND,ND,ND,ND
1957:Q1,1132,92,24,0,68,1040,1132,ND,ND,ND,ND,ND
1957:Q2,-408,100,24,0,76,-508,-408,ND,ND,ND,ND,ND
1957:Q3,1716,100,24,0,76,1616,1716,ND,ND,ND,ND,ND
1957:Q4,1380,108,28,0,80,1272,1380,ND,ND,ND,ND,ND
1958:Q1,0,112,28,0,84,-112,0,ND,ND,ND,ND,ND
1958:Q2,-644,116,28,0,88,-760,-644,ND,ND,ND,ND,ND
1958:Q3,-980,120,32,0,88,-1100,-980,ND,ND,ND,ND,ND
1958:Q4,-960,116,28,0,88,-1076,-960,ND,ND,ND,ND,ND
1959:Q1,352,316,80,0,236,36,352,ND,ND,ND,ND,ND
1959:Q2,-344,108,80,0,28,-452,-344,ND,ND,ND,ND,ND
1959:Q3,1008,116,84,0,32,892,1008,ND,ND,ND,ND,ND
1959:Q4,-56,136,92,0,44,-192,-56,ND,ND,ND,ND,ND
1960:Q1,1156,400,104,0,296,756,1156,ND,ND,ND,ND,ND
1960:Q2,976,228,128,0,100,748,976,ND,ND,ND,ND,ND
1960:Q3,1092,204,120,0,84,888,1092,ND,ND,ND,ND,ND
1960:Q4,272,108,96,0,12,164,272,ND,ND,ND,ND,ND
1961:Q1,-1864,272,8,0,264,-2136,-1864,ND,ND,ND,ND,ND
1961:Q2,-692,-76,-24,0,-52,-616,-692,ND,ND,ND,ND,ND
1961:Q3,-996,-112,-36,0,-76,-884,-996,ND,ND,ND,ND,ND
1961:Q4,-1876,-88,-24,0,-64,-1788,-1876,ND,ND,ND,ND,ND
1962:Q1,392,140,-32,0,172,252,392,ND,ND,ND,ND,ND
1962:Q2,400,-168,-48,0,-120,568,400,ND,ND,ND,ND,ND
1962:Q3,-276,-116,-32,0,-84,-160,-276,ND,ND,ND,ND,ND
1962:Q4,-168,56,16,0,40,-224,-168,ND,ND,ND,ND,ND
1963:Q1,628,488,72,0,416,140,628,ND,ND,ND,ND,ND
1963:Q2,800,460,128,0,332,340,800,ND,ND,ND,ND,ND
1963:Q3,800,492,136,0,356,308,800,ND,ND,ND,ND,ND
1963:Q4,584,344,96,0,248,240,584,ND,ND,ND,ND,ND
1964:Q1,-292,536,68,0,468,-828,-292,ND,ND,ND,ND,ND
1964:Q2,-60,184,48,0,136,-244,-60,ND,ND,ND,ND,ND
1964:Q3,-260,124,36,0,88,-384,-260,ND,ND,ND,ND,ND
1964:Q4,-24,68,16,0,52,-92,-24,ND,ND,ND,ND,ND
1965:Q1,-268,320,4,0,316,-588,-268,ND,ND,ND,ND,ND
1965:Q2,-576,-76,-24,0,-52,-500,-576,ND,ND,ND,ND,ND
1965:Q3,-1112,-112,-28,0,-84,-1000,-1112,ND,ND,ND,ND,ND
1965:Q4,-960,-92,-24,0,-68,-868,-960,ND,ND,ND,ND,ND
1966:Q1,208,208,-24,0,232,0,208,ND,ND,ND,ND,ND
1966:Q2,552,-124,-28,0,-96,676,552,ND,ND,ND,ND,ND
1966:Q3,-636,-104,-28,0,-76,-532,-636,ND,ND,ND,ND,ND
1966:Q4,1100,-48,-12,0,-36,1148,1100,ND,ND,ND,ND,ND
1967:Q1,0,292,0,0,292,-292,0,ND,ND,ND,ND,ND
1967:Q2,-1048,24,4,0,20,-1072,-1048,ND,ND,ND,ND,ND
1967:Q3,-1060,80,20,0,60,-1140,-1060,ND,ND,ND,ND,ND
1967:Q4,-1252,184,44,0,140,-1436,-1252,ND,ND,ND,ND,ND
1968:Q1,304,328,80,0,248,-24,304,ND,ND,ND,ND,ND
1968:Q2,1136,512,124,0,388,624,1136,ND,ND,ND,ND,ND
1968:Q3,628,492,120,0,372,136,628,ND,ND,ND,ND,ND
1968:Q4,896,264,64,0,200,632,896,ND,ND,ND,ND,ND
1969:Q1,164,456,20,0,436,-292,164,ND,ND,ND,ND,ND
1969:Q2,796,-12,0,0,-12,808,796,ND,ND,ND,ND,ND
1969:Q3,828,-156,-36,0,-120,984,828,ND,ND,ND,ND,ND
1969:Q4,212,-336,-80,0,-256,548,212,ND,ND,ND,ND,ND
1970:Q1,-1312,-612,180,0,-792,-700,-1312,ND,ND,ND,ND,ND
