date,Agency-and GSE-backed mortgage pools; total mortgages; asset,Agency-and GSE-backed mortgage pools; one-to-four-family residential mortgages; asset,Agency-and GSE-backed mortgage pools; multifamily residential mortgages; asset,Agency-and GSE-backed mortgage pools; commercial mortgages; asset,Agency-and GSE-backed mortgage pools; farm mortgages; asset,Agency-and GSE-backed mortgage pools; total mortgages; asset
1945:Q4,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,4,0,0,0,4,4
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,3,0,0,0,3,3
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,25,0,0,0,25,25
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
1951:Q4,11,0,0,0,11,11
1952:Q1,8,0,0,0,8,8
1952:Q2,8,0,0,0,8,8
1952:Q3,12,0,0,0,12,12
1952:Q4,12,0,0,0,12,12
1953:Q1,8,0,0,0,8,8
1953:Q2,4,0,0,0,4,4
1953:Q3,8,0,0,0,8,8
1953:Q4,8,0,0,0,8,8
1954:Q1,4,0,0,0,4,4
1954:Q2,4,0,0,0,4,4
1954:Q3,32,0,0,0,32,32
1954:Q4,32,0,0,0,32,32
1955:Q1,32,0,0,0,32,32
1955:Q2,36,0,0,0,36,36
1955:Q3,40,0,0,0,40,40
1955:Q4,44,0,0,0,44,44
1956:Q1,44,0,0,0,44,44
1956:Q2,44,0,0,0,44,44
1956:Q3,20,0,0,0,20,20
1956:Q4,24,0,0,0,24,24
1957:Q1,32,0,0,0,32,32
1957:Q2,36,0,0,0,36,36
1957:Q3,16,0,0,0,16,16
1957:Q4,12,0,0,0,12,12
1958:Q1,8,0,0,0,8,8
1958:Q2,8,0,0,0,8,8
1958:Q3,24,0,0,0,24,24
1958:Q4,28,0,0,0,28,28
1959:Q1,20,0,0,0,20,20
1959:Q2,24,0,0,0,24,24
1959:Q3,4,0,0,0,4,4
1959:Q4,4,0,0,0,4,4
