date,All sectors; U.S. official reserve assets; liability,Federal government; special drawing rights (SDRs) allocations; liability,Rest of the world; U.S. official reserve assets; liability,Federal government; special drawing rights (SDRs) holdings; asset,Rest of the world; reserve position in IMF (net); liability,Rest of the world; other U.S. reserve assets (total); liability,All sectors; U.S. official reserve assets,Federal government; U.S. official reserve assets,Federal government; monetary gold; asset,Federal government; special drawing rights (SDRs) holdings; asset,Federal government; reserve position in IMF (net); asset,Federal government; other reserves; asset,Rest of the world; U.S. official reserve assets,Rest of the world; monetary gold; asset,Federal government; special drawing rights (SDRs) allocations; liability,Monetary authority; U.S. official reserve assets,Monetary authority; monetary gold; asset,Monetary authority; reserve position in IMF (net); asset,Monetary authority; foreign currency denominated assets
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-248,0,-248,0,-248,0,-248,-89,159,0,-248,0,-623,-623,0,464,464,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1185,0,1185,0,1185,0,1185,1401,-63,0,1464,0,-2162,-2162,0,1946,2225,-279,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,356,0,356,0,356,0,356,399,41,0,358,0,-1531,-1531,0,1488,1490,-2,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,169,0,169,0,169,0,169,149,-19,0,168,0,-164,-164,0,184,183,1,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,-16,0,-16,0,-16,0,-16,-284,-22,0,-262,0,1743,1743,0,-1475,-1721,246,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,-20,0,-20,0,-20,0,-20,37,63,0,-26,0,-52,-52,0,-5,-11,6,0
1952:Q1,160,0,160,0,160,0,160,12,-160,0,172,0,-2224,-2224,0,2372,2384,-12,0
1952:Q2,-80,0,-80,0,-80,0,-80,116,200,0,-84,0,-420,-420,0,224,220,4,0
1952:Q3,40,0,40,0,40,0,40,32,-12,0,44,0,28,28,0,-20,-16,-4,0
1952:Q4,24,0,24,0,24,0,24,-456,-476,0,20,0,1096,1096,0,-616,-620,4,0
1953:Q1,-8,0,-8,0,-8,0,-8,84,84,0,0,0,2412,2412,0,-2504,-2496,-8,0
1953:Q2,-168,0,-168,0,-168,0,-168,-288,-112,0,-176,0,512,512,0,-392,-400,8,0
1953:Q3,84,0,84,0,84,0,84,220,136,0,84,0,1204,1204,0,-1340,-1340,0,0
1953:Q4,-288,0,-288,0,-288,0,-288,-360,-124,0,-236,0,516,516,0,-444,-392,-52,0
1954:Q1,-176,0,-176,0,-176,0,-176,-168,36,0,-204,0,224,224,0,-232,-260,28,0
1954:Q2,-80,0,-80,0,-80,0,-80,40,120,0,-80,0,32,32,0,-152,-152,0,0
1954:Q3,-512,0,-512,0,-512,0,-512,-700,-188,0,-512,0,656,656,0,-468,-468,0,0
1954:Q4,40,0,40,0,40,0,40,152,108,0,44,0,280,280,0,-392,-388,-4,0
1955:Q1,-176,0,-176,0,-176,0,-176,-324,-144,0,-180,0,120,120,0,28,24,4,0
1955:Q2,-80,0,-80,0,-80,0,-80,56,32,0,24,0,132,132,0,-268,-164,-104,0
