date,Monetary authority; SDR certificates issued by federal government; asset,Monetary authority; SDR certificates issued by federal government; asset,Federal government; Treasury currency; liability,Monetary authority; Treasury currency; asset,Instrument discrepancies; Treasury currency (seigniorage)
1945:Q4,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND
1946:Q4,0,0,126,223,-97
1947:Q1,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND
1947:Q4,0,0,-28,0,-28
1948:Q1,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND
1948:Q4,0,0,-5,27,-32
1949:Q1,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND
1949:Q4,0,0,-19,9,-28
1950:Q1,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND
1950:Q4,0,0,-10,38,-48
1951:Q1,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND
1951:Q4,0,0,24,73,-49
1952:Q1,0,0,60,88,-28
1952:Q2,0,0,28,92,-64
1952:Q3,0,0,36,108,-72
1952:Q4,0,0,24,124,-100
1953:Q1,0,0,12,56,-44
1953:Q2,0,0,52,112,-60
1953:Q3,0,0,28,72,-44
1953:Q4,0,0,44,88,-44
1954:Q1,0,0,88,164,-76
1954:Q2,0,0,40,96,-56
1954:Q3,0,0,8,48,-40
1954:Q4,0,0,8,56,-48
1955:Q1,0,0,12,48,-36
1955:Q2,0,0,-4,20,-24
1955:Q3,0,0,0,16,-16
1955:Q4,0,0,0,8,-8
1956:Q1,0,0,8,28,-20
1956:Q2,0,0,12,68,-56
1956:Q3,0,0,20,56,-36
1956:Q4,0,0,36,80,-44
1957:Q1,0,0,28,76,-48
1957:Q2,0,0,44,88,-44
1957:Q3,0,0,32,76,-44
1957:Q4,0,0,40,80,-40
1958:Q1,0,0,64,144,-80
1958:Q2,0,0,48,84,-36
1958:Q3,0,0,12,64,-52
1958:Q4,0,0,28,60,-32
1959:Q1,0,0,24,48,-24
1959:Q2,0,0,60,132,-72
1959:Q3,0,0,20,120,-100
1959:Q4,0,0,52,8,44
1960:Q1,0,0,52,116,-64
1960:Q2,0,0,36,56,-20
1960:Q3,0,0,48,84,-36
1960:Q4,0,0,52,92,-40
1961:Q1,0,0,20,44,-24
1961:Q2,0,0,64,112,-48
1961:Q3,0,0,64,500,-436
1961:Q4,0,0,68,92,-24
1962:Q1,0,0,32,12,20
1962:Q2,0,0,36,40,-4
1962:Q3,0,0,-32,-192,160
1962:Q4,0,0,44,68,-24
