date,Households and nonprofit organizations; proprietors' equity in noncorporate business,Nonfinancial noncorporate business; proprietors' equity in noncorporate business,Security brokers and dealers; proprietors' equity in noncorporate business
1945:Q4,ND,ND,ND
1946:Q1,ND,ND,ND
1946:Q2,ND,ND,ND
1946:Q3,ND,ND,ND
1946:Q4,572,572,0
1947:Q1,ND,ND,ND
1947:Q2,ND,ND,ND
1947:Q3,ND,ND,ND
1947:Q4,88,88,0
1948:Q1,ND,ND,ND
1948:Q2,ND,ND,ND
1948:Q3,ND,ND,ND
1948:Q4,4822,4822,0
1949:Q1,ND,ND,ND
1949:Q2,ND,ND,ND
1949:Q3,ND,ND,ND
1949:Q4,1414,1414,0
1950:Q1,ND,ND,ND
1950:Q2,ND,ND,ND
1950:Q3,ND,ND,ND
1950:Q4,2102,2102,0
1951:Q1,ND,ND,ND
1951:Q2,ND,ND,ND
1951:Q3,ND,ND,ND
1951:Q4,1710,1710,0
1952:Q1,5577,5577,0
1952:Q2,-7,-7,0
1952:Q3,1704,1704,0
1952:Q4,2873,2873,0
1953:Q1,1572,1572,0
1953:Q2,-452,-452,0
1953:Q3,721,721,0
1953:Q4,9825,9825,0
1954:Q1,-1742,-1742,0
1954:Q2,-3052,-3052,0
1954:Q3,-3059,-3059,0
1954:Q4,3534,3534,0
1955:Q1,-548,-548,0
1955:Q2,-4617,-4617,0
1955:Q3,-2598,-2598,0
1955:Q4,3476,3476,0
1956:Q1,743,743,0
1956:Q2,-2444,-2444,0
1956:Q3,-1400,-1400,0
1956:Q4,3159,3159,0
1957:Q1,1116,1116,0
1957:Q2,-33,-33,0
1957:Q3,81,81,0
1957:Q4,409,409,0
1958:Q1,2989,2989,0
1958:Q2,1887,1887,0
1958:Q3,3225,3225,0
1958:Q4,3446,3446,0
1959:Q1,-2930,-2930,0
1959:Q2,-7727,-7727,0
1959:Q3,-6828,-6828,0
1959:Q4,-594,-594,0
1960:Q1,-210,-210,0
1960:Q2,-1783,-1783,0
1960:Q3,-865,-865,0
1960:Q4,-730,-730,0
1961:Q1,-5170,-5170,0
1961:Q2,948,948,0
1961:Q3,608,608,0
1961:Q4,4486,4486,0
1962:Q1,1528,1528,0
1962:Q2,-631,-631,0
1962:Q3,403,403,0
1962:Q4,922,922,0
1963:Q1,2258,2258,0
1963:Q2,627,627,0
1963:Q3,2240,2240,0
1963:Q4,3553,3553,0
1964:Q1,2790,2790,0
1964:Q2,221,221,0
1964:Q3,1181,1181,0
1964:Q4,5344,5344,0
1965:Q1,3233,3233,0
1965:Q2,1739,1739,0
1965:Q3,3473,3473,0
1965:Q4,6617,6617,0
1966:Q1,1197,1197,0
1966:Q2,1471,1471,0
1966:Q3,5478,5478,0
1966:Q4,5824,5824,0
1967:Q1,6681,6681,0
1967:Q2,-1091,-1091,0
1967:Q3,-223,-223,0
1967:Q4,-1607,-1607,0
1968:Q1,10740,10740,0
1968:Q2,1325,1325,0
1968:Q3,929,929,0
1968:Q4,-336,-336,0
1969:Q1,5631,5631,0
1969:Q2,-2994,-2994,0
1969:Q3,-1876,-1876,0
1969:Q4,-168,-168,0
1970:Q1,13794,13794,0
1970:Q2,-3568,-3568,0
1970:Q3,-6439,-6439,0
1970:Q4,-5100,-5100,0
1971:Q1,5981,5981,0
1971:Q2,185,185,0
1971:Q3,4652,4652,0
1971:Q4,-3413,-3413,0
1972:Q1,3825,3825,0
1972:Q2,-9225,-9225,0
1972:Q3,-1061,-1061,0
1972:Q4,-13627,-13627,0
1973:Q1,-8251,-9279,1028
1973:Q2,3088,2092,996
1973:Q3,19394,18478,916
1973:Q4,26761,25901,860
1974:Q1,-19660,-20444,784
1974:Q2,-27187,-27975,788
1974:Q3,-32888,-33636,748
1974:Q4,-28461,-29165,704
1975:Q1,-14088,-14580,492
1975:Q2,-15974,-16342,368
1975:Q3,-10274,-10650,376
1975:Q4,-8777,-9257,480
1976:Q1,-22971,-21779,-1192
1976:Q2,-12505,-12601,96
1976:Q3,-9322,-9074,-248
1976:Q4,-8485,-9061,576
1977:Q1,-29997,-29437,-560
1977:Q2,-9689,-10185,496
