date,Instrument discrepancies; total discrepancy,Instrument discrepancies; Treasury currency (seigniorage),Instrument discrepancies; private foreign deposits,Instrument discrepancies; net interbank transactions,Instrument discrepancies; federal funds and security repurchase agreements,Instrument discrepancies; checkable deposits and currency (total mail float),Instrument discrepancies; federal goverment mail float,Instrument discrepancies; state and local governments mail float,Instrument discrepancies; private domestic mail float,Instrument discrepancies; trade receivables,Instrument discrepancies; taxes receivable,Instrument discrepancies; total miscellaneous assets,Instrument discrepancies; gross saving including foreign earnings retained abroad less net capital transfers paid less capital expenditures,Gross domestic product (GDP); statistical discrepancy (calculated from components),Households and nonprofit organizations; adjustment to contributions for government social insurance paid for U.S. affiliated areas
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-2977,-97,0,-498,-9,883,603,0,280,2910,-7757,2820,-1228,1228,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,-12023,-28,0,125,-80,-814,-1553,0,739,-1713,-7592,943,-2865,2865,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,-6431,-32,0,-148,-10,-326,52,0,-378,751,-7493,578,250,-250,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-6909,-28,0,66,3,368,79,0,289,1108,-7523,837,-1739,1739,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,-8523,-48,0,99,-45,374,-199,0,573,-1438,-8383,2181,-1263,1263,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,-993,-49,0,-794,-114,202,-10,0,212,-2762,-9250,15232,-3458,3440,18
1952:Q1,8816,-28,0,1212,-1000,-276,-2004,0,1728,-3164,-3364,19222,-3785,3765,20
1952:Q2,4482,-64,0,-2096,-900,3764,1820,0,1944,-7458,-5416,19102,-2450,2426,24
1952:Q3,-44570,-72,0,5800,-2560,-2500,-2596,56,40,-1254,-12948,-29309,-1727,1703,24
1952:Q4,-54027,-100,0,-5352,1308,3064,192,180,2692,-3462,-13396,-33526,-2563,2543,20
1953:Q1,-20186,-44,0,1008,468,1544,456,188,900,1253,-8992,-12492,-2931,2907,24
1953:Q2,-52171,-60,0,-1132,580,860,1172,196,-508,1237,-9664,-40732,-3260,3236,24
1953:Q3,-52936,-44,0,4220,-3284,-2248,-2748,224,276,3657,-10716,-40928,-3593,3569,24
1953:Q4,46722,-44,0,-4632,2776,1464,1860,276,-672,-2135,-8824,63580,-5463,5443,20
1954:Q1,40218,-76,0,-856,1904,-72,180,236,-488,3149,-11628,50613,-2816,2792,24
1954:Q2,43831,-56,0,360,-164,-488,708,104,-1300,-875,-12348,59950,-2548,2524,24
1954:Q3,50201,-40,0,2732,-2964,-988,-508,-76,-404,3181,-6348,58102,-3474,3446,28
1954:Q4,5404,-48,0,-4376,3252,1984,2088,-324,220,-3279,-7684,18469,-2914,2886,28
1955:Q1,14807,-36,0,-344,-1368,1568,2584,-244,-772,-95,-14776,33313,-3455,3431,24
1955:Q2,81960,-24,0,628,964,-908,-3476,140,2428,1865,-14148,95406,-1823,1795,28
1955:Q3,40788,-16,0,1996,-4812,-2932,-1784,556,-1704,5165,-4588,47995,-2020,1996,24
1955:Q4,12651,-8,0,-2224,732,2884,1112,956,816,-1299,-3352,17269,-1351,1323,28
1956:Q1,60078,-20,0,-776,1328,1528,1612,1036,-1120,1085,-13592,69765,760,-788,28
1956:Q2,-59040,-56,0,-640,1776,48,-856,796,108,413,-17976,-44239,1634,-1666,32
