date,Private defined benefit pension funds; total financial assets,Private defined benefit pension funds; checkable deposits and currency; asset,Private defined benefit pension funds; total time and savings deposits; asset,Private defined benefit pension funds; money market fund shares; asset,Private defined benefit pension funds; security repurchase agreements; asset,Private defined benefit pension funds; debt securities; asset,Private defined benefit pension funds; commercial paper; asset,Private defined benefit pension funds; Treasury securities; asset,Private defined benefit pension funds; agency- and GSE-backed securities; asset,Private defined benefit pension funds; corporate and foreign bonds; asset,Private defined benefit pension funds; total mortgages; asset,Private defined benefit pension funds; corporate equities; asset,Private defined benefit pension funds; mutual fund shares; asset,Private defined benefit pension funds; total miscellaneous assets,Private defined benefit pension funds; unallocated insurance contracts; asset,Private defined benefit pension funds; pension fund contributions receivable; asset,Private defined benefit pension funds; claims of pension fund on sponsor; asset,Private defined benefit pension funds; unidentified miscellaneous assets,Private defined benefit pension funds; pension entitlements (total liabilities)
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1382,20,0,0,0,197,0,37,0,160,22,0,0,1143,0,0,1179,-36,1383
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1345,30,0,0,0,198,0,38,0,160,20,0,0,1097,0,0,1017,80,1344
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1192,30,0,0,0,197,0,37,0,160,20,0,0,945,0,0,865,80,1192
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1123,43,0,0,0,235,0,75,0,160,20,0,0,825,0,0,771,54,1123
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,885,60,0,0,0,216,0,34,0,182,20,0,0,589,0,0,844,-255,886
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,4389,65,0,0,0,599,0,75,0,524,18,0,0,3707,0,0,3695,12,4390
1952:Q1,722,1,195,0,83,192,0,31,0,161,6,90,0,155,0,139,-49,65,722
1952:Q2,1007,-9,7,0,3,195,0,-3,0,198,7,94,0,710,0,6,693,11,1007
1952:Q3,1201,-9,8,0,4,222,0,-11,0,233,8,98,0,870,0,6,854,10,1201
1952:Q4,1295,-2,8,0,3,268,0,8,0,260,8,101,0,909,0,9,894,6,1295
1953:Q1,1290,9,8,0,1,278,0,26,0,252,10,102,0,882,0,7,871,4,1290
1953:Q2,1275,18,9,0,2,270,0,40,0,230,11,104,0,861,0,8,853,0,1275
1953:Q3,1224,19,9,0,0,247,0,40,0,207,11,110,0,828,0,7,821,0,1224
1953:Q4,1140,10,9,0,1,217,0,12,14,191,11,120,0,772,0,9,763,0,1140
1954:Q1,1033,2,10,0,2,221,0,12,-1,210,11,131,0,656,0,8,646,2,1033
1954:Q2,979,-5,10,0,2,234,0,-6,0,240,10,142,0,586,0,6,578,2,979
1954:Q3,954,-5,11,0,2,266,0,2,-6,270,11,147,0,522,0,8,510,4,954
1954:Q4,953,-1,11,0,3,308,0,21,-1,288,14,146,0,472,0,11,454,7,953
1955:Q1,942,10,11,0,5,296,0,45,1,250,17,143,0,460,0,13,434,13,943
1955:Q2,959,18,12,0,7,285,0,78,2,205,19,141,0,477,0,22,441,14,960
1955:Q3,953,19,12,0,7,236,0,73,1,162,22,146,0,511,0,21,472,18,954
