date,Federal government retirement funds; total financial assets,Federal government retirement funds; checkable deposits and currency held by National Railroad Retirement Investment Trust; asset,Federal government retirement funds; debt securities; asset,Federal government retirement funds; Treasury securities; asset,Federal government retirement funds; agency- and GSE-backed securities; asset,Federal government retirement funds; municipal securities held by National Railroad Retirement Investment Trust; asset,Federal government retirement funds; corporate and foreign bonds; asset,Federal government retirement funds; corporate equities; asset,Federal government; other loans and advances due to federal government defined contribution retirement funds; liability,Federal government defined benefit retirement funds; claims of pension funds on sponsor; asset,Federal government retirement funds; total financial assets,Federal government defined benefit retirement funds; total financial assets,Federal government defined contribution retirement funds; total financial assets
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,4047,0,370,370,0,0,0,0,0,3677,4047,4047,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3946,0,823,823,0,0,0,0,0,3123,3946,3946,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,4061,0,823,823,0,0,0,0,0,3238,4061,4061,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,4470,0,1040,1040,0,0,0,0,0,3430,4470,4470,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4967,0,784,784,0,0,0,0,0,4183,4967,4967,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,6409,0,710,710,0,0,0,0,0,5699,6409,6409,0
1952:Q1,1801,0,99,99,0,0,0,0,0,1702,1801,1801,0
1952:Q2,1941,0,386,386,0,0,0,0,0,1555,1941,1941,0
1952:Q3,1897,0,425,425,0,0,0,0,0,1472,1897,1897,0
1952:Q4,1880,0,48,48,0,0,0,0,0,1832,1880,1880,0
1953:Q1,1854,0,60,60,0,0,0,0,0,1794,1854,1854,0
1953:Q2,1958,0,333,333,0,0,0,0,0,1625,1958,1958,0
1953:Q3,1922,0,98,98,0,0,0,0,0,1824,1922,1922,0
1953:Q4,1905,0,39,39,0,0,0,0,0,1866,1905,1905,0
1954:Q1,1854,0,20,20,0,0,0,0,0,1834,1854,1854,0
1954:Q2,1972,0,312,312,0,0,0,0,0,1660,1972,1972,0
1954:Q3,1879,0,8,8,0,0,0,0,0,1871,1879,1879,0
1954:Q4,1968,0,78,78,0,0,0,0,0,1890,1968,1968,0
1955:Q1,1892,0,-12,-12,0,0,0,0,0,1904,1892,1892,0
1955:Q2,2046,0,355,355,0,0,0,0,0,1691,2046,2046,0
1955:Q3,1993,0,273,273,0,0,0,0,0,1720,1993,1993,0
1955:Q4,2010,0,73,73,0,0,0,0,0,1937,2010,2010,0
1956:Q1,2011,0,13,13,0,0,0,0,0,1998,2011,2011,0
1956:Q2,2146,0,316,316,0,0,0,0,0,1830,2146,2146,0
1956:Q3,2121,0,541,541,0,0,0,0,0,1580,2121,2121,0
1956:Q4,2183,0,-7,-7,0,0,0,0,0,2190,2183,2183,0
1957:Q1,2222,0,13,13,0,0,0,0,0,2209,2222,2222,0
1957:Q2,2403,0,300,300,0,0,0,0,0,2103,2403,2403,0
1957:Q3,2395,0,46,46,0,0,0,0,0,2349,2395,2395,0
1957:Q4,2425,0,76,76,0,0,0,0,0,2349,2425,2425,0
1958:Q1,2386,0,165,165,0,0,0,0,0,2221,2386,2386,0
1958:Q2,2495,0,348,348,0,0,0,0,0,2147,2495,2495,0
1958:Q3,2575,0,311,311,0,0,0,0,0,2264,2575,2575,0
1958:Q4,2478,0,110,110,0,0,0,0,0,2368,2478,2478,0
1959:Q1,2445,0,133,133,0,0,0,0,0,2312,2445,2445,0
1959:Q2,2589,0,385,385,0,0,0,0,0,2204,2589,2589,0
1959:Q3,2780,0,323,323,0,0,0,0,0,2457,2780,2780,0
1959:Q4,2534,0,43,43,0,0,0,0,0,2491,2534,2534,0
1960:Q1,2551,0,87,87,0,0,0,0,0,2464,2551,2551,0
1960:Q2,2992,0,685,685,0,0,0,0,0,2307,2992,2992,0
1960:Q3,2642,0,102,102,0,0,0,0,0,2540,2642,2642,0
1960:Q4,2649,0,52,52,0,0,0,0,0,2597,2649,2649,0
1961:Q1,2619,0,51,51,0,0,0,0,0,2568,2619,2619,0
1961:Q2,3143,0,786,786,0,0,0,0,0,2357,3143,3143,0
1961:Q3,2807,0,69,69,0,0,0,0,0,2738,2807,2807,0
1961:Q4,2805,0,10,10,0,0,0,0,0,2795,2805,2805,0
1962:Q1,2812,0,48,48,0,0,0,0,0,2764,2812,2812,0
1962:Q2,3367,0,854,854,0,0,0,0,0,2513,3367,3367,0
