date,Federal government defined benefit retirement funds; total financial assets,Federal government retirement funds; checkable deposits and currency held by National Railroad Retirement Investment Trust; asset,Federal government defined benefit retirement funds; debt securities; asset,Federal government defined benefit retirement funds; Treasury securities; asset,Federal government retirement funds; agency- and GSE-backed securities held by National Railroad Retirement Investment Trust; asset,Federal government retirement funds; municipal securities held by National Railroad Retirement Investment Trust; asset,Federal government retirement funds; corporate and foreign bonds held by National Railroad Retirement Investment Trust; asset,Federal government retirement funds; corporate equities held by National Railroad Retirement Investment Trust; asset,Federal government defined benefit retirement funds; claims of pension funds on sponsor; asset,Federal government defined benefit retirement funds; pension entitlements (total liabilities)
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,4047,0,370,370,0,0,0,0,3677,4047
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3946,0,823,823,0,0,0,0,3123,3946
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,4061,0,823,823,0,0,0,0,3238,4061
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,4470,0,1040,1040,0,0,0,0,3430,4470
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4967,0,784,784,0,0,0,0,4183,4967
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,6409,0,710,710,0,0,0,0,5699,6409
1952:Q1,1801,0,99,99,0,0,0,0,1702,1801
1952:Q2,1941,0,386,386,0,0,0,0,1555,1941
1952:Q3,1897,0,425,425,0,0,0,0,1472,1897
1952:Q4,1880,0,48,48,0,0,0,0,1832,1880
1953:Q1,1854,0,60,60,0,0,0,0,1794,1854
1953:Q2,1958,0,333,333,0,0,0,0,1625,1958
1953:Q3,1922,0,98,98,0,0,0,0,1824,1922
1953:Q4,1905,0,39,39,0,0,0,0,1866,1905
1954:Q1,1854,0,20,20,0,0,0,0,1834,1854
1954:Q2,1972,0,312,312,0,0,0,0,1660,1972
1954:Q3,1879,0,8,8,0,0,0,0,1871,1879
1954:Q4,1968,0,78,78,0,0,0,0,1890,1968
1955:Q1,1892,0,-12,-12,0,0,0,0,1904,1892
1955:Q2,2046,0,355,355,0,0,0,0,1691,2046
1955:Q3,1993,0,273,273,0,0,0,0,1720,1993
1955:Q4,2010,0,73,73,0,0,0,0,1937,2010
1956:Q1,2011,0,13,13,0,0,0,0,1998,2011
1956:Q2,2146,0,316,316,0,0,0,0,1830,2146
1956:Q3,2121,0,541,541,0,0,0,0,1580,2121
