date,Closed-end funds; total financial assets,Closed-end funds; debt securities; asset,Closed-end funds; Treasury securities; asset,Closed-end funds; municipal securities; asset,Closed-end funds; corporate and foreign bonds; asset,Closed-end funds; corporate equities; asset,Closed-end funds; total financial assets,Closed-end funds; total financial assets in domestic equity funds,Closed-end funds; total financial assets in world equity funds,Closed-end funds; total financial assets in domestic taxable bond funds,Closed-end funds; total financial assets in municipal bond funds,Closed-end funds; total financial assets in world bond funds
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,29,6,1,0,5,23,29,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,300,60,15,0,45,240,300,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,100,20,5,0,15,80,100,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,300,60,15,0,45,240,300,ND,ND,ND,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,300,60,15,0,45,240,300,ND,ND,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,200,40,10,0,30,160,200,ND,ND,ND,ND,ND
1952:Q1,48,13,3,0,10,35,48,ND,ND,ND,ND,ND
1952:Q2,9,16,4,0,12,-7,9,ND,ND,ND,ND,ND
1952:Q3,118,16,4,0,12,102,118,ND,ND,ND,ND,ND
1952:Q4,-80,15,4,0,11,-95,-80,ND,ND,ND,ND,ND
1953:Q1,164,15,4,0,11,149,164,ND,ND,ND,ND,ND
1953:Q2,165,15,3,0,12,150,165,ND,ND,ND,ND,ND
1953:Q3,143,15,4,0,11,128,143,ND,ND,ND,ND,ND
1953:Q4,-39,15,4,0,11,-54,-39,ND,ND,ND,ND,ND
1954:Q1,-128,15,4,0,11,-143,-128,ND,ND,ND,ND,ND
1954:Q2,-135,14,3,0,11,-149,-135,ND,ND,ND,ND,ND
1954:Q3,-177,14,4,0,10,-191,-177,ND,ND,ND,ND,ND
1954:Q4,-147,17,4,0,13,-164,-147,ND,ND,ND,ND,ND
1955:Q1,12,18,5,0,13,-6,12,ND,ND,ND,ND,ND
1955:Q2,-186,21,5,0,16,-207,-186,ND,ND,ND,ND,ND
1955:Q3,-72,21,5,0,16,-93,-72,ND,ND,ND,ND,ND
1955:Q4,3,20,5,0,15,-17,3,ND,ND,ND,ND,ND
1956:Q1,-102,20,5,0,15,-122,-102,ND,ND,ND,ND,ND
1956:Q2,191,19,5,0,14,172,191,ND,ND,ND,ND,ND
1956:Q3,167,19,5,0,14,148,167,ND,ND,ND,ND,ND
1956:Q4,60,22,5,0,17,38,60,ND,ND,ND,ND,ND
1957:Q1,283,23,6,0,17,260,283,ND,ND,ND,ND,ND
1957:Q2,-102,25,6,0,19,-127,-102,ND,ND,ND,ND,ND
1957:Q3,429,25,6,0,19,404,429,ND,ND,ND,ND,ND
1957:Q4,345,27,7,0,20,318,345,ND,ND,ND,ND,ND
1958:Q1,0,28,7,0,21,-28,0,ND,ND,ND,ND,ND
1958:Q2,-161,29,7,0,22,-190,-161,ND,ND,ND,ND,ND
1958:Q3,-245,30,8,0,22,-275,-245,ND,ND,ND,ND,ND
1958:Q4,-240,29,7,0,22,-269,-240,ND,ND,ND,ND,ND
1959:Q1,88,79,20,0,59,9,88,ND,ND,ND,ND,ND
1959:Q2,-86,27,20,0,7,-113,-86,ND,ND,ND,ND,ND
1959:Q3,252,29,21,0,8,223,252,ND,ND,ND,ND,ND
1959:Q4,-14,34,23,0,11,-48,-14,ND,ND,ND,ND,ND
1960:Q1,289,100,26,0,74,189,289,ND,ND,ND,ND,ND
1960:Q2,244,57,32,0,25,187,244,ND,ND,ND,ND,ND
1960:Q3,273,51,30,0,21,222,273,ND,ND,ND,ND,ND
1960:Q4,68,27,24,0,3,41,68,ND,ND,ND,ND,ND
1961:Q1,-466,68,2,0,66,-534,-466,ND,ND,ND,ND,ND
1961:Q2,-173,-19,-6,0,-13,-154,-173,ND,ND,ND,ND,ND
1961:Q3,-249,-28,-9,0,-19,-221,-249,ND,ND,ND,ND,ND
1961:Q4,-469,-22,-6,0,-16,-447,-469,ND,ND,ND,ND,ND
1962:Q1,98,35,-8,0,43,63,98,ND,ND,ND,ND,ND
1962:Q2,100,-42,-12,0,-30,142,100,ND,ND,ND,ND,ND
1962:Q3,-69,-29,-8,0,-21,-40,-69,ND,ND,ND,ND,ND
1962:Q4,-42,14,4,0,10,-56,-42,ND,ND,ND,ND,ND
1963:Q1,157,122,18,0,104,35,157,ND,ND,ND,ND,ND
1963:Q2,200,115,32,0,83,85,200,ND,ND,ND,ND,ND
1963:Q3,200,123,34,0,89,77,200,ND,ND,ND,ND,ND
1963:Q4,146,86,24,0,62,60,146,ND,ND,ND,ND,ND
1964:Q1,-73,134,17,0,117,-207,-73,ND,ND,ND,ND,ND
1964:Q2,-15,46,12,0,34,-61,-15,ND,ND,ND,ND,ND
1964:Q3,-65,31,9,0,22,-96,-65,ND,ND,ND,ND,ND
1964:Q4,-6,17,4,0,13,-23,-6,ND,ND,ND,ND,ND
1965:Q1,-67,80,1,0,79,-147,-67,ND,ND,ND,ND,ND
1965:Q2,-144,-19,-6,0,-13,-125,-144,ND,ND,ND,ND,ND
1965:Q3,-278,-28,-7,0,-21,-250,-278,ND,ND,ND,ND,ND
1965:Q4,-240,-23,-6,0,-17,-217,-240,ND,ND,ND,ND,ND
1966:Q1,52,52,-6,0,58,0,52,ND,ND,ND,ND,ND
1966:Q2,138,-31,-7,0,-24,169,138,ND,ND,ND,ND,ND
1966:Q3,-159,-26,-7,0,-19,-133,-159,ND,ND,ND,ND,ND
1966:Q4,275,-12,-3,0,-9,287,275,ND,ND,ND,ND,ND
1967:Q1,0,73,0,0,73,-73,0,ND,ND,ND,ND,ND
1967:Q2,-262,6,1,0,5,-268,-262,ND,ND,ND,ND,ND
1967:Q3,-265,20,5,0,15,-285,-265,ND,ND,ND,ND,ND
1967:Q4,-313,46,11,0,35,-359,-313,ND,ND,ND,ND,ND
1968:Q1,76,82,20,0,62,-6,76,ND,ND,ND,ND,ND
1968:Q2,284,128,31,0,97,156,284,ND,ND,ND,ND,ND
1968:Q3,157,123,30,0,93,34,157,ND,ND,ND,ND,ND
1968:Q4,224,66,16,0,50,158,224,ND,ND,ND,ND,ND
1969:Q1,41,114,5,0,109,-73,41,ND,ND,ND,ND,ND
1969:Q2,199,-3,0,0,-3,202,199,ND,ND,ND,ND,ND
1969:Q3,207,-39,-9,0,-30,246,207,ND,ND,ND,ND,ND
1969:Q4,53,-84,-20,0,-64,137,53,ND,ND,ND,ND,ND
1970:Q1,-328,-153,45,0,-198,-175,-328,ND,ND,ND,ND,ND
1970:Q2,-282,-250,-67,0,-183,-32,-282,ND,ND,ND,ND,ND
