date,Agency-and GSE-backed mortgage pools; total mortgages; asset,Agency-and GSE-backed mortgage pools; one-to-four-family residential mortgages; asset,Agency-and GSE-backed mortgage pools; multifamily residential mortgages; asset,Agency-and GSE-backed mortgage pools; commercial mortgages; asset,Agency-and GSE-backed mortgage pools; farm mortgages; asset,Agency-and GSE-backed mortgage pools; total mortgages; asset
1945:Q4,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,4,0,0,0,4,4
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,3,0,0,0,3,3
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,25,0,0,0,25,25
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
1951:Q4,11,0,0,0,11,11
1952:Q1,2,0,0,0,2,2
1952:Q2,2,0,0,0,2,2
1952:Q3,3,0,0,0,3,3
1952:Q4,3,0,0,0,3,3
1953:Q1,2,0,0,0,2,2
1953:Q2,1,0,0,0,1,1
1953:Q3,2,0,0,0,2,2
1953:Q4,2,0,0,0,2,2
1954:Q1,1,0,0,0,1,1
1954:Q2,1,0,0,0,1,1
1954:Q3,8,0,0,0,8,8
1954:Q4,8,0,0,0,8,8
1955:Q1,8,0,0,0,8,8
1955:Q2,9,0,0,0,9,9
1955:Q3,10,0,0,0,10,10
1955:Q4,11,0,0,0,11,11
1956:Q1,11,0,0,0,11,11
1956:Q2,11,0,0,0,11,11
1956:Q3,5,0,0,0,5,5
1956:Q4,6,0,0,0,6,6
1957:Q1,8,0,0,0,8,8
1957:Q2,9,0,0,0,9,9
1957:Q3,4,0,0,0,4,4
1957:Q4,3,0,0,0,3,3
1958:Q1,2,0,0,0,2,2
1958:Q2,2,0,0,0,2,2
1958:Q3,6,0,0,0,6,6
1958:Q4,7,0,0,0,7,7
1959:Q1,5,0,0,0,5,5
1959:Q2,6,0,0,0,6,6
1959:Q3,1,0,0,0,1,1
1959:Q4,1,0,0,0,1,1
