date,All sectors; U.S. official reserve assets; liability,Federal government; special drawing rights (SDRs) allocations; liability,Rest of the world; U.S. official reserve assets; liability,Federal government; special drawing rights (SDRs) holdings; asset,Rest of the world; reserve position in IMF (net); liability,Rest of the world; other U.S. reserve assets (total); liability,All sectors; U.S. official reserve assets,Federal government; U.S. official reserve assets,Federal government; monetary gold; asset,Federal government; special drawing rights (SDRs) holdings; asset,Federal government; reserve position in IMF (net); asset,Federal government; other reserves; asset,Rest of the world; U.S. official reserve assets,Rest of the world; monetary gold; asset,Federal government; special drawing rights (SDRs) allocations; liability,Monetary authority; U.S. official reserve assets,Monetary authority; monetary gold; asset,Monetary authority; reserve position in IMF (net); asset,Monetary authority; foreign currency denominated assets
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-248,0,-248,0,-248,0,-248,-89,159,0,-248,0,-623,-623,0,464,464,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1185,0,1185,0,1185,0,1185,1401,-63,0,1464,0,-2162,-2162,0,1946,2225,-279,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,356,0,356,0,356,0,356,399,41,0,358,0,-1531,-1531,0,1488,1490,-2,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,169,0,169,0,169,0,169,149,-19,0,168,0,-164,-164,0,184,183,1,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,-16,0,-16,0,-16,0,-16,-284,-22,0,-262,0,1743,1743,0,-1475,-1721,246,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,-20,0,-20,0,-20,0,-20,37,63,0,-26,0,-52,-52,0,-5,-11,6,0
1952:Q1,40,0,40,0,40,0,40,3,-40,0,43,0,-556,-556,0,593,596,-3,0
1952:Q2,-20,0,-20,0,-20,0,-20,29,50,0,-21,0,-105,-105,0,56,55,1,0
1952:Q3,10,0,10,0,10,0,10,8,-3,0,11,0,7,7,0,-5,-4,-1,0
1952:Q4,6,0,6,0,6,0,6,-114,-119,0,5,0,274,274,0,-154,-155,1,0
1953:Q1,-2,0,-2,0,-2,0,-2,21,21,0,0,0,603,603,0,-626,-624,-2,0
1953:Q2,-42,0,-42,0,-42,0,-42,-72,-28,0,-44,0,128,128,0,-98,-100,2,0
1953:Q3,21,0,21,0,21,0,21,55,34,0,21,0,301,301,0,-335,-335,0,0
1953:Q4,-72,0,-72,0,-72,0,-72,-90,-31,0,-59,0,129,129,0,-111,-98,-13,0
1954:Q1,-44,0,-44,0,-44,0,-44,-42,9,0,-51,0,56,56,0,-58,-65,7,0
1954:Q2,-20,0,-20,0,-20,0,-20,10,30,0,-20,0,8,8,0,-38,-38,0,0
1954:Q3,-128,0,-128,0,-128,0,-128,-175,-47,0,-128,0,164,164,0,-117,-117,0,0
1954:Q4,10,0,10,0,10,0,10,38,27,0,11,0,70,70,0,-98,-97,-1,0
1955:Q1,-44,0,-44,0,-44,0,-44,-81,-36,0,-45,0,30,30,0,7,6,1,0
1955:Q2,-20,0,-20,0,-20,0,-20,14,8,0,6,0,33,33,0,-67,-41,-26,0
1955:Q3,-13,0,-13,0,-13,0,-13,-37,9,0,-46,0,-15,-15,0,39,6,33,0
