date,Monetary authority; SDR certificates issued by federal government; asset,Monetary authority; SDR certificates issued by federal government; asset,Federal government; Treasury currency; liability,Monetary authority; Treasury currency; asset,Instrument discrepancies; Treasury currency (seigniorage)
1945:Q4,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND
1946:Q4,0,0,126,223,-97
1947:Q1,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND
1947:Q4,0,0,-28,0,-28
1948:Q1,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND
1948:Q4,0,0,-5,27,-32
1949:Q1,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND
1949:Q4,0,0,-19,9,-28
1950:Q1,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND
1950:Q4,0,0,-10,38,-48
1951:Q1,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND
1951:Q4,0,0,24,73,-49
1952:Q1,0,0,15,22,-7
1952:Q2,0,0,7,23,-16
1952:Q3,0,0,9,27,-18
1952:Q4,0,0,6,31,-25
1953:Q1,0,0,3,14,-11
1953:Q2,0,0,13,28,-15
1953:Q3,0,0,7,18,-11
1953:Q4,0,0,11,22,-11
1954:Q1,0,0,22,41,-19
1954:Q2,0,0,10,24,-14
1954:Q3,0,0,2,12,-10
1954:Q4,0,0,2,14,-12
1955:Q1,0,0,3,12,-9
1955:Q2,0,0,-1,5,-6
1955:Q3,0,0,0,4,-4
1955:Q4,0,0,0,2,-2
1956:Q1,0,0,2,7,-5
1956:Q2,0,0,3,17,-14
1956:Q3,0,0,5,14,-9
1956:Q4,0,0,9,20,-11
1957:Q1,0,0,7,19,-12
1957:Q2,0,0,11,22,-11
1957:Q3,0,0,8,19,-11
1957:Q4,0,0,10,20,-10
1958:Q1,0,0,16,36,-20
1958:Q2,0,0,12,21,-9
1958:Q3,0,0,3,16,-13
1958:Q4,0,0,7,15,-8
1959:Q1,0,0,6,12,-6
1959:Q2,0,0,15,33,-18
1959:Q3,0,0,5,30,-25
1959:Q4,0,0,13,2,11
1960:Q1,0,0,13,29,-16
1960:Q2,0,0,9,14,-5
1960:Q3,0,0,12,21,-9
1960:Q4,0,0,13,23,-10
1961:Q1,0,0,5,11,-6
1961:Q2,0,0,16,28,-12
1961:Q3,0,0,16,125,-109
1961:Q4,0,0,17,23,-6
1962:Q1,0,0,8,3,5
1962:Q2,0,0,9,10,-1
1962:Q3,0,0,-8,-48,40
1962:Q4,0,0,11,17,-6
