date,All sectors; farm mortgages; asset,Corporate farm business; farm mortgages; liability,Noncorporate farm business; farm mortgages; liability,All sectors; farm mortgages; asset,Households and nonprofit organizations; farm mortgages; asset,Nonfinancial noncorporate business; farm mortgages; asset,Federal government; farm mortgages; asset,State and local governments; farm mortgages; asset,U.S.-chartered depository institutions; farm mortgages; asset (USDA),Foreign banking offices in the U.S.; farm mortgages; asset,Life insurance companies; farm mortgages on farm land; asset,State and local government employee defined benefit retirement funds; farm mortgages; asset,Government-sponsored enterprises; farm mortgages; asset,Agency-and GSE-backed mortgage pools; farm mortgages; asset
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,137,3,134,137,125,0,-110,0,180,0,19,-1,-76,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,167,21,146,167,69,0,-50,0,120,0,100,0,-72,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,224,-11,235,224,127,0,-41,4,50,0,95,0,-15,4
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,291,6,285,291,79,0,-13,6,35,0,148,0,33,3
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
