date,Households and nonprofit organizations; proprietors' equity in noncorporate business,Nonfinancial noncorporate business; proprietors' equity in noncorporate business,Security brokers and dealers; proprietors' equity in noncorporate business
1945:Q4,ND,ND,ND
1946:Q1,ND,ND,ND
1946:Q2,ND,ND,ND
1946:Q3,ND,ND,ND
1946:Q4,572,572,0
1947:Q1,ND,ND,ND
1947:Q2,ND,ND,ND
1947:Q3,ND,ND,ND
1947:Q4,86,86,0
1948:Q1,ND,ND,ND
1948:Q2,ND,ND,ND
1948:Q3,ND,ND,ND
1948:Q4,4821,4821,0
1949:Q1,ND,ND,ND
1949:Q2,ND,ND,ND
1949:Q3,ND,ND,ND
1949:Q4,1414,1414,0
1950:Q1,ND,ND,ND
1950:Q2,ND,ND,ND
1950:Q3,ND,ND,ND
1950:Q4,2102,2102,0
1951:Q1,ND,ND,ND
1951:Q2,ND,ND,ND
1951:Q3,ND,ND,ND
1951:Q4,1709,1709,0
1952:Q1,1376,1376,0
1952:Q2,-285,-285,0
1952:Q3,490,490,0
1952:Q4,956,956,0
1953:Q1,377,377,0
1953:Q2,-407,-407,0
1953:Q3,238,238,0
1953:Q4,2708,2708,0
1954:Q1,-453,-453,0
1954:Q2,-1066,-1066,0
1954:Q3,-720,-720,0
1954:Q4,1158,1158,0
1955:Q1,-151,-151,0
1955:Q2,-1482,-1482,0
1955:Q3,-627,-627,0
1955:Q4,1188,1188,0
1956:Q1,165,165,0
1956:Q2,-968,-968,0
1956:Q3,-322,-322,0
1956:Q4,1140,1140,0
1957:Q1,254,254,0
1957:Q2,-401,-401,0
1957:Q3,64,64,0
1957:Q4,475,475,0
1958:Q1,707,707,0
1958:Q2,60,60,0
1958:Q3,879,879,0
1958:Q4,1240,1240,0
1959:Q1,-784,-784,0
1959:Q2,-2359,-2359,0
1959:Q3,-1619,-1619,0
1959:Q4,243,243,0
1960:Q1,-124,-124,0
1960:Q2,-887,-887,0
1960:Q3,-115,-115,0
1960:Q4,228,228,0
1961:Q1,-1384,-1384,0
1961:Q2,-213,-213,0
1961:Q3,276,276,0
1961:Q4,1538,1538,0
1962:Q1,271,271,0
1962:Q2,-616,-616,0
1962:Q3,246,246,0
1962:Q4,654,654,0
1963:Q1,433,433,0
1963:Q2,-307,-307,0
1963:Q3,738,738,0
1963:Q4,1304,1304,0
1964:Q1,547,547,0
1964:Q2,-415,-415,0
1964:Q3,511,511,0
1964:Q4,1741,1741,0
1965:Q1,633,633,0
1965:Q2,-40,-40,0
1965:Q3,1126,1126,0
1965:Q4,2046,2046,0
1966:Q1,98,98,0
1966:Q2,-105,-105,0
1966:Q3,1655,1655,0
1966:Q4,1844,1844,0
1967:Q1,1436,1436,0
1967:Q2,-742,-742,0
1967:Q3,244,244,0
1967:Q4,1,1,0
1968:Q1,2421,2421,0
1968:Q2,-129,-129,0
1968:Q3,540,540,0
1968:Q4,333,333,0
1969:Q1,1126,1126,0
1969:Q2,-1205,-1205,0
1969:Q3,-156,-156,0
1969:Q4,383,383,0
1970:Q1,3281,3281,0
1970:Q2,-1481,-1481,0
1970:Q3,-1482,-1482,0
1970:Q4,-646,-646,0
1971:Q1,1354,1354,0
1971:Q2,-556,-556,0
1971:Q3,1287,1287,0
1971:Q4,-234,-234,0
1972:Q1,975,975,0
1972:Q2,-3035,-3035,0
1972:Q3,-48,-48,0
1972:Q4,-2915,-2915,0
1973:Q1,-2010,-2267,257
1973:Q2,6,-243,249
1973:Q3,5044,4815,229
1973:Q4,7207,6992,215
1974:Q1,-4797,-4993,196
1974:Q2,-7645,-7842,197
1974:Q3,-8076,-8263,187
1974:Q4,-6532,-6708,176
1975:Q1,-3298,-3421,123
1975:Q2,-4970,-5062,92
1975:Q3,-2496,-2590,94
1975:Q4,-1515,-1635,120
1976:Q1,-5394,-5096,-298
1976:Q2,-4260,-4284,24
1976:Q3,-2326,-2264,-62
1976:Q4,-1341,-1485,144
1977:Q1,-7027,-6887,-140
1977:Q2,-3730,-3854,124
1977:Q3,-534,-484,-50
1977:Q4,2869,3035,-166
1978:Q1,-2879,-3026,147
1978:Q2,-6115,-6194,79
