date,All sectors; sector discrepancy,Households and nonprofit organizations; sector discrepancy,Nonfinancial corporate business; sector discrepancy,Federal government; sector discrepancy,State and local governments; sector discrepancy,Domestic financial sectors; sector discrepancy,Monetary authority; sector discrepancy,U.S.-chartered depository institutions; sector discrepancy,Foreign banking offices in the U.S.; sector discrepancy,Banks in U.S.-affiliated areas; sector discrepancy,Credit unions; sector discrepancy,Property-casualty insurance companies; sector discrepancy,Life insurance companies; sector discrepancy,Mutual funds; sector discrepancy,Government-sponsored enterprises; sector discrepancy,Issuers of asset-backed securities; sector discrepancy,Finance companies; sector discrepancy,Real estate investment trusts; sector discrepancy,Security brokers and dealers; sector discrepancy,Holding companies; sector discrepancy,Rest of the world; sector discrepancy (FOF basis)
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-2977,-2090,4653,-6377,1270,-251,0,-169,-65,0,10,-6,129,-117,-25,0,124,-2,3,-133,-181
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,-12023,-4595,3192,-9669,-278,-41,-3,66,41,0,9,-146,125,-46,-29,0,64,-1,-10,-111,-631
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,-6431,-4088,5400,-8102,-602,286,-8,167,8,1,13,-80,178,52,-2,0,113,-9,-11,-135,675
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-6909,-3819,4888,-7435,-1130,585,-25,169,9,0,17,223,267,-52,-8,0,110,-4,-12,-108,2
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,-8523,-3447,4959,-8820,866,-746,-36,-149,23,-12,23,-378,-135,-27,-15,0,119,-16,-38,-106,-1334
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
