date,Instrument discrepancies; total discrepancy,Instrument discrepancies; Treasury currency (seigniorage),Instrument discrepancies; private foreign deposits,Instrument discrepancies; net interbank transactions,Instrument discrepancies; federal funds and security repurchase agreements,Instrument discrepancies; checkable deposits and currency (total mail float),Instrument discrepancies; federal goverment mail float,Instrument discrepancies; state and local governments mail float,Instrument discrepancies; private domestic mail float,Instrument discrepancies; trade receivables,Instrument discrepancies; taxes receivable,Instrument discrepancies; total miscellaneous assets,Instrument discrepancies; gross saving including foreign earnings retained abroad less net capital transfers paid less capital expenditures,Gross domestic product (GDP); statistical discrepancy (calculated from components),Households and nonprofit organizations; adjustment to contributions for government social insurance paid for U.S. affiliated areas
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-2977,-97,0,-498,-9,883,603,0,280,2910,-7757,2820,-1228,1228,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,-12023,-28,0,125,-80,-814,-1553,0,739,-1713,-7592,943,-2865,2865,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,-6431,-32,0,-148,-10,-326,52,0,-378,751,-7493,578,250,-250,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-6909,-28,0,66,3,368,79,0,289,1108,-7523,837,-1739,1739,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,-8523,-48,0,99,-45,374,-199,0,573,-1438,-8383,2181,-1263,1263,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,-993,-49,0,-794,-114,202,-10,0,212,-2762,-9250,15232,-3458,3440,18
1952:Q1,-6550,-7,0,-21,-200,-2844,-1235,0,-1609,-3832,-1933,3118,-831,544,287
1952:Q2,2982,-16,0,-202,-229,1951,574,0,1377,-981,-2214,5148,-475,375,100
1952:Q3,-6996,-18,0,674,-632,-1398,150,14,-1562,-1539,-1916,-1825,-342,411,-69
1952:Q4,-10761,-25,0,-560,273,3304,-136,45,3395,2518,-2718,-12569,-983,1279,-296
1953:Q1,-13805,-11,0,33,166,-2359,-559,47,-1847,-2911,-3402,-4730,-591,243,348
1953:Q2,-11160,-15,0,-17,139,1218,405,49,764,1338,-3292,-9795,-736,621,115
1953:Q3,-9304,-11,0,358,-813,-1413,17,56,-1486,-379,-1342,-5078,-626,689,-63
1953:Q4,14627,-11,0,-508,643,2959,322,69,2568,2955,-1513,11961,-1859,2236,-377
1954:Q1,1902,-19,0,-311,521,-2680,-518,59,-2221,-2351,-4120,11177,-314,-86,400
1954:Q2,12565,-14,0,254,-51,807,225,26,556,678,-4020,15482,-571,388,183
1954:Q3,15660,-10,0,258,-743,-1191,476,-19,-1648,-482,-229,19077,-1020,1102,-82
1954:Q4,4787,-12,0,-736,780,3173,434,-81,2820,2699,-1133,1049,-1033,1508,-475
1955:Q1,-4227,-9,0,-45,-309,-2152,222,-61,-2313,-3015,-4990,7144,-851,693,158
1955:Q2,22336,-6,0,214,226,611,-903,35,1479,1115,-4506,24551,130,-613,483
1955:Q3,12419,-4,0,289,-1212,-1797,61,139,-1997,122,235,15379,-593,696,-103
1955:Q4,7022,-2,0,-444,174,3491,229,239,3023,3187,45,1419,-849,1361,-512
1956:Q1,8077,-5,0,-102,348,-2039,118,259,-2416,-2682,-4592,16655,494,-765,271
1956:Q2,-13360,-14,0,-133,430,753,-347,199,901,575,-5394,-10193,616,-1257,641
1956:Q3,-9897,-9,0,618,-1667,-1092,168,146,-1406,-1622,236,-7009,648,-424,-224
