date,Domestic nonfinancial sectors; total financial assets,Federal government; U.S. official reserve assets,Domestic nonfinancial sectors; private foreign deposits; asset,Domestic nonfinancial sectors; checkable deposits and currency; asset,Domestic nonfinancial sectors; total time and savings deposits; asset,Domestic nonfinancial sectors; money market fund shares; asset,Domestic nonfinancial sectors; security repurchase agreements; asset,Domestic nonfinancial sectors; debt securities; asset,Domestic nonfinancial sectors; commercial paper; asset,Domestic nonfinancial sectors; Treasury securities; asset,Domestic nonfinancial sectors; agency- and GSE-backed securities; asset,Domestic nonfinancial sectors; municipal securities; asset,Domestic nonfinancial sectors; corporate and foreign bonds; asset,Domestic nonfinancial sectors; loans; asset,Domestic nonfinancial sectors; other loans and advances; asset,Domestic nonfinancial sectors; total mortgages; asset,Domestic nonfinancial sectors; consumer credit; asset,Domestic nonfinancial sectors; corporate equities; asset,Domestic nonfinancial sectors; mutual fund shares; asset,Domestic nonfinancial sectors; trade receivables; asset,Households and nonprofit organizations; life insurance reserves; asset,Households and nonprofit organizations; pension entitlements; asset,Domestic nonfinancial sectors; taxes receivable; asset,Households and nonprofit organizations; proprietors' equity in noncorporate business,Nonfinancial corporate business; U.S. direct investment abroad (market value); asset,Domestic nonfinancial sectors; total miscellaneous assets,Domestic nonfinancial sectors; total liabilities,Federal government; special drawing rights (SDRs) allocations; liability,Monetary authority; SDR certificates issued by federal government; asset,Federal government; Treasury currency; liability,Domestic nonfinancial sectors; debt securities; liability,Nonfinancial corporate business; commercial paper; liability,Federal government; Treasury securities; liability,Federal government; budget agency securities; liability,Domestic nonfinancial sectors; municipal securities; liability,Nonfinancial corporate business; corporate bonds; liability,Domestic nonfinancial sectors; loans; liability,Domestic nonfinancial sectors; depository institution loans n.e.c.; liability,Domestic nonfinancial sectors; other loans and advances; liability,Domestic nonfinancial sectors; total mortgages; liability,Households and nonprofit organizations; consumer credit; liability,Domestic nonfinancial sectors; trade payables; liability,Federal government; life insurance reserves; liability,Nonfinancial business; taxes payable; liability,Nonfinancial business; foreign direct investment in U.S.: intercompany debt; liability (market value),Domestic nonfinancial sectors; total miscellaneous liabilities,Nonfinancial corporate business; corporate equities; liability,Nonfinancial noncorporate business; proprietors' equity in noncorporate business,Nonfinancial business; foreign direct investment in U.S.; liability (market value)
1945:Q4,797875,18,33,122118,51763,0,0,105127,0,90556,295,5880,8396,22107,5156,13578,3373,144855,1245,26311,39560,61172,10107,197385,6990,9084,428742,0,0,2310,290515,95,254077,308,12130,23905,61887,10543,8691,35853,6800,21070,3593,10105,320,38942,103694,197385,1228
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,830526,-71,68,106619,58296,0,0,96380,32,83085,227,5584,7452,27080,8306,14784,3990,138515,1298,29397,43360,69381,8718,234182,6971,10332,431947,0,0,2436,268500,137,231201,105,12199,24858,75464,14910,8745,42032,9777,27212,4758,8147,316,45115,97302,234182,1220
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,897272,1330,51,108785,61925,0,0,96527,129,83246,285,6223,6644,33273,12292,16081,4900,136405,1413,34794,46510,77939,11066,267381,8088,11785,456723,0,0,2408,266551,172,224830,68,13810,27671,90134,18612,9026,49198,13298,30887,5363,10333,336,50711,95116,267381,1291
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,936453,1729,10,108028,64403,0,0,98760,180,84947,429,6516,6688,36803,13603,17393,5807,135486,1516,36996,49353,86476,11878,283080,9321,12613,478603,0,0,2403,267293,166,219097,915,15144,31971,101827,19314,9613,56568,16332,33823,5576,11108,372,56201,94141,283080,1434
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,964614,1878,10,107748,67214,0,0,101162,265,88296,363,5957,6281,39144,14391,18310,6443,142455,3071,36062,52104,95413,9614,284819,10367,13553,497197,0,0,2384,274795,162,222625,1004,16130,34874,109658,17304,10301,62679,19374,34015,5660,8806,402,61477,103822,284819,1548
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1051580,1594,57,112088,69688,0,0,105879,143,91222,355,8149,6010,42410,15048,19624,7738,164696,3344,47961,55049,104563,17015,301720,11419,14097,549233,0,0,2374,280594,207,222852,382,20655,36498,130779,22044,11680,73108,23947,44530,5969,16061,495,68431,126681,301720,1905
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1143605,1631,91,119193,74898,0,0,106951,90,91411,518,8645,6287,45389,15660,21258,8471,184698,3482,52363,57777,118836,22101,328513,12567,15115,585889,0,0,2398,286337,269,223261,245,22770,39792,148008,27298,12787,82573,25350,46245,6142,20537,548,75674,147629,328513,2112
1952:Q1,1161015,1634,84,120485,76296,0,80,108967,138,91787,491,10417,6134,44958,15692,21579,7687,186383,3612,54793,58445,122763,22543,331583,12945,15444,588238,0,0,2413,288418,328,221993,208,25016,40873,148863,27071,12782,84413,24597,44885,6157,18812,560,78130,151463,331583,2156
1952:Q2,1177419,1663,102,119922,78592,0,167,110457,432,90679,563,12428,6355,46244,15913,21903,8428,192556,3696,53757,59153,126900,22479,332500,13529,15702,595172,0,0,2420,292159,304,221979,53,27480,42343,153774,26965,13148,86783,26878,42888,6177,16610,575,80570,157607,332500,2211
1952:Q3,1183029,1671,98,122743,80122,0,679,112745,411,92281,626,13297,6130,47063,16257,22210,8596,192065,3837,58238,59892,131197,9832,332818,13827,16202,611199,0,0,2429,298164,346,225252,401,28695,43470,158044,27386,13483,89210,27965,45852,6185,17238,584,82703,156907,332818,2249
1952:Q4,1186186,1557,75,124341,82530,0,247,114248,195,93574,601,13881,5997,48808,16496,22591,9721,181107,3932,58154,60665,135627,12707,330657,14261,17270,628727,0,0,2435,304314,331,229203,626,29657,44497,164442,28340,14050,91530,30522,48251,6185,17381,596,85123,146628,330657,2294
1953:Q1,1192719,1578,102,122801,84448,0,256,115502,212,93946,644,14854,5846,48641,16681,23131,8829,177857,3867,60465,61439,139902,14570,329100,14635,17557,631137,0,0,2438,303759,370,226183,728,31221,45257,167261,28332,14379,93649,30901,47682,6193,16007,614,87183,143052,329100,2362
1953:Q2,1191959,1506,74,119694,87159,0,0,117531,194,94754,650,15820,6113,50106,17233,23568,9305,168582,3778,59540,62199,144293,16945,327734,15058,17760,640238,0,0,2451,305872,297,226643,283,32379,46270,172399,28275,14935,96517,32672,48039,6211,15201,620,89444,133816,327734,2382
