date,Nonfinancial business; total financial assets,Nonfinancial corporate business; private foreign deposits; asset,Nonfinancial business; checkable deposits and currency; asset,Nonfinancial business; total time and savings deposits; asset,Nonfinancial business; money market fund shares; asset,Nonfinancial corporate business; security repurchase agreements; asset,Nonfinancial business; debt securities; asset,Nonfinancial corporate business; commercial paper; asset,Nonfinancial business; Treasury securities; asset,Nonfinancial corporate business; agency- and GSE-backed securities; asset,Nonfinancial business; municipal securities; asset,Nonfinancial business; loans; asset,Nonfinancial business; total mortgages; asset,Nonfinancial business; consumer credit; asset,Nonfinancial corporate business; corporate equities; asset,Nonfinancial corporate business; mutual fund shares; asset,Nonfinancial business; trade receivables; asset,Nonfinancial corporate business; U.S. direct investment abroad (market value); asset,Nonfinancial business; total miscellaneous assets,Nonfinancial business; total liabilities,Nonfinancial corporate business; debt securities; liability,Nonfinancial corporate business; commercial paper; liability,Nonfinancial corporate business; municipal securities; liability,Nonfinancial corporate business; corporate bonds; liability,Nonfinancial business; loans; liability,Nonfinancial business; depository institution loans n.e.c.; liability,Nonfinancial business; other loans and advances; liability,Nonfinancial business; total mortgages; liability,Nonfinancial business; trade payables; liability,Nonfinancial business; taxes payable; liability,Nonfinancial business; foreign direct investment in U.S.: intercompany debt; liability (market value),Nonfinancial business; total miscellaneous liabilities,Nonfinancial corporate business; corporate equities; liability,Nonfinancial noncorporate business; proprietors' equity in noncorporate business,Nonfinancial business; foreign direct investment in U.S.; liability (market value)
1945:Q4,92366,33,35948,900,0,0,18760,0,18508,0,252,3378,5,3373,0,0,24369,6990,1988,85044,24000,95,0,23905,31940,10253,4856,16831,17255,10105,320,1424,103694,197385,1228
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,92656,68,37095,900,0,0,13124,32,12779,0,313,4000,10,3990,0,0,28132,6971,2366,99245,24995,137,0,24858,38913,14736,5659,18518,25097,8147,316,1778,97302,234182,1220
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,102225,51,39204,900,0,0,12770,129,12291,0,350,4916,16,4900,0,0,33418,8088,2878,114866,27843,172,0,27671,44718,18456,5837,20425,29470,10333,336,2166,95116,267381,1291
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,107621,10,39137,900,0,0,13485,180,12853,0,452,5837,30,5807,0,0,35534,9321,3396,126209,32137,166,0,31971,47831,19153,6253,22425,32183,11108,372,2578,94141,283080,1434
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
