date,Nonfinancial corporate business; total financial assets,Nonfinancial corporate business; private foreign deposits; asset,Nonfinancial corporate business; checkable deposits and currency; asset,Nonfinancial corporate business; total time and savings deposits; asset,Nonfinancial corporate business; money market fund shares; asset,Nonfinancial corporate business; security repurchase agreements; asset,Nonfinancial corporate business; debt securities; asset,Nonfinancial corporate business; commercial paper; asset,Nonfinancial corporate business; Treasury securities; asset,Nonfinancial corporate business; agency- and GSE-backed securities; asset,Nonfinancial corporate business; municipal securities; asset,Nonfinancial corporate business; loans; asset,Nonfinancial corporate business; total mortgages; asset,Nonfinancial corporate business; consumer credit; asset,Nonfinancial corporate business; corporate equities; asset,Nonfinancial corporate business; mutual fund shares; asset,Nonfinancial corporate business; trade receivables; asset,Nonfinancial corporate business; U.S. direct investment abroad (market value); asset,Nonfinancial corporate business; total miscellaneous assets,Nonfinancial corporate business; insurance receivables due from property-casualty insurance companies; asset,Nonfinancial corporate business; equity in Fannie Mae and Farm Credit System; asset,Nonfinancial corporate business; equity investment in finance company subsidiaries; asset,Nonfinancial corporate business; Paycheck Protection Program receivables due from federal government; asset,Nonfinancial corporate business; unidentified miscellaneous assets,Nonfinancial corporate business; total liabilities,Nonfinancial corporate business; debt securities; liability,Nonfinancial corporate business; commercial paper; liability,Nonfinancial corporate business; municipal securities; liability,Nonfinancial corporate business; corporate bonds; liability,Nonfinancial corporate business; loans; liability,Nonfinancial corporate business; depository institution loans n.e.c.; liability,Nonfinancial corporate business; other loans and advances; liability,Nonfinancial corporate business; total mortgages; liability,Nonfinancial corporate business; trade payables; liability,Nonfinancial corporate business; total taxes payable; liability,Nonfinancial corporate business; foreign direct investment in U.S.: intercompany debt; liability (market value),Nonfinancial corporate business; total miscellaneous liabilities,Private pension funds; pension fund contributions receivable; asset,Private defined benefit pension funds; claims of pension fund on sponsor; asset,Nonfinancial corporate business; unidentified miscellaneous liabilities,Nonfinancial corporate business; corporate equities; liability,Nonfinancial corporate business; foreign direct investment in U.S.; liability (market value),Nonfinancial corporate business; liquid assets (broad measure),Nonfinancial corporate business; total short-term liabilities,Nonfinancial corporate business; liquid assets as a percentage of short-term liabilties,Nonfinancial corporate business; short-term debt as a percentage of total debt
1945:Q4,68769,33,18959,900,0,0,18760,0,18508,0,252,2799,5,2794,0,0,19821,6990,507,429,4,0,0,74,70188,24000,95,0,23905,20653,8912,3199,8541,13697,10105,309,1424,0,16879,-15455,103694,1184,38652,36009,107.3404517131506,27.33720395962916
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,67164,68,19502,900,0,0,13124,32,12779,0,313,3331,10,3321,0,0,22579,6971,689,689,3,0,0,-3,80160,24995,137,0,24858,24894,12505,3054,9335,20041,8147,305,1778,0,18059,-16281,97302,1176,33594,43884,76.5510259154597,31.46245718847805
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,75889,51,21434,900,0,0,12770,129,12291,0,350,4135,16,4119,0,0,27554,8088,957,971,2,0,0,-17,92995,27843,172,0,27671,28937,15574,2869,10495,23392,10333,324,2166,0,19071,-16905,95116,1247,35155,52339,67.16743949430897,32.78335399392715
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,81366,10,21861,900,0,0,13485,180,12853,0,452,4935,30,4905,0,0,29600,9321,1254,1209,2,0,0,42,101836,32137,166,0,31971,30674,16181,2958,11535,24980,11108,359,2578,0,19930,-17352,94141,1386,36256,55393,65.45220704583433,30.73522969588518
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,85268,10,22903,900,0,0,15447,265,14697,0,485,5501,24,5477,0,0,28640,10367,1500,1402,2,0,0,96,101086,35036,162,0,34874,29358,14287,2891,12181,24718,8806,389,2779,0,20697,-17918,103822,1499,39260,50863,77.18724443748388,26.92697690563389
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,102052,57,24222,900,0,0,18665,143,17870,0,652,6614,23,6591,0,0,38583,11419,1592,1437,2,0,0,152,123646,36705,207,0,36498,33734,17974,3126,12634,32694,16061,480,3972,0,21237,-17265,126681,1848,43844,70062,62.57859893519354,30.24930646307805
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,110079,91,25859,900,0,0,19587,90,18653,0,844,7241,26,7215,0,0,41964,12567,1870,1568,2,0,0,299,136442,40061,269,0,39792,38807,22183,3395,13229,32316,20537,532,4189,0,24925,-20736,147629,2050,46437,78700,59.00498454942266,32.77250589610231
1952:Q1,108243,84,24511,900,0,0,18825,138,17862,0,825,5616,27,5589,0,0,43434,12945,1928,1600,3,0,0,326,133945,41201,328,0,40873,38567,21916,3265,13385,30361,18812,544,4460,139,23810,-19489,151463,2093,44320,74683,59.34452310593414,31.97971081131456
1952:Q2,108205,102,25850,900,0,0,17555,432,16635,0,488,6172,28,6144,0,0,42254,13529,1843,1630,3,0,0,211,130976,42647,304,0,42343,38123,21494,3369,13260,28227,16610,558,4811,145,24499,-19833,157607,2148,44407,70004,63.43462131069327,31.159162969789
1952:Q3,113493,98,26398,900,0,0,18007,411,17018,0,578,6276,29,6247,0,0,46001,13827,1986,1659,3,0,0,324,136151,43816,346,0,43470,38712,21955,3506,13251,30753,17238,567,5065,151,25422,-20508,156907,2185,45403,73798,61.52318466083779,31.27091432672635
1952:Q4,115497,75,26641,900,0,0,18655,195,17647,0,813,7081,30,7051,0,0,45866,14261,2018,1689,3,0,0,326,141231,44828,331,0,44497,40270,22979,3827,13464,33077,17381,579,5096,160,26217,-21281,146628,2227,46271,77595,59.63132063727351,31.88936764019827
1953:Q1,113867,102,23589,900,0,0,19241,212,18164,0,865,6411,31,6380,0,0,46828,14635,2161,1721,3,0,0,438,139123,45627,370,0,45257,40877,23076,4046,13756,31088,16007,596,4928,167,27129,-22368,143052,2295,43832,74587,58.76659850504669,31.78061725235509
1953:Q2,114490,74,25710,900,0,0,17581,194,16454,0,933,6777,32,6745,0,0,46126,15058,2264,1753,3,0,0,508,139793,46567,297,0,46270,40787,22710,4381,13696,31407,15201,602,5229,175,27979,-22925,133816,2314,44265,73996,59.82116926079266,31.35242320654068
1953:Q3,118486,85,25865,900,0,0,19467,214,18232,0,1021,6697,32,6665,0,0,47561,15424,2487,1785,3,0,0,700,144012,47147,347,0,46800,41191,23000,4430,13761,32222,17399,619,5434,182,28801,-23549,129274,2377,46317,77398,59.84292440927192,31.44354061059926
1953:Q4,118534,114,26550,900,0,0,20449,204,19240,0,1005,7341,32,7309,0,0,45021,15735,2424,1812,3,0,0,610,146098,48414,402,0,48012,40838,22417,4279,14142,32800,17986,632,5428,191,29507,-24270,144082,2434,48013,77884,61.64683798930758,30.36133794305394
1954:Q1,114258,115,23706,950,0,0,19162,312,17887,0,963,6453,32,6421,0,0,45279,16031,2562,1835,3,0,0,724,140553,49314,525,0,48789,40851,22093,4340,14418,30154,14340,646,5248,199,30110,-25061,156255,2489,43933,71452,61.48592669275565,29.89852031212306
1954:Q2,113726,128,25354,1000,0,0,16134,338,14874,0,922,6862,32,6830,0,0,45273,16440,2535,1851,3,0,0,681,138011,50208,484,0,49724,39943,21445,4213,14285,30197,11324,667,5672,205,30763,-25296,172550,2559,42616,67663,62.98279983704344,28.99783157562794
1954:Q3,119270,150,26760,1050,0,0,17663,300,16366,0,997,6790,32,6758,0,0,47592,16649,2616,1868,3,0,0,745,142579,51583,584,0,50999,39583,21273,4095,14216,31519,13163,682,6049,213,31307,-25471,191985,2631,45623,70633,64.59138829572584,28.46578563718912
1954:Q4,124032,158,28329,1100,0,0,18786,291,17523,0,972,7687,33,7654,0,0,48406,17036,2530,1895,3,0,0,632,149274,52078,531,0,51547,40765,21761,4368,14636,34832,14767,681,6151,224,31629,-25702,194840,2619,48373,76259,63.43267828947994,28.71488844534305
1955:Q1,124749,147,26814,1075,0,0,19039,281,17543,150,1065,6834,36,6798,0,0,50806,17331,2703,1929,3,0,0,771,147524,52555,500,0,52055,41165,22121,4109,14935,34093,12936,699,6076,237,31889,-26050,202122,2696,47075,73759,63.8224254400247,28.52134155042487
1955:Q2,127787,127,27756,1050,0,0,18399,352,16788,200,1059,7398,40,7358,0,0,52383,17837,2837,1964,4,0,0,869,150525,53159,380,0,52779,42227,22865,4234,15128,35703,12026,723,6687,259,31690,-25262,225533,2780,47332,75208,62.93451363754555,28.80852577956063
