date,Nonfinancial noncorporate business; total financial assets,Nonfinancial noncorporate business; checkable deposits and currency; asset,Nonfinancial noncorporate business; total time and savings deposits; asset,Nonfinancial noncorporate business; money market fund shares; asset,Nonfinancial noncorporate business; debt securities; asset,Nonfinancial noncorporate business; total U.S. government securities; asset,Nonfinancial noncorporate business; municipal securities; asset,Nonfinancial noncorporate business; loans; asset,Nonfinancial noncorporate business; total mortgages; asset,Nonfinancial noncorporate business; consumer credit; asset,Nonfinancial noncorporate business; trade receivables; asset,Nonfinancial noncorporate business; total miscellaneous assets,Nonfinancial noncorporate business; insurance receivables due from property-casualty insurance companies; asset,Nonfinancial noncorporate business; equity in Farm Credit System; asset,Nonfinancial noncorporate business; Paycheck Protection Program receivables due from federal government; asset,Nonfinancial noncorporate business; unidentified miscellaneous assets,Nonfinancial noncorporate business; total liabilities,Nonfinancial noncorporate business; loans; liability,Nonfinancial noncorporate business; depository institution loans n.e.c.; liability,Nonfinancial noncorporate business; other loans and advances; liability,Nonfinancial noncorporate business; total mortgages; liability,Nonfinancial noncorporate business; trade payables; liability,Nonfinancial noncorporate business; taxes payable; liability,Nonfinancial noncorporate business; foreign direct investment in U.S. real estate business: interncompany debt; liability (market value),Nonfinancial noncorporate business; unidentified miscellaneous liabilities,Nonfinancial noncorporate business; proprietors' equity in noncorporate business,Nonfinancial noncorporate business; foreign direct investment in U.S. real estate business: equity; liability (market value)
1945:Q4,23597,16989,0,0,0,0,0,579,0,579,4548,1481,1300,181,0,0,14856,11287,1341,1657,8290,3558,0,11,0,197385,44
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,25492,17593,0,0,0,0,0,669,0,669,5553,1677,1534,143,0,0,19085,14019,2231,2605,9183,5056,0,11,0,234182,44
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,26336,17770,0,0,0,0,0,781,0,781,5864,1921,1798,124,0,0,21871,15781,2882,2968,9930,6078,0,12,0,267381,44
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,26255,17276,0,0,0,0,0,902,0,902,5934,2142,2017,126,0,0,24373,17157,2972,3295,10890,7203,0,13,0,283080,48
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,26426,17148,0,0,0,0,0,966,0,966,5995,2317,2188,129,0,0,26015,18539,2840,3572,12126,7463,0,13,0,284819,49
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,28054,17377,0,0,0,0,0,1147,0,1147,7091,2439,2308,132,0,0,30381,21645,3751,3936,13958,8721,0,15,0,301720,57
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
