date,Monetary authority; total financial assets,Monetary authority; U.S. official reserve assets,Monetary authority; SDR certificates issued by federal government; asset,Monetary authority; Treasury currency; asset,Monetary authority; Federal Reserve float; asset,Monetary authority; loans to depository institutions, including AMLF, MMLF, and PPPLF; asset,Monetary authority; loans to domestic banks through the discount window; asset,U.S.-chartered depository institutions; commercial paper funded by borrowing from the Asset-Backed Commercial Paper Money Market Mutual Fund Liquidity Facility (AMLF) and Money Market Mutual Fund Liquidity Facility (MMLF); asset,Monetary authority; loans to depository institutions under the Paycheck Protection Program Liquidity Facility (PPPLF), assets,Monetary authority; security repurchase agreements; asset,Monetary authority; debt securities; asset,Monetary authority; bankers' acceptances; asset,Monetary authority; total Treasury securities; asset,Monetary authority; Treasury bills; asset,Monetary authority; other Treasury securities, excluding Treasury bills; asset,Monetary authority; agency- and GSE-backed securities; asset,Monetary authority; agency mortgage-backed securities; asset,Monetary authority; agency- and GSE-backed securities other than MBS; asset,Monetary authority; depository institution loans n.e.c.; asset,Monetary authority; depository institution loans n.e.c. to households under Term Asset-Backed Securities Loan Facility (TALF I); asset,Monetary authority; loans to brokers and dealers; asset,Monetary authority; loans to finance companies under the Paycheck Protection Program Liquidity Facility (PPPLF); asset,Monetary authority; depository institution loans n.e.c. to other financial business; asset,Monetary authority; corporate equities; asset,Monetary authority; total miscellaneous assets,Monetary authority; nonofficial foreign currencies (swap lines); asset,Monetary authority; unidentified miscellaneous assets,Monetary authority; total liabilities,Monetary authority; depository institution reserves, excluding FHLB deposits; liability,Private depository institutions; vault cash; asset,Monetary authority; checkable deposits and currency; liability,Monetary authority; checkable deposits due to the federal government; liability,Monetary authority; Treasury cash holdings; liability,Monetary authority; deposits in Treasury general deposit account; liability,Monetary authority; deposits in Treasury temporary supplementary financing account; liability,Monetary authority; checkable deposits due to government-sponsored enterprises, including FHLB deposits; liability,Monetary authority; total checkable deposits due to other financial business; liability,Monetary authority; checkable deposits due to rest of the world; liability,Monetary authority; currency outside banks; liability,Monetary authority; security repurchase agreements; liability,Monetary authority; security repurchase agreements, reverse repurchase agreement operations; liability,Monetary authority; security repurchase agreements, excluding those in the reverse repurchase agreement operations; liability,Monetary authority; total miscellaneous liabilities,Federal government; Exchange Stabilization Fund Economic Recovery Programs investment in Money Market Mutual Fund Liquidity Facility (MMLF); asset,Monetary authority; Federal Reserve bank stock; liability,Monetary authority; unidentified miscellaneous liabilities,Monetary authority; debt securities; asset (amortized cost),Monetary authority; Treasury securities; asset (amortized cost),Monetary authority; agency- and GSE-backed securities; asset (amortized cost)
1945:Q4,49390,20065,0,4183,578,202,202,0,0,0,24262,0,24262,21195,3067,0,0,0,0,0,0,0,0,0,100,0,100,49012,15915,1869,31114,3264,2287,977,0,0,0,1204,26646,0,0,0,114,0,177,-63,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,48962,20529,0,4406,580,16,16,0,0,0,23350,0,23350,22241,1109,0,0,0,0,0,0,0,0,0,81,0,81,48503,16139,2046,30377,2665,2272,393,0,0,0,806,26906,0,0,0,-59,0,187,-246,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,50159,22475,0,4406,535,34,34,0,0,0,22559,0,22559,18230,4329,0,0,0,0,0,0,0,0,0,150,0,150,49692,17899,2216,29290,2206,1336,870,0,0,0,432,26652,0,0,0,287,0,196,91,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,52484,23963,0,4433,541,33,33,0,0,0,23333,0,23333,11565,11768,0,0,0,0,0,0,0,0,0,181,0,181,51956,20479,1978,29353,2448,1325,1123,0,0,0,659,26246,0,0,0,146,0,201,-55,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,48151,24147,0,4442,534,8,8,0,0,0,18885,0,18885,11104,7781,0,0,0,0,0,0,0,0,0,135,0,135,47563,16563,2015,28525,2133,1312,821,0,0,0,807,25585,0,0,0,460,0,211,249,0,0,0
