date,Private depository institutions; total financial assets,Private depository institutions; vault cash; asset,Monetary authority; depository institution reserves, excluding FHLB deposits; liability,Private depository institutions; federal funds and security repurchase agreements; asset,Private depository institutions; debt securities; asset,Private depository institutions; open market paper; asset,Private depository institutions; Treasury securities; asset,Private depository institutions; agency- and GSE-backed securities; asset,Private depository institutions; municipal securities; asset,Private depository institutions; corporate and foreign bonds; asset,Private depository institutions; loans; asset,Private depository institutions; depository institution loans n.e.c.; asset,Private depository institutions; other loans and advances; asset,Private depository institutions; total mortgages; asset,Private depository institutions; consumer credit; asset,Private depository institutions; corporate equities; asset,Private depository institutions; mutual fund shares; asset,U.S.-chartered depository institutions; life insurance reserves; asset,U.S.-chartered depository institutions; U.S. direct investment abroad (market value); asset,Private depository institutions; miscellaneous assets,Private depository institutions; total liabilities,Private depository institutions; net interbank transactions; liability,Private depository institutions; checkable deposits; liability,Private depository institutions; total time and savings deposits; liability,Private depository institutions; federal funds and security repurchase agreements; liability,Private depository institutions; debt securities; liability,Private depository institutions; open market paper; liability,U.S.-chartered depository institutions; corporate and foreign bonds; liability,Private depository institutions; other loans and advances; liability,U.S.-chartered depository institutions; total taxes payable (net); liability,Foreign banking offices in the U.S.; foreign direct investment in U.S.: intercompany debt; liability (market value),Private depository institutions; miscellaneous liabilities,U.S.-chartered depository institutions; net transactions due to holding companies, excluding foreign bank affiliates; liability,Foreign banking offices in the U.S.; equity investment by funding corporations; liability,Private depository institutions; unidentified miscellaneous liabilities,Foreign banking offices in the U.S.; foreign direct investment in U.S.: equity; liability (market value),U.S.-chartered depository institutions; leases to households; asset (Call Report; consolidated),Private depository institutions; uninsured checkable and time and savings deposits; liability
1945:Q4,168240,1869,15915,3,113361,223,104606,886,4090,3556,31591,14454,154,14466,2517,167,0,0,23,5311,158067,625,102573,53501,18,156,156,0,205,338,36,615,0,0,615,140,0,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,161453,2046,16139,7,98934,329,89339,1046,4489,3731,41043,17656,227,18867,4293,181,0,0,26,3077,150230,-482,88733,60036,23,229,229,0,301,354,37,999,0,0,999,141,0,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,168338,2216,17899,88,94498,398,83598,1067,5383,4052,50681,21186,261,23195,6039,147,0,0,29,2780,156410,-282,90925,63631,25,264,264,0,432,244,37,1134,0,0,1134,144,0,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
