date,U.S.-chartered depository institutions, including IBFs; total financial assets,U.S.-chartered depository institutions; vault cash; asset,U.S.-chartered depository institutions; depository institution reserves; asset,U.S.-chartered depository institutions, including IBFs; federal funds and security repurchase agreements; asset,U.S.-chartered depository institutions; debt securities; asset,U.S.-chartered depository institutions; open market paper; asset,U.S.-chartered depository institutions; Treasury securities; asset,U.S.-chartered depository institutions; agency- and GSE-backed securities; asset,U.S.-chartered depository institutions; agency issued residential mortgage pass-through securities; asset,U.S.-chartered depository institutions; agency issued commercial mortgage pass-through securities; asset,U.S.-chartered depository institutions; agency issued residential CMOs and other structured MBS; asset,U.S.-chartered depository institutions; agency issued commercial CMOs and other structured MBS; asset,U.S.-chartered depository institutions; agency- and GSE-backed securities, excluding MBS and CMOs; asset,U.S.-chartered depository institutions; municipal securities; asset,U.S.-chartered depository institutions, including IBFs; corporate and foreign bonds; asset,U.S.-chartered depository institutions; private residential mortgage pass-through securities; asset,U.S.-chartered depository institutions; private commercial mortgage pass-through securities; asset,U.S.-chartered depository institutions; private residential CMOs and other structured MBS; asset,U.S.-chartered depository institutions; private commercial CMOs and other structured MBS; asset,U.S.-chartered depository institutions, including IBFs; corporate and foreign bonds, excluding private MBS and CMOs; asset,U.S.-chartered depository institutions; loans; asset,U.S.-chartered depository institutions, including IBFs; depository institution loans n.e.c.; asset,U.S.-chartered depository institutions; other loans and advances; asset,U.S.-chartered depository institutions; total mortgages; asset,U.S.-chartered depository institutions; consumer credit; asset,U.S.-chartered depository institutions; corporate equities; asset,U.S.-chartered depository institutions; mutual fund shares; asset,U.S.-chartered depository institutions; life insurance reserves; asset,U.S.-chartered depository institutions; U.S. direct investment abroad (market value); asset,U.S.-chartered depository institutions; total miscellaneous assets,U.S.-chartered depository institutions, including IBFs; total liabilities,U.S.-chartered depository institutions; net interbank transactions; liability,Monetary authority; Federal Reserve float; asset,Monetary authority; loans to U.S.-chartered depository institutions, including AMLF, MMLF, and PPPLF; asset,U.S.-chartered depository institutions; net interbank transactions with U.S. banking; liability,U.S.-chartered depository institutions, including IBFs; net interbank transactions with banks in foreign countries; liability,U.S.-chartered depository institutions; checkable deposits; liability,U.S.-chartered depository institutions; checkable deposits due to the federal government, including demand notes issued to U.S. Treasury and tax and loan accounts; liability,U.S.-chartered depository institutions; transaction deposits due to state and local governments (including mail float); liability,U.S.-chartered depository institutions; checkable deposits due to private domestic sectors; liability,U.S.-chartered depository institutions; checkable deposits due to rest of the world; liability,U.S.-chartered depository institutions, including IBFs; total time and savings deposits; liability,U.S.-chartered depository institutions, including IBFs; federal funds and security repurchase agreements; liability,U.S.-chartered depository institutions; debt securities; liability,U.S.-chartered depository institutions; open market paper; liability,U.S.-chartered depository institutions; corporate and foreign bonds; liability,U.S.-chartered depository institutions; FHLB advances and Sallie Mae loans; liability,U.S.-chartered depository institutions; total taxes payable (net); liability,U.S.-chartered depository institutions; total miscellaneous liabilities,U.S.-chartered depository institutions; net transactions due to holding companies, excluding foreign bank affiliates; liability,U.S.-chartered depository institutions, including IBFs; unidentified miscellaneous liabilities,U.S.-chartered depository institutions; leases to households; asset (Call Report; consolidated),U.S.-chartered depository institutions, including IBFs; total uninsured checkable and time and savings deposits; liability
1945:Q4,166943,1869,15915,2,112424,210,103721,886,8,0,0,0,878,4063,3544,0,0,0,0,3544,31333,14373,123,14336,2501,166,0,0,23,5211,156780,941,578,202,-119,280,101444,24510,5284,70261,1389,53074,13,125,125,0,205,338,640,0,640,0,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,160030,2046,16139,5,98066,304,88563,1046,11,0,0,0,1035,4458,3695,0,0,0,0,3695,40635,17506,182,18683,4264,180,0,0,26,2933,148882,-205,580,16,-599,-202,87683,2989,6159,77119,1416,59530,22,183,183,0,301,354,1014,0,1014,0,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,166792,2216,17899,86,93721,366,82927,1067,12,0,0,0,1055,5344,4017,0,0,0,0,4017,50112,20988,209,22926,5989,146,0,0,29,2583,154906,-134,535,34,-484,-219,89926,1343,6900,80459,1224,63064,23,211,211,0,432,244,1140,0,1140,0,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
