date,Foreign banking offices in the U.S., including IBFs; total financial assets,Foreign banking offices in the U.S.; vault cash; asset,Foreign banking offices in the U.S.; depository institution reserves; asset,Foreign banking offices in the U.S. including IBFs; federal funds and security repurchase agreements; asset,Foreign banking offices in the U.S.; debt securities; asset,Foreign banking offices in the U.S.; bankers' acceptances; asset,Foreign banking offices in the U.S.; Treasury securities; asset,Foreign banking offices in the U.S.; agency- and GSE-backed securities; asset,Foreign banking offices in the U.S.; municipal securities; asset,Foreign banking offices in the U.S., including IBFs; corporate and foreign bonds; asset,Foreign banking offices in the U.S.; loans; asset,Foreign banking offices in the U.S.; depository institution loans n.e.c.; asset,Foreign banking offices in the U.S.; customers' liability on acceptances; asset,Foreign banking offices in the U.S.; total mortgages; asset,Foreign banking offices in the U.S.; corporate equities; asset,Foreign banking offices in the U.S., including IBFs; unidentified miscellaneous assets,Foreign banking offices in the U.S., including IBFs; total liabilities,Foreign banking offices in the U.S.; net interbank transactions; liability,Foreign banking offices in the U.S.; net interbank transactions with banks in foreign countries; liability,Foreign banking offices in the U.S.; net interbank transactions with U.S. banking; liability,Foreign banking offices in the U.S.; checkable deposits; liability,Foreign banking offices in the U.S., including IBFs; total time and savings deposits; liability,Foreign banking offices in the U.S., including IBFs; federal funds and security repurchase agreements; liability,Foreign banking offices in the U.S.; open market paper; liability,Foreign banking offices in the U.S.; foreign direct investment in U.S.: intercompany debt; liability (market value),Foreign banking offices in the U.S.; total miscellaneous liabilities,Foreign banking offices in the U.S.; equity investment by funding corporations; liability,Foreign banking offices in the U.S., including IBFs; unidentified miscellaneous liability,Foreign banking offices in the U.S.; foreign direct investment in U.S.: equity; liability (market value),Foreign banking offices in the U.S., including IBFs; uninsured checkable and time and savings deposits; liability
1945:Q4,383,0,0,1,269,13,236,0,8,12,112,81,31,0,1,0,398,50,44,6,215,61,5,31,36,0,0,0,140,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,450,0,0,2,252,25,192,0,14,21,195,150,45,0,1,0,400,87,101,-14,152,77,1,46,37,0,0,0,141,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,504,0,0,2,251,32,168,0,20,31,250,198,52,0,1,0,492,205,220,-15,138,57,2,53,37,0,0,0,144,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
