date,Banks in U.S.-affiliated areas; total financial assets,Banks in U.S.-affiliated areas; depository institution reserves; asset,Banks in U.S.-affiliated areas; debt securities; asset,Banks in U.S.-affiliated areas; Treasury securities; asset,Banks in U.S.-affiliated areas; agency- and GSE-backed securities; asset,Banks in U.S.-affiliated areas; municipal securities; asset,Banks in U.S.-affiliated areas; corporate and foreign bonds; asset,Banks in U.S.-affiliated areas; loans; asset,Banks in U.S.-affiliated areas; depository institution loans n.e.c.; asset,Banks in U.S.-affiliated areas; one-to-four-family residential mortgages; asset,Banks in U.S.-affiliated areas; commercial mortgages; asset,Banks in U.S.-affiliated areas; unidentified miscellaneous assets,Banks in U.S.-affiliated areas; total liabilities,Banks in U.S.-affiliated areas; net interbank transactions; liability,Banks in U.S.-affiliated areas; checkable deposits; liability,Banks in U.S.-affiliated areas; total time and savings deposits; liability,Banks in U.S.-affiliated areas; unidentified miscellaneous liabilities,Banks in U.S.-affiliated areas; uninsured checkable and time and savings deposits; liability
1945:Q4,732,0,618,599,0,19,0,14,0,9,5,100,730,-182,914,0,-2,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,737,0,566,534,0,17,15,27,0,17,10,144,735,-161,898,0,-2,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,702,0,461,438,0,19,4,44,0,28,16,197,700,-159,861,0,-2,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,642,0,401,365,0,21,15,84,0,54,30,157,641,-150,792,0,-1,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,633,0,369,321,0,21,27,93,0,69,24,171,632,-142,775,0,-1,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,685,0,356,294,0,41,21,114,0,91,23,215,673,-137,822,0,-12,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,672,0,312,252,0,46,14,142,0,116,26,218,659,-174,846,0,-13,ND
1952:Q1,678,0,313,252,0,47,14,145,0,118,27,220,665,-176,854,0,-13,ND
1952:Q2,688,0,320,259,0,47,14,146,0,118,28,222,675,-175,863,0,-13,ND
1952:Q3,699,0,328,267,0,47,14,147,0,118,29,224,687,-173,872,0,-12,ND
1952:Q4,707,0,333,271,0,48,14,147,0,117,30,227,695,-170,877,0,-12,ND
1953:Q1,709,0,335,271,0,49,15,148,0,117,31,226,697,-170,879,0,-12,ND
1953:Q2,707,0,335,269,0,50,16,150,0,118,32,222,694,-171,878,0,-13,ND
1953:Q3,706,0,334,266,0,51,17,151,0,119,32,221,693,-172,878,0,-13,ND
1953:Q4,706,0,333,263,0,52,18,151,0,119,32,222,693,-173,879,0,-13,ND
1954:Q1,713,0,336,265,0,53,18,151,0,119,32,226,700,-173,886,0,-13,ND
