date,Credit unions; total financial assets,Credit unions; depository institution reserves; asset,Credit unions; federal funds and security repurchase agreements held by Corporate Credit Unions (net of liabilities before 2002:Q4); asset,Credit unions; debt securities; asset,Credit unions; commercial paper held by Corporate Credit Unions; asset,Credit unions; Treasury securities; asset,Credit unions; agency- and GSE-backed securities; asset,Credit unions; municipal securities; asset,Credit unions; corporate and foreign bonds; asset,Credit unions; loans; asset,Credit unions; depository institution loans n.e.c.; asset,Credit unions; one-to-four-family residential mortgages; asset,Credit unions; consumer credit; asset,Credit unions; mutual fund shares; asset,Credit unions; total miscellaneous assets,Credit unions; total liabilities,Credit unions; total net interbank transactions; liability,Credit unions; checkable deposits; liability,Credit unions; total time and savings deposits; liability,Credit unions; federal funds and security repurchase agreements held by Corporate Credit Unions; liability,Credit unions; FHLB advances; liability,Credit unions; unidentified miscellaneous liabilities,Credit unions; uninsured checkable and time and savings deposits; liability
1945:Q4,182,0,0,50,0,50,0,0,0,132,0,116,16,0,0,159,-184,0,366,0,0,-23,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,236,0,0,50,0,50,0,0,0,186,0,157,29,0,0,213,-203,0,429,0,0,-13,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,340,0,0,65,0,65,0,0,0,275,0,225,50,0,0,312,-194,0,510,0,0,-4,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,455,0,0,75,0,75,0,0,0,380,0,302,78,0,0,421,-192,0,603,0,0,10,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,586,0,0,82,0,82,0,0,0,504,0,345,159,0,0,544,-185,0,701,0,0,28,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,746,0,0,90,0,90,0,0,0,656,0,402,254,0,0,693,-210,0,850,0,0,53,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,812,0,0,100,0,100,0,0,0,712,0,405,307,0,0,749,-409,0,1075,0,0,83,0
1952:Q1,837,0,0,102,0,102,0,0,0,735,0,357,378,0,0,770,-415,0,1095,0,0,90,0
1952:Q2,926,0,0,103,0,103,0,0,0,823,0,404,419,0,0,856,-436,0,1193,0,0,99,0
1952:Q3,999,0,0,104,0,104,0,0,0,895,0,360,535,0,0,926,-441,0,1258,0,0,109,0
1952:Q4,1056,0,0,107,0,106,1,0,0,949,0,390,559,0,0,979,-491,0,1351,0,0,119,0
1953:Q1,1123,0,0,108,0,107,1,0,0,1015,0,395,620,0,0,1039,-474,0,1387,0,0,126,0
1953:Q2,1228,0,0,109,0,108,1,0,0,1119,0,428,691,0,0,1139,-521,0,1523,0,0,137,0
1953:Q3,1318,0,0,110,0,109,1,0,0,1208,0,386,822,0,0,1222,-521,0,1595,0,0,148,0
1953:Q4,1373,0,0,113,0,112,1,0,0,1260,0,383,877,0,0,1270,-581,0,1688,0,0,163,0
1954:Q1,1402,0,0,115,0,114,1,0,0,1287,0,361,926,0,0,1295,-610,0,1724,0,0,181,0
1954:Q2,1492,0,0,117,0,116,1,0,0,1375,0,456,919,0,0,1382,-648,0,1830,0,0,200,0
1954:Q3,1568,0,0,119,0,118,1,0,0,1449,0,416,1033,0,0,1454,-690,0,1926,0,0,218,0
1954:Q4,1611,0,0,121,0,120,1,0,0,1490,0,407,1083,0,0,1494,-782,0,2037,0,0,239,0
1955:Q1,1665,0,0,124,0,123,1,0,0,1541,0,505,1036,0,0,1538,-781,0,2066,0,0,253,0
1955:Q2,1793,0,0,128,0,127,1,0,0,1665,0,543,1122,0,0,1658,-811,0,2198,0,0,271,0
1955:Q3,1914,0,0,132,0,131,1,0,0,1782,0,526,1256,0,0,1769,-839,0,2318,0,0,290,0
1955:Q4,1988,0,0,136,0,135,1,0,0,1852,0,524,1328,0,0,1833,-924,0,2446,0,0,311,0
1956:Q1,2048,0,0,140,0,139,1,0,0,1908,0,522,1386,0,0,1885,-993,0,2544,0,0,334,0
1956:Q2,2177,0,0,144,0,143,1,0,0,2033,0,649,1384,0,0,2005,-1009,0,2657,0,0,357,0
1956:Q3,2298,0,0,148,0,147,1,0,0,2150,0,596,1554,0,0,2116,-1007,0,2742,0,0,381,0
1956:Q4,2395,0,0,151,0,150,1,0,0,2244,0,593,1651,0,0,2204,-1117,0,2914,0,0,407,0
1957:Q1,2465,0,0,155,0,154,1,0,0,2310,0,678,1632,0,0,2264,-1178,0,3009,0,0,433,0
1957:Q2,2621,0,0,159,0,158,1,0,0,2462,0,686,1776,0,0,2410,-1170,0,3119,0,0,461,0
1957:Q3,2773,0,0,163,0,162,1,0,0,2610,0,651,1959,0,0,2550,-1145,0,3204,0,0,491,0
1957:Q4,2860,0,0,166,0,165,1,0,0,2694,0,592,2102,0,0,2627,-1281,0,3381,0,0,527,0
1958:Q1,2852,0,0,170,0,169,1,0,0,2682,0,666,2016,0,0,2612,-1433,0,3480,0,0,565,0
1958:Q2,2961,0,0,174,0,173,1,0,0,2787,0,631,2156,0,0,2713,-1480,0,3592,0,0,601,0
1958:Q3,3053,0,0,178,0,177,1,0,0,2875,0,665,2210,0,0,2796,-1519,0,3679,0,0,636,0
1958:Q4,3142,0,0,181,0,180,1,0,0,2961,0,619,2342,0,0,2878,-1665,0,3869,0,0,674,0
1959:Q1,3211,0,0,184,0,183,1,0,0,3027,0,723,2304,0,0,2933,-1756,9,3976,0,0,704,0
1959:Q2,3421,0,0,186,0,185,1,0,0,3235,0,730,2505,0,0,3129,-1721,10,4106,0,0,734,0
1959:Q3,3650,0,0,188,0,187,1,0,0,3462,0,780,2682,0,0,3343,-1641,10,4210,0,0,764,0
1959:Q4,3816,0,0,191,0,190,1,0,0,3625,0,752,2873,0,0,3494,-1745,10,4431,0,0,798,0
