date,Life insurance companies; total financial assets,Life insurance companies; checkable deposits and currency; asset,Life insurance companies; money market fund shares; asset,Life insurance companies, general accounts; security repurchase agreements, including those held by U.S. captive reinsurers; asset,Life insurance companies; debt securities; asset,Life insurance companies; commercial paper; asset,Life insurance companies; Treasury securities; asset,Life insurance companies; agency- and GSE-backed securities; asset,Life insurance companies; municipal securities; asset,Life insurance companies; corporate and foreign bonds; asset,Life insurance companies; loans; asset,Life insurance companies; other loans and advances; asset,Life insurance companies; total mortgages; asset,Life insurance companies; corporate equities; asset,Life insurance companies; mutual fund shares; asset,Life insurance companies; trade receivables from insurers; liability,Life insurance companies; life insurance reserve credit from reinsurers; asset,Life insurance companies; pension entitlements reserve credit from reinsurers; asset,Life insurance companies, general accounts; U.S. direct investment abroad (market value); asset,Life insurance companies; total miscellaneous assets,Life insurance companies, general accounts; equity in FHLB; asset,Life insurance companies, general accounts; deferred and unpaid life insurance premiums; asset,Life insurance companies; accident and health reserve credit from reinsurers; asset,Life insurance companies; unidentified miscellaneous assets,Life insurance companies; total liabilities,Life insurance companies, general accounts; security repurchase agreements; liability,Life insurance companies, general accounts; FHLB advances; liability,Life insurance companies; trade payables to insurers; liability,Life insurance companies; life insurance reserves; liability,Life insurance companies; pension entitlements, including reserve credit from reinsurers and excluding unallocated insurance contracts; liability,Life insurance companies, general accounts; total taxes payable; liability,Life insurance companies, general accounts; foreign direct investment in U.S.: intercompany debt; liability (market value),Life insurance companies; total miscellaneous liabilities,Life insurance companies; net transactions due to holding companies; liability,Issuers of asset-backed securities; funding agreements backing securities; asset,Life insurance companies; insurance reserves, excluding life insurance reserves and pension entitlements; liability,Pension funds; unallocated insurance contracts; asset,Life insurance companies; unidentified miscellaneous liabilities,Life insurance companies, general accounts; foreign direct investment in U.S.: equity; liability (market value),Life insurance companies, general accounts; securities lending; liability,Life insurance companies; direct reserve credit; liability,Life insurance companies; reserve credit reinsured to U.S. reinsurers; liability,Life insurance companies; reserve credit reinsured to non-U.S. reinsurers; asset,Life insurance companies; reserve credit reinsured from non-U.S. reinsurers; liability
1945:Q4,43946,780,0,0,32611,0,20589,0,722,11300,8598,1962,6636,999,0,0,0,0,97,861,0,638,0,223,41555,0,0,0,35967,2700,26,57,2805,0,0,1385,0,1420,218,0,38757,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,47460,774,0,0,35354,0,21635,0,614,13105,9049,1894,7155,1249,0,0,0,0,101,933,0,703,0,230,44886,0,0,0,38602,3100,22,57,3105,0,0,1601,0,1504,219,0,41812,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,50900,1020,0,0,36774,0,20040,0,609,16125,10612,1937,8675,1390,0,0,0,0,105,999,0,784,0,215,48306,0,0,0,41147,3600,2,57,3500,0,0,1717,0,1783,220,0,44882,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
