date,Life insurance companies, general accounts; total financial assets,Life insurance companies, general accounts; checkable deposits and currency, including those held by U.S. captive reinsurers; asset,Life insurance companies, general accounts; money market fund shares, including those held by U.S. captive reinsurers; asset,Life insurance companies, general accounts; security repurchase agreements, including those held by U.S. captive reinsurers; asset,Life insurance companies, general accounts; debt securities; asset,Life insurance companies, general accounts; commercial paper, including those held by U.S. captive reinsurers; asset,Life insurance companies, general accounts; Treasury securities, including those held by U.S. captive reinsurers; asset,Life insurance companies, general accounts; agency- and GSE-backed securities, including those held by U.S. captive reinsurers; asset,Life insurance companies, general accounts; municipal securities, including those held by U.S. captive reinsurers; asset,Life insurance companies, general accounts; corporate and foreign bonds; asset,Life insurance companies, general accounts; loans; asset,Life insurance companies, general accounts; other loans and advances; asset,Life insurance companies, general accounts; total mortgages, including those held by U.S. captive reinsurers; asset,Life insurance companies, general accounts; corporate equities, including those held by U.S. captive reinsurers; asset,Life insurance companies, general accounts; mutual fund shares, including those held by U.S. captive reinsurers; asset,Life insurance companies, general accounts; trade receivables from insurers; liability,Life insurance companies, general accounts; life insurance reserve credit from reinsurers; asset,Life insurance companies, general accounts; pension entitlements reserve credit from reinsurers; asset,Life insurance companies, general accounts; U.S. direct investment abroad (market value); asset,Life insurance companies, general accounts; total miscellaneous assets,Life insurance companies, general accounts; total liabilities,Life insurance companies, general accounts; security repurchase agreements; liability,Life insurance companies, general accounts; FHLB advances; liability,Life insurance companies, general accounts; trade payables to insurers; liability,Life insurance companies, general accounts; life insurance reserves, including reserve credit from reinsurers; liability,Life insurance companies, general accounts; pension entitlements, including reserve credit from reinsurers and excluding unallocated insurance contracts; liability,Life insurance companies, general accounts; total taxes payable; liability,Life insurance companies, general accounts; foreign direct investment in U.S.: intercompany debt; liability (market value),Life insurance companies, general accounts; total miscellaneous liabilities,Life insurance companies, general accounts; foreign direct investment in U.S.: equity; liability (market value)
1945:Q4,43946,780,0,0,32611,0,20589,0,722,11300,8598,1962,6636,999,0,0,0,0,97,861,41555,0,0,0,35967,2700,26,57,2805,218
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,47460,774,0,0,35354,0,21635,0,614,13105,9049,1894,7155,1249,0,0,0,0,101,933,44886,0,0,0,38602,3100,22,57,3105,219
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,50900,1020,0,0,36774,0,20040,0,609,16125,10612,1937,8675,1390,0,0,0,0,105,999,48306,0,0,0,41147,3600,2,57,3500,220
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,54520,915,0,0,38042,0,16812,0,872,20358,12890,2057,10833,1428,0,0,0,0,109,1136,51802,0,0,0,43777,4200,2,58,3765,221
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
