date,Private pension funds; total financial assets,Private pension funds; checkable deposits and currency; asset,Private pension funds; total time and savings deposits; asset,Private pension funds; money market fund shares; asset,Private pension funds; security repurchase agreements; asset,Private pension funds; debt securities; asset,Private pension funds; total commercial paper; asset,Private pension funds; Treasury securities; asset,Private pension funds; agency- and GSE-backed securities; asset,Private pension funds; corporate and foreign bonds; asset,Private pension funds; total mortgages; asset,Private pension funds, including 403(b) plans; corporate equities; asset,Private pension funds; mutual fund shares; asset,Private pension funds; total miscellaneous assets,Private pension funds; unallocated insurance contracts; asset,Private pension funds; pension fund contributions receivable; asset,Private defined benefit pension funds; claims of pension fund on sponsor; asset,Private pension funds; unidentified miscellaneous assets,Private pension funds; total liabilities,Private defined benefit pension funds; pension entitlements (total liabilities),Private defined benefit pension funds; total funded assets,Private defined benefit pension funds; claims of pension fund on sponsor; asset,Private defined benefit pension funds; total financial assets,Private defined contribution pension funds; total financial assets
1945:Q4,20681,81,0,0,0,3851,0,2051,0,1800,0,0,0,16749,0,0,16879,-130,20697,19902,3023,16879,19886,795
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,22060,101,0,0,0,4100,0,2100,0,2000,22,0,0,17837,0,0,18059,-222,22077,21285,3226,18059,21268,792
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,23573,131,0,0,0,4351,0,2151,0,2200,42,0,0,19049,0,0,19071,-22,23594,22629,3558,19071,22608,965
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,24929,161,0,0,0,4600,0,2200,0,2400,62,0,0,20106,0,0,19930,176,24957,23821,3891,19930,23793,1136
