date,Private defined benefit pension funds; total financial assets,Private defined benefit pension funds; checkable deposits and currency; asset,Private defined benefit pension funds; total time and savings deposits; asset,Private defined benefit pension funds; money market fund shares; asset,Private defined benefit pension funds; security repurchase agreements; asset,Private defined benefit pension funds; debt securities; asset,Private defined benefit pension funds; commercial paper; asset,Private defined benefit pension funds; Treasury securities; asset,Private defined benefit pension funds; agency- and GSE-backed securities; asset,Private defined benefit pension funds; corporate and foreign bonds; asset,Private defined benefit pension funds; total mortgages; asset,Private defined benefit pension funds; corporate equities; asset,Private defined benefit pension funds; mutual fund shares; asset,Private defined benefit pension funds; total miscellaneous assets,Private defined benefit pension funds; unallocated insurance contracts; asset,Private defined benefit pension funds; pension fund contributions receivable; asset,Private defined benefit pension funds; claims of pension fund on sponsor; asset,Private defined benefit pension funds; unidentified miscellaneous assets,Private defined benefit pension funds; pension entitlements (total liabilities)
1945:Q4,19886,81,0,0,0,2978,0,1538,0,1440,0,0,0,16827,0,0,16879,-52,19902
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,21268,101,0,0,0,3175,0,1575,0,1600,22,0,0,17970,0,0,18059,-89,21285
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,22608,131,0,0,0,3373,0,1613,0,1760,42,0,0,19062,0,0,19071,-9,22629
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,23793,161,0,0,0,3570,0,1650,0,1920,62,0,0,20000,0,0,19930,70,23821
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,24913,204,0,0,0,3805,0,1725,0,2080,82,0,0,20822,0,0,20697,125,24944
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,25788,264,0,0,0,4021,0,1759,0,2262,102,0,0,21401,0,0,21237,164,25830
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,30170,329,0,0,0,4620,0,1834,0,2786,120,0,0,25101,0,0,24925,176,30220
1952:Q1,30892,330,195,0,83,4812,0,1865,0,2947,126,1156,0,24190,0,139,23810,241,30942
1952:Q2,31895,321,202,0,86,5007,0,1862,0,3145,133,1250,0,24896,0,145,24499,252,31949
1952:Q3,33100,312,210,0,90,5229,0,1851,0,3378,141,1282,0,25836,0,151,25422,263,33150
1952:Q4,34387,310,218,0,93,5497,0,1859,0,3638,149,1474,0,26646,0,160,26217,269,34445
1953:Q1,35675,319,226,0,94,5775,0,1885,0,3890,159,1533,0,27569,0,167,27129,273,35735
1953:Q2,36944,337,235,0,96,6045,0,1925,0,4120,170,1634,0,28427,0,175,27979,273,37010
1953:Q3,38161,356,244,0,96,6292,0,1965,0,4327,181,1735,0,29257,0,182,28801,274,38234
1953:Q4,39303,366,253,0,97,6509,0,1977,14,4518,192,1914,0,29972,0,191,29507,274,39374
1954:Q1,40333,368,263,0,99,6730,0,1989,13,4728,203,2084,0,30586,0,199,30110,277,40407
1954:Q2,41310,363,273,0,101,6964,0,1983,13,4968,213,2148,0,31248,0,205,30763,280,41386
1954:Q3,42260,358,284,0,103,7230,0,1985,7,5238,224,2257,0,31804,0,213,31307,284,42340
1954:Q4,43202,357,295,0,106,7538,0,2006,6,5526,238,2523,0,32145,0,224,31629,292,43293
1955:Q1,44145,367,306,0,111,7834,0,2051,7,5776,255,2841,0,32431,0,237,31889,305,44236
1955:Q2,45097,385,318,0,118,8119,0,2129,9,5981,274,3615,0,32268,0,259,31690,319,45196
1955:Q3,46036,404,330,0,125,8355,0,2202,10,6143,296,4357,0,32169,0,280,31552,337,46150
1955:Q4,46947,415,343,0,132,8526,0,2229,15,6282,321,4868,0,32342,0,295,31689,358,47074
1956:Q1,47852,419,356,0,140,8723,0,2212,28,6483,349,5454,0,32411,0,311,31719,381,47984
1956:Q2,48817,417,369,0,150,8965,0,2171,28,6766,381,5391,0,33144,0,317,32416,411,48953
1956:Q3,49953,414,384,0,158,9284,0,2113,34,7137,415,5370,0,33928,0,324,33164,440,50095
1956:Q4,51331,415,399,0,166,9680,0,2063,37,7580,449,5652,0,34570,0,339,33770,461,51478
1957:Q1,52911,424,414,0,172,10077,0,2008,51,8018,482,5611,0,35731,0,348,34903,480,53063
1957:Q2,54655,439,430,0,177,10428,0,1953,56,8419,514,6358,0,36309,0,370,35450,489,54811
1957:Q3,56402,454,446,0,182,10735,0,1901,64,8770,547,6110,0,37928,0,373,37051,504,56562
1957:Q4,57972,466,463,0,186,11004,0,1846,88,9070,583,5991,0,39279,0,378,38382,519,58136
1958:Q1,59299,475,481,0,191,11281,0,1808,111,9362,619,6448,0,39804,0,393,38882,529,59445
1958:Q2,60428,482,500,0,194,11569,0,1824,87,9658,655,7185,0,39843,0,414,38895,534,60580
1958:Q3,61499,488,519,0,198,11876,0,1823,91,9962,695,8147,0,39576,0,440,38598,538,61674
1958:Q4,62673,496,539,0,204,12203,0,1838,91,10274,742,9249,0,39240,0,469,38225,546,62869
1959:Q1,64027,505,560,0,211,12409,0,1857,107,10445,796,9710,0,39836,0,484,38788,564,64203
1959:Q2,65494,516,581,0,218,12720,0,1892,134,10694,856,10622,0,39981,0,510,38889,582,65698
1959:Q3,67023,527,603,0,227,13002,0,1940,147,10915,921,10738,0,41005,0,520,39878,607,67258
1959:Q4,68485,535,626,0,235,13382,0,1964,150,11268,989,11620,0,41098,0,547,39923,628,68742
1960:Q1,69771,538,650,0,245,13651,0,1903,210,11538,1063,11302,0,42322,0,549,41112,661,70060
1960:Q2,70913,536,676,0,255,13877,0,1843,238,11796,1145,12094,0,42330,0,572,41068,690,71205
1960:Q3,71916,536,702,0,266,14162,0,1806,237,12119,1227,11682,0,43341,0,573,42041,727,72211
1960:Q4,72808,546,728,0,275,14579,0,1803,217,12559,1301,13236,0,42143,0,613,40785,745,73105
1961:Q1,73628,568,756,0,284,14683,0,1805,211,12667,1369,15266,0,40702,0,657,39287,758,73890
1961:Q2,74291,601,785,0,291,15001,0,1822,195,12984,1430,15677,0,40506,0,674,39055,777,74593
1961:Q3,74852,635,816,0,298,15218,0,1823,204,13191,1491,16528,0,39866,0,697,38375,794,75186
1961:Q4,75280,660,847,0,307,15551,0,1819,226,13506,1560,18285,0,38070,0,740,36522,808,75642
1962:Q1,75602,677,880,0,321,15769,0,1816,260,13693,1634,18293,32,37996,0,749,36393,854,75966
1962:Q2,75840,687,913,0,338,16127,0,1844,276,14007,1713,14276,86,41700,0,686,40074,940,76210
1962:Q3,76068,695,949,0,355,16285,0,1893,274,14118,1794,15401,140,40449,0,716,38741,992,76442
1962:Q4,76357,707,985,0,369,16684,0,1950,253,14481,1876,17508,172,38056,0,768,36266,1022,76731
1963:Q1,76705,721,1023,0,380,16986,0,1971,260,14755,1957,18807,184,36647,0,803,34800,1044,77112
1963:Q2,77213,735,1062,0,385,17331,0,1991,262,15078,2035,19959,177,35529,0,834,33642,1053,77613
1963:Q3,77807,752,1103,0,393,17688,0,1980,294,15414,2119,21016,169,34567,0,864,32635,1068,78226
1963:Q4,78489,773,1145,0,409,17946,0,2009,289,15648,2220,22136,176,33684,0,895,31675,1114,78926
1964:Q1,79245,802,1189,0,435,18293,0,2154,301,15838,2357,23752,201,32216,0,940,30087,1189,79694
1964:Q2,80063,850,1235,0,471,18601,0,1999,291,16311,2506,24909,241,31250,0,978,28970,1302,80540
1964:Q3,80996,857,1282,0,507,18835,0,1996,283,16556,2640,26110,283,30482,0,1014,28048,1420,81487
1964:Q4,82038,892,1331,0,537,19373,0,2036,372,16965,2778,26964,312,29851,0,1049,27290,1512,82551
1965:Q1,83172,752,1383,0,560,19798,0,2182,315,17301,2919,27962,331,29467,0,1081,26804,1582,83730
1965:Q2,84518,728,1436,0,577,20014,0,2032,315,17667,3175,27656,341,30591,0,1087,27862,1642,85094
