date,Federal government retirement funds; total financial assets,Federal government retirement funds; checkable deposits and currency held by National Railroad Retirement Investment Trust; asset,Federal government retirement funds; debt securities; asset,Federal government retirement funds; Treasury securities; asset,Federal government retirement funds; agency- and GSE-backed securities; asset,Federal government retirement funds; municipal securities held by National Railroad Retirement Investment Trust; asset,Federal government retirement funds; corporate and foreign bonds; asset,Federal government; other loans and advances due to federal government defined contribution retirement funds; liability,Federal government retirement funds; corporate equities; asset,Federal government defined benefit retirement funds; claims of pension funds on sponsor; asset,Federal government retirement funds; total financial assets,Federal government defined benefit retirement funds; total financial assets,Federal government defined benefit retirement funds; total funded assets,Federal government defined benefit retirement funds; claims of pension funds on sponsor; asset,Federal government defined benefit retirement funds; total financial assets,Federal government defined contribution retirement funds; total financial assets
1945:Q4,24792,0,2903,2903,0,0,0,0,0,21889,24792,24792,2903,21889,24792,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,29054,0,3273,3273,0,0,0,0,0,25781,29054,29054,3273,25781,29054,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,32968,0,4096,4096,0,0,0,0,0,28872,32968,32968,4096,28872,32968,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,36953,0,4919,4919,0,0,0,0,0,32034,36953,36953,4919,32034,36953,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,41313,0,5959,5959,0,0,0,0,0,35354,41313,41313,5959,35354,41313,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,45852,0,6743,6743,0,0,0,0,0,39109,45852,45852,6743,39109,45852,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,51985,0,7453,7453,0,0,0,0,0,44532,51985,51985,7453,44532,51985,0
1952:Q1,53772,0,7552,7552,0,0,0,0,0,46220,53772,53772,7552,46220,53772,0
1952:Q2,55699,0,7938,7938,0,0,0,0,0,47761,55699,55699,7938,47761,55699,0
1952:Q3,57581,0,8363,8363,0,0,0,0,0,49218,57581,57581,8363,49218,57581,0
1952:Q4,59447,0,8411,8411,0,0,0,0,0,51036,59447,59447,8411,51036,59447,0
1953:Q1,61296,0,8471,8471,0,0,0,0,0,52825,61296,61296,8471,52825,61296,0
1953:Q2,63249,0,8804,8804,0,0,0,0,0,54445,63249,63249,8804,54445,63249,0
1953:Q3,65165,0,8902,8902,0,0,0,0,0,56263,65165,65165,8902,56263,65165,0
