date,Federal government defined benefit retirement funds; total financial assets,Federal government retirement funds; checkable deposits and currency held by National Railroad Retirement Investment Trust; asset,Federal government defined benefit retirement funds; debt securities; asset,Federal government defined benefit retirement funds; Treasury securities; asset,Federal government retirement funds; agency- and GSE-backed securities held by National Railroad Retirement Investment Trust; asset,Federal government retirement funds; municipal securities held by National Railroad Retirement Investment Trust; asset,Federal government retirement funds; corporate and foreign bonds held by National Railroad Retirement Investment Trust; asset,Federal government retirement funds; corporate equities held by National Railroad Retirement Investment Trust; asset,Federal government defined benefit retirement funds; claims of pension funds on sponsor; asset,Federal government defined benefit retirement funds; pension entitlements (total liabilities)
1945:Q4,24792,0,2903,2903,0,0,0,0,21889,24792
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,29054,0,3273,3273,0,0,0,0,25781,29054
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,32968,0,4096,4096,0,0,0,0,28872,32968
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,36953,0,4919,4919,0,0,0,0,32034,36953
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,41313,0,5959,5959,0,0,0,0,35354,41313
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,45852,0,6743,6743,0,0,0,0,39109,45852
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,51985,0,7453,7453,0,0,0,0,44532,51985
1952:Q1,53772,0,7552,7552,0,0,0,0,46220,53772
1952:Q2,55699,0,7938,7938,0,0,0,0,47761,55699
1952:Q3,57581,0,8363,8363,0,0,0,0,49218,57581
1952:Q4,59447,0,8411,8411,0,0,0,0,51036,59447
1953:Q1,61296,0,8471,8471,0,0,0,0,52825,61296
1953:Q2,63249,0,8804,8804,0,0,0,0,54445,63249
1953:Q3,65165,0,8902,8902,0,0,0,0,56263,65165
1953:Q4,67065,0,8941,8941,0,0,0,0,58124,67065
1954:Q1,68903,0,8961,8961,0,0,0,0,59942,68903
1954:Q2,70860,0,9273,9273,0,0,0,0,61587,70860
1954:Q3,72723,0,9281,9281,0,0,0,0,63442,72723
1954:Q4,74676,0,9359,9359,0,0,0,0,65317,74676
1955:Q1,76552,0,9347,9347,0,0,0,0,67205,76552
1955:Q2,78581,0,9702,9702,0,0,0,0,68879,78581
1955:Q3,80558,0,9975,9975,0,0,0,0,70583,80558
1955:Q4,82552,0,10048,10048,0,0,0,0,72504,82552
1956:Q1,84494,0,10061,10061,0,0,0,0,74433,84494
1956:Q2,86570,0,10377,10377,0,0,0,0,76193,86570
1956:Q3,88621,0,10918,10918,0,0,0,0,77703,88621
1956:Q4,90735,0,10911,10911,0,0,0,0,79824,90735
1957:Q1,94782,0,10924,10924,0,0,0,0,83858,94782
1957:Q2,99010,0,11224,11224,0,0,0,0,87786,99010
1957:Q3,103231,0,11270,11270,0,0,0,0,91961,103231
1957:Q4,107481,0,11346,11346,0,0,0,0,96135,107481
1958:Q1,109845,0,11511,11511,0,0,0,0,98334,109845
1958:Q2,112319,0,11859,11859,0,0,0,0,100460,112319
1958:Q3,114872,0,12170,12170,0,0,0,0,102702,114872
1958:Q4,117327,0,12280,12280,0,0,0,0,105047,117327
1959:Q1,119743,0,12413,12413,0,0,0,0,107330,119743
1959:Q2,122302,0,12798,12798,0,0,0,0,109504,122302
1959:Q3,125053,0,13121,13121,0,0,0,0,111932,125053
1959:Q4,127557,0,13164,13164,0,0,0,0,114393,127557
1960:Q1,130075,0,13251,13251,0,0,0,0,116824,130075
1960:Q2,133034,0,13936,13936,0,0,0,0,119098,133034
1960:Q3,135643,0,14038,14038,0,0,0,0,121605,135643
1960:Q4,138259,0,14090,14090,0,0,0,0,124169,138259
1961:Q1,140830,0,14141,14141,0,0,0,0,126689,140830
1961:Q2,143924,0,14927,14927,0,0,0,0,128997,143924
1961:Q3,146683,0,14996,14996,0,0,0,0,131687,146683
1961:Q4,149440,0,15006,15006,0,0,0,0,134434,149440
1962:Q1,152211,0,15054,15054,0,0,0,0,137157,152211
1962:Q2,155537,0,15908,15908,0,0,0,0,139629,155537
1962:Q3,158445,0,15923,15923,0,0,0,0,142522,158445
1962:Q4,161427,0,15999,15999,0,0,0,0,145428,161427
1963:Q1,164353,0,16048,16048,0,0,0,0,148305,164353
1963:Q2,167880,0,17000,17000,0,0,0,0,150880,167880
1963:Q3,170961,0,17073,17073,0,0,0,0,153888,170961
1963:Q4,174119,0,17160,17160,0,0,0,0,156959,174119
1964:Q1,177258,0,17268,17268,0,0,0,0,159990,177258
1964:Q2,180953,0,18179,18179,0,0,0,0,162774,180953
1964:Q3,184261,0,18348,18348,0,0,0,0,165913,184261
1964:Q4,187594,0,18409,18409,0,0,0,0,169185,187594
1965:Q1,190875,0,18480,18480,0,0,0,0,172395,190875
1965:Q2,194832,0,19550,19550,0,0,0,0,175282,194832
1965:Q3,198349,0,19728,19728,0,0,0,0,178621,198349
1965:Q4,201910,0,19724,19724,0,0,0,0,182186,201910
1966:Q1,205494,0,19747,19747,0,0,0,0,185747,205494
1966:Q2,209811,0,20835,20835,0,0,0,0,188976,209811
1966:Q3,213650,0,20935,20935,0,0,0,0,192715,213650
1966:Q4,217602,0,20977,20977,0,0,0,0,196625,217602
1967:Q1,221503,0,20925,20925,0,0,0,0,200578,221503
1967:Q2,226177,0,22043,22043,0,0,0,0,204134,226177
1967:Q3,230282,0,22074,22074,0,0,0,0,208208,230282
1967:Q4,234517,0,22292,22292,0,0,0,0,212225,234517
1968:Q1,238726,0,22334,22334,0,0,0,0,216392,238726
1968:Q2,243709,0,23603,23603,0,0,0,0,220106,243709
1968:Q3,248102,0,23594,23594,0,0,0,0,224508,248102
1968:Q4,252645,0,23628,23628,0,0,0,0,229017,252645
1969:Q1,256898,0,23755,23755,0,0,0,0,233143,256898
1969:Q2,261949,0,24871,24871,0,0,0,0,237078,261949
1969:Q3,266793,0,25176,25176,0,0,0,0,241617,266793
1969:Q4,271799,0,25147,25147,0,0,0,0,246652,271799
1970:Q1,279333,0,25185,25185,0,0,0,0,254148,279333
1970:Q2,287979,0,26910,26910,0,0,0,0,261069,287979
1970:Q3,296227,0,27046,27046,0,0,0,0,269181,296227
1970:Q4,304735,0,27528,27528,0,0,0,0,277207,304735
1971:Q1,311309,0,27726,27726,0,0,0,0,283583,311309
1971:Q2,318789,0,29583,29583,0,0,0,0,289206,318789
1971:Q3,325636,0,29814,29814,0,0,0,0,295822,325636
1971:Q4,332737,0,30371,30371,0,0,0,0,302366,332737
1972:Q1,339809,0,30289,30289,0,0,0,0,309520,339809
1972:Q2,347821,0,32423,32423,0,0,0,0,315398,347821
1972:Q3,355113,0,32693,32693,0,0,0,0,322420,355113
1972:Q4,362527,0,33364,33364,0,0,0,0,329163,362527
1973:Q1,369810,0,33182,33182,0,0,0,0,336628,369810
1973:Q2,378135,0,35497,35497,0,0,0,0,342638,378135
1973:Q3,385632,0,35193,35193,0,0,0,0,350439,385632
1973:Q4,393345,0,35499,35499,0,0,0,0,357846,393345
1974:Q1,400889,0,35113,35113,0,0,0,0,365776,400889
1974:Q2,409541,0,38912,38912,0,0,0,0,370629,409541
1974:Q3,417126,0,38126,38126,0,0,0,0,379000,417126
1974:Q4,424887,0,38238,38238,0,0,0,0,386649,424887
1975:Q1,432528,0,37947,37947,0,0,0,0,394581,432528
1975:Q2,441223,0,43043,43043,0,0,0,0,398180,441223
1975:Q3,448817,0,41962,41962,0,0,0,0,406855,448817
1975:Q4,456667,0,42061,42061,0,0,0,0,414606,456667
1976:Q1,464568,0,41323,41323,0,0,0,0,423245,464568
1976:Q2,473615,0,47681,47681,0,0,0,0,425934,473615
1976:Q3,481360,0,46312,46312,0,0,0,0,435048,481360
1976:Q4,489683,0,46657,46657,0,0,0,0,443026,489683
1977:Q1,497322,0,45466,45466,0,0,0,0,451856,497322
1977:Q2,506560,0,46928,46928,0,0,0,0,459632,506560
1977:Q3,514904,0,53102,53102,0,0,0,0,461802,514904
1977:Q4,523876,0,53232,53232,0,0,0,0,470644,523876
1978:Q1,533347,0,51966,51966,0,0,0,0,481381,533347
1978:Q2,544601,0,53425,53425,0,0,0,0,491176,544601
1978:Q3,554635,0,59653,59653,0,0,0,0,494982,554635
1978:Q4,565382,0,60259,60259,0,0,0,0,505123,565382
1979:Q1,575443,0,58551,58551,0,0,0,0,516892,575443
1979:Q2,587006,0,60046,60046,0,0,0,0,526960,587006
1979:Q3,597337,0,67607,67607,0,0,0,0,529730,597337
1979:Q4,608234,0,68259,68259,0,0,0,0,539975,608234
1980:Q1,618511,0,66161,66161,0,0,0,0,552350,618511
1980:Q2,630091,0,67358,67358,0,0,0,0,562733,630091
1980:Q3,640576,0,76924,76924,0,0,0,0,563652,640576
1980:Q4,651608,0,77183,77183,0,0,0,0,574425,651608
1981:Q1,662031,0,74439,74439,0,0,0,0,587592,662031
1981:Q2,674089,0,75653,75653,0,0,0,0,598436,674089
1981:Q3,684952,0,86895,86895,0,0,0,0,598057,684952
1981:Q4,696166,0,87179,87179,0,0,0,0,608987,696166
1982:Q1,707401,0,84313,84313,0,0,0,0,623088,707401
1982:Q2,720349,0,86345,86345,0,0,0,0,634004,720349
1982:Q3,732010,0,98516,98516,0,0,0,0,633494,732010
1982:Q4,743577,0,99245,99245,0,0,0,0,644332,743577
1983:Q1,755319,0,96374,96374,0,0,0,0,658945,755319
1983:Q2,768276,0,98735,98735,0,0,0,0,669541,768276
1983:Q3,780230,0,111500,111500,0,0,0,0,668730,780230
1983:Q4,793574,0,113787,113787,0,0,0,0,679787,793574
1984:Q1,807256,0,111640,111640,0,0,0,0,695616,807256
1984:Q2,822063,0,115547,115547,0,0,0,0,706516,822063
1984:Q3,835850,0,128964,128964,0,0,0,0,706886,835850
1984:Q4,849675,0,132262,132262,0,0,0,0,717413,849675
1985:Q1,864772,0,140863,140863,0,0,0,0,723909,864772
1985:Q2,879295,0,144839,144839,0,0,0,0,734456,879295
1985:Q3,894167,0,158741,158741,0,0,0,0,735426,894167
1985:Q4,909235,0,172130,172130,0,0,0,0,737105,909235
1986:Q1,927082,0,169702,169702,0,0,0,0,757380,927082
1986:Q2,944684,0,175169,175169,0,0,0,0,769515,944684
1986:Q3,962433,0,186641,186641,0,0,0,0,775792,962433
1986:Q4,979912,0,201682,201682,0,0,0,0,778230,979912
1987:Q1,995254,0,198583,198583,0,0,0,0,796671,995254
1987:Q2,1010462,0,204244,204244,0,0,0,0,806218,1010462
1987:Q3,1025646,0,217841,217841,0,0,0,0,807805,1025646
1987:Q4,1040961,0,231950,231950,0,0,0,0,809011,1040961
1988:Q1,1056390,0,227959,227959,0,0,0,0,828431,1056390
1988:Q2,1072075,0,234929,234929,0,0,0,0,837146,1072075
1988:Q3,1087949,0,248193,248193,0,0,0,0,839756,1087949
1988:Q4,1103808,0,264730,264730,0,0,0,0,839078,1103808
1989:Q1,1119602,0,260176,260176,0,0,0,0,859426,1119602
1989:Q2,1136082,0,268190,268190,0,0,0,0,867892,1136082
1989:Q3,1152392,0,281179,281179,0,0,0,0,871213,1152392
1989:Q4,1168779,0,299287,299287,0,0,0,0,869492,1168779
1990:Q1,1184760,0,294038,294038,0,0,0,0,890722,1184760
1990:Q2,1200971,0,301075,301075,0,0,0,0,899896,1200971
1990:Q3,1217438,0,314748,314748,0,0,0,0,902690,1217438
1990:Q4,1233878,0,332641,332641,0,0,0,0,901237,1233878
1991:Q1,1250361,0,326631,326631,0,0,0,0,923730,1250361
1991:Q2,1267452,0,336001,336001,0,0,0,0,931451,1267452
1991:Q3,1284883,0,350634,350634,0,0,0,0,934249,1284883
1991:Q4,1302248,0,370999,370999,0,0,0,0,931249,1302248
1992:Q1,1320045,0,364685,364685,0,0,0,0,955360,1320045
1992:Q2,1338083,0,374374,374374,0,0,0,0,963709,1338083
1992:Q3,1356168,0,389902,389902,0,0,0,0,966266,1356168
1992:Q4,1373691,0,410786,410786,0,0,0,0,962905,1373691
1993:Q1,1390619,0,402820,402820,0,0,0,0,987799,1390619
1993:Q2,1407489,0,412383,412383,0,0,0,0,995106,1407489
1993:Q3,1424346,0,427230,427230,0,0,0,0,997116,1424346
1993:Q4,1440962,0,447864,447864,0,0,0,0,993098,1440962
1994:Q1,1457574,0,439948,439948,0,0,0,0,1017626,1457574
1994:Q2,1474279,0,449373,449373,0,0,0,0,1024906,1474279
1994:Q3,1491706,0,463883,463883,0,0,0,0,1027823,1491706
1994:Q4,1508641,0,485506,485506,0,0,0,0,1023135,1508641
1995:Q1,1525781,0,476892,476892,0,0,0,0,1048889,1525781
1995:Q2,1543532,0,486918,486918,0,0,0,0,1056614,1543532
1995:Q3,1561443,0,501617,501617,0,0,0,0,1059826,1561443
1995:Q4,1578603,0,506332,506332,0,0,0,0,1072271,1578603
1996:Q1,1595875,0,510850,510850,0,0,0,0,1085025,1595875
1996:Q2,1613487,0,522650,522650,0,0,0,0,1090837,1613487
1996:Q3,1630888,0,535788,535788,0,0,0,0,1095100,1630888
1996:Q4,1648058,0,561392,561392,0,0,0,0,1086666,1648058
1997:Q1,1665284,0,551537,551537,0,0,0,0,1113747,1665284
1997:Q2,1682625,0,561040,561040,0,0,0,0,1121585,1682625
1997:Q3,1700110,0,576602,576602,0,0,0,0,1123508,1700110
1997:Q4,1717187,0,601693,601693,0,0,0,0,1115494,1717187
1998:Q1,1734493,0,590469,590469,0,0,0,0,1144024,1734493
1998:Q2,1753467,0,601532,601532,0,0,0,0,1151935,1753467
1998:Q3,1771583,0,616276,616276,0,0,0,0,1155307,1771583
1998:Q4,1789725,0,642911,642911,0,0,0,0,1146814,1789725
1999:Q1,1807720,0,632554,632554,0,0,0,0,1175166,1807720
1999:Q2,1826158,0,642736,642736,0,0,0,0,1183422,1826158
1999:Q3,1844798,0,657468,657468,0,0,0,0,1187330,1844798
1999:Q4,1863147,0,684033,684033,0,0,0,0,1179114,1863147
2000:Q1,1880662,0,672950,672950,0,0,0,0,1207712,1880662
2000:Q2,1898881,0,683329,683329,0,0,0,0,1215552,1898881
2000:Q3,1917392,0,697363,697363,0,0,0,0,1220029,1917392
2000:Q4,1935918,0,704935,704935,0,0,0,0,1230983,1935918
2001:Q1,1954617,0,713274,713274,0,0,0,0,1241343,1954617
2001:Q2,1974616,0,724915,724915,0,0,0,0,1249701,1974616
2001:Q3,1993581,0,738233,738233,0,0,0,0,1255348,1993581
2001:Q4,2012372,0,765770,765770,0,0,0,0,1246602,2012372
2002:Q1,2030368,0,753737,753737,0,0,0,0,1276631,2030368
2002:Q2,2048374,0,762571,762571,0,0,0,0,1285803,2048374
2002:Q3,2066951,0,773685,773685,0,0,0,1420,1291846,2066951
2002:Q4,2082990,0,790299,790299,0,0,0,9800,1282891,2082990
2003:Q1,2100010,0,767803,767803,0,0,0,18800,1313407,2100010
2003:Q2,2121844,1,778644,778644,0,0,0,21100,1322099,2121844
2003:Q3,2142720,1,795435,789284,0,0,6151,15727,1331557,2142720
2003:Q4,2165624,37,822792,816188,0,0,6604,16884,1325911,2165624
2004:Q1,2185865,72,809202,802435,0,0,6767,17301,1359290,2185865
2004:Q2,2206114,108,817223,810480,0,0,6743,17240,1371543,2206114
2004:Q3,2227219,144,832418,824909,910,0,6599,17003,1377654,2227219
2004:Q4,2249879,212,864632,856508,984,0,7140,18396,1366639,2249879
2005:Q1,2270740,281,852914,844942,966,0,7006,18049,1399496,2270740
2005:Q2,2292980,349,848817,840729,980,0,7108,18312,1425502,2292980
2005:Q3,2315112,417,862848,855086,2248,0,5514,19368,1432479,2315112
2005:Q4,2336449,445,891714,883849,2278,0,5587,19622,1424668,2336449
2006:Q1,2357673,473,877794,869726,2337,0,5731,20129,1459277,2357673
2006:Q2,2377454,501,882166,874255,2291,0,5620,19739,1475048,2377454
2006:Q3,2398595,528,897151,889046,2316,0,5789,20601,1480315,2398595
2006:Q4,2420268,515,928062,919510,2444,0,6108,21736,1469955,2420268
2007:Q1,2441060,501,912925,904236,2483,0,6206,22085,1505549,2441060
2007:Q2,2462594,488,902719,893701,2577,0,6441,22922,1536465,2462594
2007:Q3,2483697,474,918664,910933,2380,0,5351,23555,1541004,2483697
2007:Q4,2503517,507,961407,953842,2329,0,5236,23049,1518554,2503517
2008:Q1,2521924,540,945637,938618,2161,0,4858,21382,1554365,2521924
2008:Q2,2542073,573,952049,945159,2121,0,4769,20992,1568459,2542073
2008:Q3,2558878,605,971083,964460,2313,0,4310,16875,1570315,2558878
2008:Q4,2574120,808,1022361,1017032,1861,0,3468,13576,1537375,2574120
2009:Q1,2597462,1010,999617,994800,1682,0,3135,12272,1584563,2597462
2009:Q2,2623131,1213,1004475,999266,1819,0,3390,13270,1604173,2623131
2009:Q3,2649554,1415,1021427,1016643,1458,0,3326,14227,1612485,2649554
2009:Q4,2674892,1216,1085247,1080391,1480,0,3376,14442,1573987,2674892
2010:Q1,2723071,1016,1068899,1063856,1537,0,3506,15000,1638156,2723071
2010:Q2,2769794,816,1072525,1067856,1423,0,3246,13885,1682568,2769794
2010:Q3,2820753,617,1089096,1084460,1257,0,3379,16066,1714974,2820753
2010:Q4,2871326,600,1150857,1146019,1311,0,3527,16765,1703104,2871326
2011:Q1,2892928,583,1136841,1131937,1329,0,3575,16996,1738508,2892928
2011:Q2,2914296,566,1050110,1045257,1315,0,3538,16820,1846800,2914296
2011:Q3,2932375,549,1156739,1151824,1010,0,3905,13343,1761744,2932375
2011:Q4,2954463,532,1221305,1216242,1041,0,4022,13744,1718882,2954463
2012:Q1,2977437,515,1205241,1199922,1093,0,4226,14441,1757240,2977437
2012:Q2,2997785,499,1211087,1206069,1031,0,3987,13622,1772577,2997785
2012:Q3,3019938,482,1230294,1225428,803,74,3989,14621,1774541,3019938
2012:Q4,3041339,497,1261190,1256276,811,75,4028,14764,1764888,3041339
2013:Q1,3062773,513,1272823,1267786,832,77,4128,15132,1774305,3062773
2013:Q2,3083532,529,1185511,1180561,817,75,4058,14875,1882617,3083532
2013:Q3,3105685,544,1168741,1163728,782,69,4162,15690,1920710,3105685
2013:Q4,3127881,635,1359784,1354585,811,72,4316,16271,1751191,3127881
2014:Q1,3139354,726,1347197,1342008,809,72,4308,16241,1775190,3139354
2014:Q2,3151492,816,1350136,1344856,823,73,4384,16526,1784014,3151492
2014:Q3,3162282,907,1369135,1364207,599,64,4265,16027,1776213,3162282
2014:Q4,3172811,902,1428314,1423465,589,63,4197,15774,1727821,3172811
2015:Q1,3193396,896,1379452,1374622,587,63,4180,15709,1797339,3193396
2015:Q2,3213392,891,1314719,1309947,580,62,4130,15519,1882263,3213392
2015:Q3,3231691,886,1291406,1286212,632,62,4500,13663,1925736,3231691
2015:Q4,3251013,861,1504085,1498842,638,62,4543,13795,1732272,3251013
2016:Q1,3266608,836,1489171,1483958,634,62,4517,13714,1762887,3266608
2016:Q2,3281839,812,1489538,1484312,636,62,4528,13748,1777741,3281839
2016:Q3,3297896,787,1507481,1501890,841,84,4666,13942,1775686,3297896
2016:Q4,3313036,846,1588177,1582608,838,84,4647,13883,1710130,3313036
2017:Q1,3330972,906,1546082,1540426,851,85,4720,14101,1769883,3330972
2017:Q2,3348568,965,1474572,1468829,864,86,4793,14320,1858711,3348568
2017:Q3,3366490,1025,1595840,1590372,840,75,4553,15267,1754358,3366490
2017:Q4,3384161,975,1656663,1651105,854,77,4627,15515,1711008,3384161
2018:Q1,3407515,924,1663104,1657651,838,75,4540,15224,1728263,3407515
2018:Q2,3431056,874,1663581,1658147,835,75,4524,15169,1751432,3431056
2018:Q3,3454996,824,1696761,1691174,1015,53,4519,15497,1741914,3454996
2018:Q4,3476778,784,1780888,1775796,925,49,4118,14124,1680982,3476778
2019:Q1,3503355,745,1740871,1735529,971,51,4320,14816,1746923,3503355
2019:Q2,3529854,706,1663853,1658412,989,52,4400,15090,1850205,3529854
2019:Q3,3556099,666,1797492,1791905,1034,49,4504,14853,1743088,3556099
2019:Q4,3583445,706,1893437,1887655,1070,51,4661,15370,1673932,3583445
2020:Q1,3606148,745,1881877,1877103,884,42,3848,12691,1710835,3606148
2020:Q2,3633776,784,1871635,1866492,952,45,4146,13674,1747683,3633776
2020:Q3,3661438,823,1907741,1902657,798,39,4247,14796,1738078,3661438
