date,State and local government employee retirement funds; total financial assets,State and local government employee defined benefit retirement funds; checkable deposits and currency; asset,State and local government employee defined benefit retirement funds; total time and savings deposits; asset,State and local government employee retirement funds; money market fund shares; asset,State and local government employee defined benefit retirement funds; security repurchase agreements; asset,State and local government employee defined benefit retirement funds retirement funds; debt securities; asset,State and local government employee defined benefit retirement funds; commercial paper; asset,State and local government employee defined benefit retirement funds; Treasury securities; asset,State and local government employee defined benefit retirement funds; agency- and GSE-backed securities; asset,State and local government employee defined benefit retirement funds; municipal securities; asset,State and local government employee defined benefit retirement funds; corporate and foreign bonds; asset,State and local government employee defined benefit retirement funds; total mortgages; asset,State and local government employee defined benefit retirement funds; corporate equities; asset,State and local government employee retirement funds; mutual fund shares; asset,State and local government employee retirement funds; miscellaneous assets,State and local government employee defined contribution retirement funds; unallocated insurance contracts; asset,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,State and local government employee retirement funds; miscellaneous assets,State and local government employee retirement funds; pension entitlements (total liabilities),State and local government employee defined benefit retirement funds; pension entitlements (total liabilities),State and local government employee defined benefit retirement funds; total funded assets,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,State and local government employee defined benefit retirement funds; total financial assets,State and local government employee defined contribution retirement funds; total financial assets
1945:Q4,12983,69,0,0,0,2508,0,1519,0,849,140,18,7,0,10381,0,10381,0,12983,12983,2602,10381,12983,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,15150,77,0,0,0,2766,0,1671,0,935,160,21,8,0,12278,0,12278,0,15150,15150,2872,12278,15150,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,17777,85,0,0,0,3087,0,1860,0,1037,190,25,10,0,14570,0,14570,0,17777,17777,3207,14570,17777,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,20366,91,0,0,0,3506,0,2073,0,1166,267,35,13,0,16721,0,16721,0,20366,20366,3645,16721,20366,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,23048,101,0,0,0,4008,0,2257,0,1349,402,52,20,0,18867,0,18867,0,23048,23048,4181,18867,23048,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,25882,119,0,0,0,4632,0,2498,0,1549,585,75,29,0,21027,0,21027,0,25882,25882,4855,21027,25882,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,28208,138,0,0,0,5331,0,2918,0,1712,701,105,41,0,22593,0,22593,0,28208,28208,5615,22593,28208,0
1952:Q1,29022,143,0,0,0,5572,0,3070,5,1751,746,113,44,0,23150,0,23150,0,29022,29022,5872,23150,29022,0
1952:Q2,29846,148,0,0,0,5749,0,3148,10,1794,797,122,47,0,23780,0,23780,0,29846,29846,6066,23780,29846,0
1952:Q3,30687,153,0,0,0,6089,0,3313,15,1838,923,131,49,0,24265,0,24265,0,30687,30687,6422,24265,30687,0
1952:Q4,31540,158,0,0,0,6287,0,3374,20,1883,1010,141,56,0,24898,0,24898,0,31540,31540,6642,24898,31540,0
1953:Q1,32298,164,0,0,0,6561,0,3465,22,1933,1141,152,59,0,25362,0,25362,0,32298,32298,6936,25362,32298,0
1953:Q2,33076,173,0,0,0,6932,0,3655,23,1986,1268,163,63,0,25745,0,25745,0,33076,33076,7331,25745,33076,0
1953:Q3,33873,182,0,0,0,7291,0,3830,24,2042,1395,175,68,0,26157,0,26157,0,33873,33873,7716,26157,33873,0
1953:Q4,34683,189,0,0,0,7514,0,3860,25,2103,1526,188,75,0,26717,0,26717,0,34683,34683,7966,26717,34683,0
1954:Q1,35630,193,0,0,0,7898,0,4043,28,2166,1661,202,82,0,27255,0,27255,0,35630,35630,8375,27255,35630,0
1954:Q2,36597,195,0,0,0,8305,0,4234,31,2232,1808,217,84,0,27796,0,27796,0,36597,36597,8801,27796,36597,0
1954:Q3,37585,195,0,0,0,8606,0,4310,34,2302,1960,233,89,0,28462,0,28462,0,37585,37585,9123,28462,37585,0
1954:Q4,38585,194,0,0,0,8912,0,4383,38,2376,2115,249,99,0,29131,0,29131,0,38585,38585,9454,29131,38585,0
1955:Q1,39640,191,0,0,0,9188,0,4438,43,2456,2251,266,113,0,29882,0,29882,0,39640,39640,9758,29882,39640,0
1955:Q2,40716,185,0,0,0,9459,0,4478,48,2542,2391,283,148,0,30641,0,30641,0,40716,40716,10075,30641,40716,0
1955:Q3,41814,179,0,0,0,9788,0,4566,53,2632,2537,301,180,0,31366,0,31366,0,41814,41814,10448,31366,41814,0
1955:Q4,42927,174,0,0,0,10139,0,4666,58,2723,2692,318,200,0,32096,0,32096,0,42927,42927,10831,32096,42927,0
1956:Q1,44168,175,0,0,0,10594,0,4879,60,2816,2839,336,217,0,32846,0,32846,0,44168,44168,11322,32846,44168,0
1956:Q2,45427,178,0,0,0,10840,0,4903,62,2911,2964,352,201,0,33856,0,33856,0,45427,45427,11571,33856,45427,0
1956:Q3,46710,183,0,0,0,11073,0,4929,64,3009,3071,371,189,0,34894,0,34894,0,46710,46710,11816,34894,46710,0
1956:Q4,48011,190,0,0,0,11286,0,4944,67,3110,3165,395,200,0,35940,0,35940,0,48011,48011,12071,35940,48011,0
1957:Q1,49229,200,0,0,0,11631,0,5061,74,3214,3282,425,215,0,36758,0,36758,0,49229,49229,12471,36758,49229,0
1957:Q2,50474,214,0,0,0,11974,0,5114,82,3322,3456,460,277,0,37549,0,37549,0,50474,50474,12925,37549,50474,0
1957:Q3,51751,228,0,0,0,12380,0,5147,89,3431,3713,499,294,0,38350,0,38350,0,51751,51751,13401,38350,51751,0
1957:Q4,53050,237,0,0,0,12718,0,5058,97,3539,4024,540,300,0,39255,0,39255,0,53050,53050,13795,39255,53050,0
1958:Q1,54568,242,0,0,0,13197,0,5104,102,3648,4343,584,320,0,40225,0,40225,0,54568,54568,14343,40225,54568,0
1958:Q2,56118,245,0,0,0,13439,0,4950,107,3760,4622,631,340,0,41463,0,41463,0,56118,56118,14655,41463,56118,0
1958:Q3,57698,245,0,0,0,13818,0,4960,112,3868,4878,681,365,0,42589,0,42589,0,57698,57698,15109,42589,57698,0
1958:Q4,59297,244,0,0,0,14227,0,5021,117,3963,5126,736,400,0,43690,0,43690,0,59297,59297,15607,43690,59297,0
1959:Q1,59700,241,0,0,0,14634,0,5102,124,4048,5360,792,415,0,43618,0,43618,0,59700,59700,16082,43618,59700,0
1959:Q2,60130,234,0,0,0,14953,0,5126,132,4124,5571,847,453,0,43643,0,43643,0,60130,60130,16487,43643,60130,0
1959:Q3,60588,227,0,0,0,15459,0,5350,139,4192,5778,911,460,0,43531,0,43531,0,60588,60588,17057,43531,60588,0
1959:Q4,61063,221,0,0,0,15845,0,5462,146,4251,5986,992,500,0,43505,0,43505,0,61063,61063,17558,43505,61063,0
1960:Q1,62900,223,0,0,0,16338,0,5663,159,4305,6211,1091,491,0,44757,0,44757,0,62900,62900,18143,44757,62900,0
1960:Q2,64759,229,0,0,0,16717,0,5724,171,4356,6466,1209,532,0,46072,0,46072,0,64759,64759,18687,46072,64759,0
1960:Q3,66657,236,0,0,0,16998,0,5653,184,4393,6768,1333,521,0,47569,0,47569,0,66657,66657,19088,47569,66657,0
1960:Q4,68585,243,0,0,0,17437,0,5711,196,4406,7124,1450,600,0,48855,0,48855,0,68585,68585,19730,48855,68585,0
1961:Q1,70496,251,0,0,0,17992,0,5855,214,4399,7524,1564,704,0,49985,0,49985,0,70496,70496,20511,49985,70496,0
1961:Q2,72452,260,0,0,0,18435,0,5872,233,4374,7956,1680,735,0,51342,0,51342,0,72452,72452,21110,51342,72452,0
1961:Q3,74451,269,0,0,0,18853,0,5865,252,4330,8406,1793,792,0,52744,0,52744,0,74451,74451,21707,52744,74451,0
1961:Q4,76481,277,0,0,0,19186,0,5800,271,4263,8852,1896,900,0,54222,0,54222,0,76481,76481,22259,54222,76481,0
1962:Q1,76354,285,0,0,0,19830,0,6025,325,4175,9305,1990,931,0,53318,0,53318,0,76354,76354,23036,53318,76354,0
1962:Q2,76269,294,0,0,0,20248,0,6075,343,4058,9772,2074,753,0,52900,0,52900,0,76269,76269,23369,52900,76269,0
1962:Q3,76229,302,0,0,0,20671,0,6125,380,3930,10236,2155,845,0,52256,0,52256,0,76229,76229,23973,52256,76229,0
1962:Q4,76222,307,0,0,0,20969,0,6100,395,3804,10670,2242,1000,0,51704,0,51704,0,76222,76222,24518,51704,76222,0
1963:Q1,77898,311,0,0,0,21386,0,6200,387,3682,11117,2331,1122,0,52748,0,52748,0,77898,77898,25150,52748,77898,0
1963:Q2,79619,313,0,0,0,22017,0,6475,381,3553,11608,2420,1249,0,53620,0,53620,0,79619,79619,25999,53620,79619,0
1963:Q3,81382,314,0,0,0,22492,0,6550,351,3426,12165,2512,1375,0,54689,0,54689,0,81382,81382,26693,54689,81382,0
1963:Q4,83170,313,0,0,0,22944,0,6510,347,3304,12783,2612,1500,0,55801,0,55801,0,83170,83170,27369,55801,83170,0
1964:Q1,85134,313,0,0,0,23660,0,6725,341,3194,13400,2716,1657,0,56788,0,56788,0,85134,85134,28346,56788,85134,0
1964:Q2,87127,313,0,0,0,24387,0,6975,375,3089,13948,2822,1782,0,57823,0,57823,0,87127,87127,29304,57823,87127,0
1964:Q3,89174,313,0,0,0,24881,0,7066,369,2991,14455,2937,1906,0,59137,0,59137,0,89174,89174,30037,59137,89174,0
1964:Q4,91265,311,0,0,0,25255,0,7030,381,2900,14944,3070,2000,0,60629,0,60629,0,91265,91265,30636,60629,91265,0
1965:Q1,93553,311,0,0,0,26054,0,7417,376,2820,15441,3221,2094,0,61873,0,61873,0,93553,93553,31680,61873,93553,0
1965:Q2,95906,311,0,0,0,26689,0,7590,381,2748,15970,3389,2074,0,63443,0,63443,0,95906,95906,32463,63443,95906,0
1965:Q3,98323,312,0,0,0,27096,0,7351,485,2684,16576,3567,2326,0,65022,0,65022,0,98323,98323,33301,65022,98323,0
1965:Q4,100779,317,0,0,0,27515,0,7153,492,2625,17245,3746,2500,0,66701,0,66701,0,100779,100779,34078,66701,100779,0
1966:Q1,103634,325,0,0,0,28357,0,7312,502,2579,17964,3936,2580,0,68436,0,68436,0,103634,103634,35198,68436,103634,0
1966:Q2,106543,335,0,0,0,28941,0,7046,622,2543,18730,4143,2633,0,70491,0,70491,0,106543,106543,36052,70491,106543,0
1966:Q3,109508,349,0,0,0,29837,0,7166,671,2513,19487,4344,2527,0,72451,0,72451,0,109508,109508,37057,72451,109508,0
1966:Q4,112513,368,0,0,0,30432,0,7115,652,2481,20184,4516,2800,0,74397,0,74397,0,112513,112513,38116,74397,112513,0
1967:Q1,115226,407,0,0,0,30920,0,6800,669,2461,20990,4681,3292,0,75926,0,75926,0,115226,115226,39300,75926,115226,0
1967:Q2,118025,415,17,0,0,31595,0,6646,744,2442,21763,4847,3420,0,77731,0,77731,0,118025,118025,40294,77731,118025,0
1967:Q3,120929,381,69,0,0,32328,0,6308,759,2424,22837,4925,3740,0,79486,0,79486,0,120929,120929,41443,79486,120929,0
1967:Q4,123938,303,161,0,0,33277,0,6165,785,2406,23921,5003,3900,0,81294,0,81294,0,123938,123938,42644,81294,123938,0
1968:Q1,128716,365,108,0,0,33818,0,6219,758,2437,24404,5148,3847,0,85430,0,85430,0,128716,128716,43286,85430,128716,0
1968:Q2,133608,403,75,0,0,34599,0,6120,1028,2372,25079,5269,4696,0,88566,0,88566,0,133608,133608,45042,88566,133608,0
1968:Q3,138637,429,146,0,0,35358,0,6023,1138,2384,25813,5275,5232,0,92197,0,92197,0,138637,138637,46440,92197,138637,0
1968:Q4,143769,377,230,0,0,36278,0,5921,1410,2382,26565,5362,5800,0,95722,0,95722,0,143769,143769,48047,95722,143769,0
