date,State and local government employee defined benefit retirement funds; total financial assets,State and local government employee defined benefit retirement funds; checkable deposits and currency; asset,State and local government employee defined benefit retirement funds; total time and savings deposits; asset,State and local government employee defined benefit retirement funds; money market fund shares; asset,State and local government employee defined benefit retirement funds; security repurchase agreements; asset,State and local government employee defined benefit retirement funds retirement funds; debt securities; asset,State and local government employee defined benefit retirement funds; commercial paper; asset,State and local government employee defined benefit retirement funds; Treasury securities; asset,State and local government employee defined benefit retirement funds; agency- and GSE-backed securities; asset,State and local government employee defined benefit retirement funds; municipal securities; asset,State and local government employee defined benefit retirement funds; corporate and foreign bonds; asset,State and local government employee defined benefit retirement funds; total mortgages; asset,State and local government employee defined benefit retirement funds; corporate equities; asset,State and local government employee defined benefit retirement funds; mutual fund shares; asset,State and local government employee defined benefit retirement funds; miscellaneous assets,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,State and local government employee defined benefit retirement funds; unidentified miscellaneous assets,State and local government employee defined benefit retirement funds; pension entitlements (total liabilities)
1945:Q4,12983,69,0,0,0,2508,0,1519,0,849,140,18,7,0,10381,10381,0,12983
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,15150,77,0,0,0,2766,0,1671,0,935,160,21,8,0,12278,12278,0,15150
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,17777,85,0,0,0,3087,0,1860,0,1037,190,25,10,0,14570,14570,0,17777
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
