date,Government-sponsored enterprises; total financial assets,Government-sponsored enterprises; checkable deposits and currency; asset,Government-sponsored enterprises; total time and savings deposits; asset,Government-sponsored enterprises; federal funds and security repurchase agreements; asset,Government-sponsored enterprises; debt securities; asset,Government-sponsored enterprises; commercial paper; asset,Government-sponsored enterprises; Treasury securities; asset,Government-sponsored enterprises; agency- and GSE-backed securities; asset,Government-sponsored enterprises; municipal securities and Sallie Mae public academic facilities financing and Sallie Mae public warehousing advances; asset,Government-sponsored enterprises; corporate and foreign bonds; asset,Government-sponsored enterprises; loans; asset,Government-sponsored enterprises; FHLB, Farm Credit System, and Sallie Mae loans and advances; asset,Government-sponsored enterprises; Sallie Mae loans; asset,Government-sponsored enterprises; Farm Credit System loans; asset,Government-sponsored enterprises; FHLB advances; asset,Government-sponsored enterprises; total mortgages; asset,Government-sponsored enterprises; one-to-four-family residential mortgages; asset,Government-sponsored enterprises; securitized one-to-four-family residential mortgages; asset,Government-sponsored enterprises; other one-to-four-family residential mortgages; asset,Government-sponsored enterprises; multifamily residential mortgages; asset,Government-sponsored enterprises; securitized multifamily residential mortgages; asset,Government-sponsored enterprises; other multifamily residential mortgages; asset,Government-sponsored enterprises; farm mortgages; asset,Government-sponsored enterprises; consumer credit held by Sallie Mae; asset,Government-sponsored enterprises; unidentified miscellaneous assets,Government-sponsored enterprises; total liabilities,Government-sponsored enterprises; federal funds and security repurchase agreements; liability,Government-sponsored enterprises; GSE issues; liability,Government-sponsored enterprises; securitized GSE issues; liability,Government-sponsored enterprises; other GSE issues; liability,Government-sponsored enterprises; U.S. government loans to Sallie Mae; liability,Government-sponsored enterprises; total miscellaneous liabilities
1945:Q4,2305,91,0,0,351,0,351,0,0,0,1697,662,0,457,205,1035,0,0,0,0,0,0,1035,0,166,2118,0,873,0,873,0,1245
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,2360,93,0,0,356,0,356,0,0,0,1771,812,0,511,301,959,0,0,0,0,0,0,959,0,140,2148,0,1168,0,1168,0,980
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,2527,90,0,0,325,0,325,0,0,0,1997,1110,0,678,432,887,0,0,0,0,0,0,887,0,115,2287,0,1284,0,1284,0,1003
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2859,77,0,0,453,0,453,0,0,0,2226,1354,0,845,509,872,0,0,0,0,0,0,872,0,103,2611,0,1559,0,1559,0,1052
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2824,71,0,0,450,0,450,0,0,0,2197,1292,0,865,427,905,0,0,0,0,0,0,905,0,106,2563,0,1447,0,1447,0,1116
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,3305,91,0,0,373,0,373,0,0,0,2734,1782,0,972,810,952,0,0,0,0,0,0,952,0,107,3019,0,1828,0,1828,0,1191
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,3717,89,0,0,428,0,428,0,0,0,3096,2086,0,1175,911,1010,0,0,0,0,0,0,1010,0,104,3410,0,2055,0,2055,0,1355
1952:Q1,3687,79,0,0,565,0,565,0,0,0,2827,1799,0,1210,589,1028,0,0,0,0,0,0,1028,0,216,3369,0,1941,0,1941,0,1428
1952:Q2,3747,89,0,0,496,0,496,0,0,0,2944,1898,0,1245,653,1046,0,0,0,0,0,0,1046,0,218,3424,0,2038,0,2038,0,1386
1952:Q3,3789,81,0,0,483,0,483,0,0,0,3003,1935,0,1220,715,1068,0,0,0,0,0,0,1068,0,222,3456,0,2128,0,2128,0,1328
1952:Q4,3824,96,0,0,495,0,495,0,0,0,3152,2061,0,1197,864,1091,0,0,0,0,0,0,1091,0,81,3486,0,2102,0,2102,0,1384
1953:Q1,3859,100,0,0,695,0,695,0,0,0,2835,1721,0,1110,611,1114,0,0,0,0,0,0,1114,0,229,3510,0,1996,0,1996,0,1514
1953:Q2,3903,98,0,0,574,0,574,0,0,0,3003,1867,0,1149,718,1136,0,0,0,0,0,0,1136,0,228,3553,0,2010,0,2010,0,1543
1953:Q3,4019,111,0,0,592,0,592,0,0,0,3083,1925,0,1124,801,1158,0,0,0,0,0,0,1158,0,233,3664,0,2127,0,2127,0,1537
1953:Q4,4075,139,0,0,589,0,589,0,0,0,3119,1939,0,987,952,1180,0,0,0,0,0,0,1180,0,228,3720,0,2099,0,2099,0,1621
1954:Q1,4086,86,0,0,901,0,901,0,0,0,2865,1654,0,1024,630,1211,0,0,0,0,0,0,1211,0,234,3727,0,1871,0,1871,0,1856
1954:Q2,4227,91,0,0,872,0,872,0,0,0,3012,1770,0,1095,675,1242,0,0,0,0,0,0,1242,0,252,3867,0,1967,0,1967,0,1900
1954:Q3,4314,115,0,0,896,0,896,0,0,0,3070,1808,0,1119,689,1262,0,0,0,0,0,0,1262,0,233,3947,0,2092,0,2092,0,1855
1954:Q4,4457,112,0,0,849,0,849,0,0,0,3175,1894,0,1027,867,1281,0,0,0,0,0,0,1281,0,321,4088,0,2064,0,2064,0,2024
1955:Q1,4533,102,0,0,982,0,982,0,0,0,3143,1799,0,1097,702,1344,0,0,0,0,0,0,1344,0,306,4160,0,2045,0,2045,0,2115
1955:Q2,4898,104,0,0,869,0,869,0,0,0,3606,2189,0,1172,1017,1417,9,0,9,0,0,0,1408,0,319,4522,0,2361,0,2361,0,2161
1955:Q3,5028,99,0,26,637,0,637,0,0,0,3949,2466,0,1191,1275,1483,30,0,30,0,0,0,1453,0,317,4643,0,2602,0,2602,16,2025
1955:Q4,5485,132,0,40,936,0,936,0,0,0,4064,2481,0,1064,1417,1583,86,0,86,0,0,0,1497,0,313,5098,0,3005,0,3005,66,2027
1956:Q1,5679,92,0,40,1256,0,1256,0,0,0,3980,2256,0,1118,1138,1724,156,0,156,1,0,1,1567,0,311,5286,0,3111,0,3111,26,2149
1956:Q2,6000,76,0,37,1267,0,1267,0,0,0,4292,2420,0,1247,1173,1872,233,0,233,1,0,1,1638,0,328,5608,0,3316,0,3316,94,2198
1956:Q3,6146,88,0,22,1257,0,1257,0,0,0,4463,2422,0,1280,1142,2041,352,0,352,0,0,0,1689,0,316,5745,0,3559,0,3559,98,2088
1956:Q4,6494,132,0,18,1226,0,1226,0,0,0,4822,2432,0,1204,1228,2390,649,0,649,0,0,0,1741,0,296,6094,0,3448,0,3448,361,2285
1957:Q1,6809,85,0,18,1342,0,1342,0,0,0,5064,2229,0,1268,961,2835,1031,0,1031,0,0,0,1804,0,300,6383,0,3845,0,3845,211,2327
1957:Q2,7256,92,0,15,1269,0,1269,0,0,0,5579,2462,0,1383,1079,3117,1249,0,1249,0,0,0,1868,0,301,6832,0,4446,0,4446,3,2383
1957:Q3,7425,81,0,16,1137,0,1137,0,0,0,5883,2545,0,1426,1119,3338,1445,0,1445,0,0,0,1893,0,308,6991,0,4635,0,4635,118,2238
1957:Q4,7778,113,0,18,1143,0,1143,0,0,0,6204,2651,0,1386,1265,3553,1636,0,1636,0,0,0,1917,0,300,7341,0,4848,0,4848,81,2412
1958:Q1,7969,84,0,12,1742,0,1742,0,0,0,5833,2163,0,1467,696,3670,1718,0,1718,0,0,0,1952,0,298,7525,0,4728,0,4728,7,2790
1958:Q2,8009,109,0,10,1631,0,1631,0,0,0,5945,2564,0,1635,929,3381,1394,0,1394,0,0,0,1987,0,314,7565,0,4625,0,4625,0,2940
1958:Q3,7987,79,0,7,1497,0,1497,0,0,0,6086,2716,0,1706,1010,3370,1333,0,1333,0,0,0,2037,0,318,7527,0,4840,0,4840,19,2668
1958:Q4,8129,125,0,0,1252,0,1252,0,0,0,6432,2964,0,1666,1298,3468,1381,0,1381,0,0,0,2087,0,320,7660,0,4925,0,4925,60,2675
1959:Q1,8403,83,0,0,1457,0,1457,0,0,0,6555,2918,0,1831,1087,3637,1464,0,1464,0,0,0,2173,0,308,7920,0,5041,0,5041,85,2794
1959:Q2,9208,120,0,0,1328,0,1328,0,0,0,7444,3610,0,2073,1537,3834,1574,0,1574,0,0,0,2260,0,316,8730,0,5910,0,5910,42,2778
