date,Equity real estate investment trusts; total financial assets,Equity real estate investment trusts; checkable deposits and currency; asset,Equity real estate investment trusts; corporate and foreign bonds; asset,Equity real estate investment trusts; total mortgages; asset,Equity real estate investment trusts; one-to-four-family residential mortgages; asset,Equity real estate investment trusts; multifamily residential mortgages; asset,Equity real estate investment trusts; commercial mortgages; asset,Equity real estate investment trusts; unidentified miscellaneous assets,Equity real estate investment trusts; total liabilities,Equity real estate investment trusts; corporate and foreign bonds; liability,Equity real estate investment trusts; loans; liability,Equity real estate investment trusts; depository institution loans n.e.c.; liability,Equity real estate investment trusts; total mortgages; liability,Equity real estate investment trusts; multifamily residential mortgages; liability,Equity real estate investment trusts; commercial mortgages; liability,Equity real estate investment trusts; unidentified miscellaneous liabilities
1945:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
