date,Rest of the world; total financial assets,Federal government; special drawing rights (SDRs) allocations; liability,Rest of the world; net interbank transactions with banks in foreign countries; asset,Rest of the world; U.S. checkable deposits and currency; asset,Rest of the world; U.S. total time and savings deposits; asset,Rest of the world; U.S. money market fund shares; asset,Rest of the world; security repurchase agreements; asset,Rest of the world; debt securities, excluding negotiable certificates of deposit; asset,Rest of the world; commercial paper; asset,Rest of the world; Treasury securities; asset,Rest of the world; agency- and GSE-backed securities; asset,Rest of the world; municipal securities; asset,Rest of the world; corporate bonds; asset,Rest of the world; U.S. nonfinancial business loans; asset,Rest of the world; U.S. nonfinancial business loans held by CLOs; asset,Rest of the world; U.S. corporate equities; asset,Rest of the world; U.S. mutual fund shares; asset,Rest of the world; trade receivables; asset,Life insurance companies; assumed life insurance reserve credit from non-U.S. insurers; liability,Life insurance companies; assumed pension entitlement reserve credit from non-U.S. insurers; liability,Rest of the world; foreign direct investment in U.S.; asset (market value),Rest of the world; assumed policy payables by U.S. reinsurers from non-U.S. insurers; liability,Rest of the world; total liabilities,Rest of the world; U.S. official reserve assets; liability,Rest of the world; U.S. private deposits, including negotiable certificates of deposit; liability,Rest of the world; security repurchase agreements; liability,Rest of the world; debt securities, excluding negotiable certificates of deposit; liability,Rest of the world; commercial paper; liability,Rest of the world; bonds; liability,Rest of the world; bonds: collateralized loan obligations; liability,Rest of the world; loans; liability,Rest of the world; depository institution loans n.e.c.; liability,Rest of the world; other loans and advances; liability,Rest of the world; trade credit and advances; liability,Rest of the world; life insurance reserve credit from non-U.S. reinsurers; liability,Rest of the world; pension entitlement reserve credit from non-U.S. reinsurers; liability,Rest of the world; U.S. direct investment abroad: intercompany debt, including Netherlands Antillean Financial subsidiaries; liability,Rest of the world; total miscellaneous liabilities,Federal government; U.S. equity in IBRD, etc.; asset,Rest of the world; nonofficial currencies; liability,Rest of the world; net transactions due to holding companies; liability,Rest of the world; insurance reserves, excluding life insurance reserves and pension entitlements; liability,Rest of the world; policy payables of non-U.S. reinsurers; liability,Rest of the world; foreign corporate equities including foreign investment fund shares; liability,Rest of the world; U.S. direct investment abroad: equity; liability (market value),Rest of the world; financial derivatives, gross at fair value; asset,Rest of the world; financial derivatives, gross at fair value; liability
1945:Q4,13418,0,324,2677,1578,0,0,3119,42,2574,0,0,503,0,ND,2700,0,513,0,0,2507,0,6635,0,33,0,2913,0,2913,ND,2607,342,2265,399,0,0,281,402,0,402,0,0,0,942,6946,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,11855,0,-101,2280,1582,0,0,2387,58,2100,0,0,229,0,ND,2690,0,514,0,0,2503,0,8809,-248,68,0,2821,0,2821,ND,5002,332,4670,356,0,0,281,529,317,212,0,0,0,1001,6946,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,11901,0,1,1718,1564,0,0,3044,64,2700,0,0,280,0,ND,2480,0,491,0,0,2603,0,14609,937,51,0,2800,0,2800,ND,9104,607,8497,433,0,0,325,959,635,324,0,0,0,972,8041,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,12573,0,117,2199,1585,0,0,3145,113,2800,0,0,232,0,ND,2305,0,435,0,0,2787,0,16116,1293,10,0,2880,0,2880,ND,10236,645,9591,452,0,0,374,871,635,236,0,0,0,944,9251,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
