date,All sectors; U.S. official reserve assets; liability,Federal government; special drawing rights (SDRs) allocations; liability,Rest of the world; U.S. official reserve assets; liability,Federal government; special drawing rights (SDRs) holdings; asset,Rest of the world; reserve position in IMF (net); liability,Rest of the world; other U.S. reserve assets (total); liability,All sectors; U.S. official reserve assets,Federal government; U.S. official reserve assets,Federal government; monetary gold; asset,Federal government; special drawing rights (SDRs) holdings; asset,Federal government; reserve position in IMF (net); asset,Federal government; other reserves; asset,Federal government; special drawing rights (SDRs) allocations; liability,Monetary authority; U.S. official reserve assets,Monetary authority; monetary gold; asset,Monetary authority; reserve position in IMF (net); asset,Monetary authority; foreign currency denominated assets,Instrument discrepancies; U.S. official reserve assets
1945:Q4,0,0,0,0,0,0,20083,18,18,0,0,0,0,20065,20065,0,0,-20083
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-248,0,-248,0,-248,0,20458,-71,177,0,-248,0,0,20529,20529,0,0,-20706
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,937,0,937,0,937,0,23805,1330,114,0,1216,0,0,22475,22754,-279,0,-22868
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1293,0,1293,0,1293,0,25692,1729,155,0,1574,0,0,23963,24244,-281,0,-24399
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1462,0,1462,0,1462,0,26025,1878,136,0,1742,0,0,24147,24427,-280,0,-24563
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1446,0,1446,0,1446,0,24266,1594,114,0,1480,0,0,22672,22706,-34,0,-22820
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1426,0,1426,0,1426,0,24298,1631,177,0,1454,0,0,22667,22695,-28,0,-22872
1952:Q1,1466,0,1466,0,1466,0,24894,1634,137,0,1497,0,0,23260,23291,-31,0,-23428
1952:Q2,1446,0,1446,0,1446,0,24979,1663,187,0,1476,0,0,23316,23346,-30,0,-23533
1952:Q3,1456,0,1456,0,1456,0,24982,1671,184,0,1487,0,0,23311,23342,-31,0,-23526
1952:Q4,1462,0,1462,0,1462,0,24714,1557,65,0,1492,0,0,23157,23187,-30,0,-23252
1953:Q1,1460,0,1460,0,1460,0,24109,1578,86,0,1492,0,0,22531,22563,-32,0,-22649
1953:Q2,1418,0,1418,0,1418,0,23939,1506,58,0,1448,0,0,22433,22463,-30,0,-22521
1953:Q3,1439,0,1439,0,1439,0,23659,1561,92,0,1469,0,0,22098,22128,-30,0,-22220
1953:Q4,1367,0,1367,0,1367,0,23458,1471,61,0,1410,0,0,21987,22030,-43,0,-22091
1954:Q1,1323,0,1323,0,1323,0,23358,1429,70,0,1359,0,0,21929,21965,-36,0,-22035
1954:Q2,1303,0,1303,0,1303,0,23330,1439,100,0,1339,0,0,21891,21927,-36,0,-22027
1954:Q3,1175,0,1175,0,1175,0,23038,1264,53,0,1211,0,0,21774,21810,-36,0,-21863
1954:Q4,1185,0,1185,0,1185,0,22978,1302,80,0,1222,0,0,21676,21713,-37,0,-21793
1955:Q1,1141,0,1141,0,1141,0,22904,1221,44,0,1177,0,0,21683,21719,-36,0,-21763
1955:Q2,1121,0,1121,0,1121,0,22851,1235,52,0,1183,0,0,21616,21678,-62,0,-21730
1955:Q3,1108,0,1108,0,1108,0,22853,1198,61,0,1137,0,0,21655,21684,-29,0,-21745
1955:Q4,1044,0,1044,0,1044,0,22797,1168,63,0,1105,0,0,21629,21690,-61,0,-21753
1956:Q1,1048,0,1048,0,1048,0,22813,1127,49,0,1078,0,0,21686,21716,-30,0,-21765
1956:Q2,979,0,979,0,979,0,22847,1076,69,0,1007,0,0,21771,21799,-28,0,-21868
1956:Q3,1052,0,1052,0,1052,0,23084,1231,148,0,1083,0,0,21853,21884,-31,0,-22032
1956:Q4,1608,0,1608,0,1608,0,23666,1776,109,0,1667,0,0,21890,21949,-59,0,-22058
1957:Q1,1588,0,1588,0,1588,0,23994,1718,100,0,1618,0,0,22276,22306,-30,0,-22406
1957:Q2,1649,0,1649,0,1649,0,24381,1791,109,0,1682,0,0,22590,22623,-33,0,-22732
1957:Q3,1898,0,1898,0,1898,0,24657,2045,124,0,1921,0,0,22612,22635,-23,0,-22759
1957:Q4,1975,0,1975,0,1975,0,24832,2080,76,0,2004,0,0,22752,22781,-29,0,-22857
1958:Q1,2042,0,2042,0,2042,0,24529,2174,93,0,2081,0,0,22355,22394,-39,0,-22487
1958:Q2,2084,0,2084,0,2084,0,23496,2187,56,0,2131,0,0,21309,21356,-47,0,-21412
1958:Q3,2031,0,2031,0,2031,0,22960,2178,55,0,2123,0,0,20782,20874,-92,0,-20929
1958:Q4,1958,0,1958,0,1958,0,22540,2041,48,0,1993,0,0,20499,20534,-35,0,-20582
1959:Q1,1793,0,1793,0,1793,0,22279,1871,44,0,1827,0,0,20408,20442,-34,0,-20486
1959:Q2,2111,0,2111,0,2111,0,21857,2186,41,0,2145,0,0,19671,19705,-34,0,-19746
1959:Q3,2085,0,2085,0,2085,0,21664,2346,88,0,2258,0,0,19318,19491,-173,0,-19579
1959:Q4,1997,0,1997,0,1997,0,21504,2110,51,0,2059,0,0,19394,19456,-62,0,-19507
1960:Q1,1888,0,1888,0,1888,0,21345,1993,49,0,1944,0,0,19352,19408,-56,0,-19457
1960:Q2,1807,0,1807,0,1807,0,21170,1928,41,0,1887,0,0,19242,19322,-80,0,-19363
1960:Q3,1705,0,1705,0,1705,0,20430,1851,40,0,1811,0,0,18579,18685,-106,0,-18725
1960:Q4,1555,0,1555,0,1555,0,19359,1693,37,0,1656,0,0,17666,17767,-101,0,-17804
1961:Q1,1555,0,1555,0,1530,25,18988,1659,45,0,1589,25,0,17329,17388,-59,0,-17433
1961:Q2,1705,0,1705,0,1519,186,19308,1868,53,0,1629,186,0,17440,17550,-110,0,-17603
1961:Q3,2064,0,2064,0,2002,62,19521,2214,81,0,2071,62,0,17307,17376,-69,0,-17457
1961:Q4,1806,0,1806,0,1690,116,18753,1911,58,0,1737,116,0,16842,16889,-47,0,-16947
1962:Q1,1686,0,1686,0,1456,230,18329,1686,35,0,1505,146,0,16643,16608,-49,84,-16643
1962:Q2,1963,0,1963,0,1409,554,18490,1665,92,0,1458,115,0,16825,16435,-49,439,-16527
1962:Q3,1528,0,1528,0,1078,450,17610,1238,15,0,1123,100,0,16372,16067,-45,350,-16082
1962:Q4,1163,0,1163,0,1064,99,17220,1209,79,0,1112,18,0,16011,15978,-48,81,-16057
1963:Q1,1242,0,1242,0,1110,132,17188,1265,68,0,1159,38,0,15923,15878,-49,94,-15946
1963:Q2,1235,0,1235,0,1109,126,17065,1312,97,0,1202,13,0,15753,15733,-93,113,-15830
1963:Q3,1204,0,1204,0,1050,154,16838,1237,52,0,1097,88,0,15601,15582,-47,66,-15634
1963:Q4,1247,0,1247,0,1035,212,16843,1229,83,0,1087,59,0,15614,15513,-52,153,-15596
1964:Q1,1344,0,1344,0,904,440,16894,1173,89,0,952,132,0,15721,15461,-48,308,-15550
1964:Q2,968,0,968,0,786,182,16591,1053,162,0,833,58,0,15538,15461,-47,124,-15623
1964:Q3,878,0,878,0,651,227,16521,940,180,0,697,63,0,15581,15463,-46,164,-15643
1964:Q4,1201,0,1201,0,769,432,16672,1034,83,0,814,137,0,15638,15388,-45,295,-15471
